checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	89	88.769999999999996	3.3611158861306758	0.068429654850365923	0.52475247524752477
200	159	162.56	5.2255526023569994	-0.68126766122194515	0.78217821782178221
500	340	349.41000000000003	8.4120092724627931	-1.11863880497662	0.91089108910891092
1000	601	606.13999999999999	12.596046998959633	-0.40806453012000699	0.68316831683168322
2000	1019	1027.8399999999999	19.330659585228851	-0.45730462331222432	0.68316831683168322
4000	1761	1714.24	25.621131903177115	1.8250559802239485	0.039603960396039604
8000	2957	2803.8600000000001	33.094114280336917	4.6274089314724156	0.0099009900990099011
16000	4610	4501	32.660067360616388	3.3374089158015399	0.0099009900990099011
32000	7143	7008.21	28.918608196107918	4.6610126976353241	0.0099009900990099011
43713	8456	8456	0	0	1
