checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	89	0.89000000000000001	80	7	2	0
200	159	0.79500000000000004	133	17	4	0.83714952431795886
500	340	0.68000000000000005	264	41	15	0.82947626659434692
1000	601	0.60099999999999998	474	52	21	0.82183024457348297
2000	1019	0.50949999999999995	793	102	34	0.76171715545462859
4000	1761	0.44024999999999997	1311	216	68	0.78924085766539376
8000	2957	0.36962499999999998	2122	357	158	0.74773933428911654
16000	4610	0.28812500000000002	3079	630	252	0.6406325071963761
32000	7143	0.22321874999999999	4386	1167	442	0.63176337067478949
43713	8456	0.19344359801432068	4956	1441	561	0.54100089221720715
