candidate_id	representation_id	checkpoint	reachable	metric_id	family	regime	candidate_value	candidate_ci_low	candidate_ci_high	vm_value	calibrated_distance	status	reason
C06	MUSIC-R3	5000	true	D_LINE_COHERENCE	D		0.333794469342	0.164617435889	0.177362426879	0.0082196498828	488.692672711	COMPARABLE	
C06	MUSIC-R3	5000	true	D_LINE_EXCLUSIVITY	D		0.253456221198	0.0927716098335	0.230415410651	0.690562833576	60.5890031379	COMPARABLE	
C06	MUSIC-R3	5000	true	D_LINE_PROGRESSION	D		0	0	0	2.55558901486e-05	0.423443934771	COMPARABLE	
C06	MUSIC-R3	5000	true	D_LINE_VARIANCE_SHARE	D		0	0	0	0.211417265334	31.5442911246	COMPARABLE	
C06	MUSIC-R3	5000	true	D_LOCUS_COHERENCE	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_LOCUS_EXCLUSIVITY	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_LOCUS_PROGRESSION	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_LOCUS_VARIANCE_SHARE	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_PAGE_COHERENCE	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_PAGE_EXCLUSIVITY	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_PAGE_PROGRESSION	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_PAGE_VARIANCE_SHARE	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_SECTION_COHERENCE	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_SECTION_EXCLUSIVITY	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_SECTION_PROGRESSION	D							NOT_COMPARABLE	candidate or reference metric is not comparable
C06	MUSIC-R3	5000	true	D_SECTION_VARIANCE_SHARE	D							NOT_COMPARABLE	candidate or reference metric is not comparable
