upstream_stage	upstream_status	downstream_stage	action	downstream_evidence_status_if_suppressed	reason_code	scientific_effect	normative_source
FIT	FIT_SUCCESS	PREDICTIVE	RUN	N/A	ALLOW_PREDICTIVE_AFTER_FIT_FIT_SUCCESS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_SUCCESS	GENERATION	RUN	N/A	ALLOW_GENERATION_AFTER_FIT_FIT_SUCCESS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_SUCCESS	COMPLEXITY	RUN	N/A	ALLOW_COMPLEXITY_AFTER_FIT_FIT_SUCCESS	downstream computation runs	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_FAILURE	PREDICTIVE	NOT_REACHED	NOT_REACHED	SUPPRESS_PREDICTIVE_AFTER_FIT_FIT_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_FAILURE	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_FIT_FIT_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_FAILURE	COMPLEXITY	NOT_REACHED	NOT_REACHED	SUPPRESS_COMPLEXITY_AFTER_FIT_FIT_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	NUMERICAL_FAILURE	PREDICTIVE	NOT_REACHED	NOT_REACHED	SUPPRESS_PREDICTIVE_AFTER_FIT_NUMERICAL_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	NUMERICAL_FAILURE	GENERATION	NOT_REACHED	NOT_REACHED	SUPPRESS_GENERATION_AFTER_FIT_NUMERICAL_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	NUMERICAL_FAILURE	COMPLEXITY	NOT_REACHED	NOT_REACHED	SUPPRESS_COMPLEXITY_AFTER_FIT_NUMERICAL_FAILURE	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	INDUCTION_CAP	PREDICTIVE	NOT_REACHED	NOT_REACHED	SUPPRESS_PREDICTIVE_AFTER_FIT_INDUCTION_CAP	downstream emits NOT_REACHED; causal state retained; candidate cannot be rejected from missing evidence	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
