stage	status	allowed	producer_type	scientific_category	negative_evidence	normative_reason	source
FIT	PASS	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FAIL	NO	N/A	GATE_VERDICT	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	NOT_ASSESSABLE	NO	N/A	ASSESSABILITY	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_SUCCESS	YES	stage handler	PROCEDURE_SUCCESS	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	GENERATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	COMPLEXITY_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	AGGREGATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	FIT_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	NUMERICAL_FAILURE	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	INDUCTION_CAP	YES	stage handler	PROCEDURE_FAILURE	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	GENERATION_FAILURE	NO	N/A	PROCEDURE_FAILURE	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	PROTOCOL_VETO	YES	stage handler	PROTOCOL_INVALIDITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
FIT	NOT_REACHED	NO	N/A	DAG_SUPPRESSION	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	PASS	YES	stage handler	GATE_VERDICT	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	FAIL	YES	stage handler	GATE_VERDICT	YES	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	NOT_ASSESSABLE	YES	stage handler	ASSESSABILITY	NO	explicit V2 producer closure	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	FIT_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
PREDICTIVE	GENERATION_SUCCESS	NO	N/A	PROCEDURE_SUCCESS	NO	status not emitted by this stage	G1_V2_STATUS_REACHABILITY_CONTRACT_V2
