block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	86	5.926784305	6.467335066	-0.5405507608
G1/generic#0	71	6.059468727	6.451937091	-0.392468364
G2/generic#0	107	6.04555554	6.46727425	-0.4217187102
G3/generic#0	90	5.922262201	6.443315756	-0.5210535556
G0/generic#1	87	6.139541279	6.454657407	-0.3151161279
G1/generic#1	86	5.979782348	6.454740392	-0.4749580435
G2/generic#1	122	6.05769051	6.467136473	-0.4094459621
G3/generic#1	83	6.184887768	6.467265033	-0.2823772646
G0/generic#2	126	6.007285391	6.467375425	-0.4600900341
G1/generic#2	78	6.088062333	6.453133365	-0.3650710318
G2/generic#2	108	6.054446779	6.456978119	-0.4025313394
G3/generic#2	133	6.179106199	6.450743755	-0.2716375552
G0/generic#3	157	6.043530215	6.467862607	-0.424332392
G1/generic#3	141	6.016886692	6.451837552	-0.4349508593
G2/generic#3	102	6.041663114	6.467482791	-0.425819677
G3/generic#3	101	6.091164943	6.466942854	-0.3757779118
G0/generic#4	147	6.135473716	6.452232096	-0.31675838
G1/generic#4	97	6.006026637	6.455874574	-0.4498479376
G2/generic#4	97	5.973147849	6.467486942	-0.494339093
G3/generic#4	143	6.09045774	6.452144236	-0.3616864964
G0/generic#5	140	5.995895854	6.451403438	-0.4555075833
G1/generic#5	101	6.110318137	6.466973696	-0.3566555592
G2/generic#5	126	6.063807922	6.458434682	-0.3946267605
G3/generic#5	102	5.94136265	6.467482135	-0.5261194855
G0/generic#6	119	6.066640944	6.458085699	-0.391444755
G1/generic#6	83	6.126492535	6.467526717	-0.3410341814
G2/generic#6	95	5.953771198	6.455527397	-0.5017561986
G3/generic#6	70	6.076451689	6.467119396	-0.3906677063
G0/generic#7	116	6.084494417	6.457903967	-0.37340955
G1/generic#7	119	6.068049927	6.439751956	-0.3717020286
G2/generic#7	66	6.13158931	6.466709232	-0.3351199218
G3/generic#7	90	5.90067203	6.455178453	-0.5545064229
G0/generic#8	122	6.06783775	6.458307686	-0.3904699362
G1/generic#8	122	5.923324126	6.467414837	-0.5440907109
G2/generic#8	88	6.055245847	6.455174949	-0.3999291025
G3/generic#8	84	6.153313821	6.466883236	-0.3135694148
G0/generic#9	112	6.138277195	6.457277683	-0.3190004878
G1/generic#9	120	6.038868054	6.448842081	-0.4099740265
G2/generic#9	121	5.92530393	6.467298507	-0.5419945767
G3/generic#9	105	6.09059681	6.467532015	-0.3769352046
G0/generic#10	167	5.984046168	6.454250406	-0.4702042385
G1/generic#10	133	6.134761992	6.467194838	-0.3324328467
G2/generic#10	85	6.020010868	6.467275433	-0.447264565
G3/generic#10	143	6.169991051	6.466990295	-0.2969992437
G0/generic#11	132	6.130562037	6.467038176	-0.336476139
G1/generic#11	122	6.188908101	6.448923419	-0.2600153181
G2/generic#11	103	6.04807131	6.467349474	-0.4192781636
G3/generic#11	178	6.060959054	6.443109982	-0.3821509284
G0/generic#12	133	5.985384367	6.458956222	-0.4735718552
G1/generic#12	116	6.022612005	6.457796961	-0.4351849559
G2/generic#12	153	6.102249446	6.467157811	-0.3649083656
G3/generic#12	165	5.992682882	6.4409583	-0.4482754183
G0/generic#13	122	6.018281474	6.458765102	-0.440483628
G1/generic#13	147	5.969146088	6.460041718	-0.4908956292
G2/generic#13	175	6.075758686	6.454776454	-0.3790177676
G3/generic#13	177	6.074618812	6.466968505	-0.3923496933
G0/generic#14	140	6.0155406	6.459670771	-0.4441301707
G1/generic#14	154	6.037183337	6.460178958	-0.4229956208
G2/generic#14	136	5.978093232	6.467148135	-0.4890549029
G3/generic#14	138	5.945017095	6.459621677	-0.514604582
G0/generic#15	168	6.146437061	6.447468161	-0.3010310997
G1/generic#15	185	6.18365719	6.466781747	-0.2831245574
G2/generic#15	217	5.994319439	6.462339593	-0.4680201539
G3/generic#15	69	6.147108957	6.467043921	-0.3199349644
