operator_id	structural_class	extraction_class	provenance	null_class	param	window_size
FIRST_GLYPH_OF_TOKEN	FIRST_GLYPH_OF_TOKEN	ACROSTIC	HISTORICALLY_ATTESTED	PER_GROUP	0	0
LAST_GLYPH_OF_TOKEN	LAST_GLYPH_OF_TOKEN	TELESTIC	HISTORICALLY_ATTESTED	PER_GROUP	0	0
FIRST_TOKEN_OF_LINE	FIRST_TOKEN_OF_LINE	ACROSTIC	HISTORICALLY_ATTESTED	PER_GROUP	0	0
LAST_TOKEN_OF_LINE	LAST_TOKEN_OF_LINE	TELESTIC	HISTORICALLY_ATTESTED	PER_GROUP	0	0
FIRST_GLYPH_OF_LINE	FIRST_GLYPH_OF_LINE	ACROSTIC	HISTORICALLY_ATTESTED	PER_GROUP	0	0
LAST_GLYPH_OF_LINE	LAST_GLYPH_OF_LINE	TELESTIC	HISTORICALLY_ATTESTED	PER_GROUP	0	0
NTH_GLYPH_OF_TOKEN_2	NTH_GLYPH_OF_TOKEN	POSITIONAL_EXTRACTION	HISTORICALLY_PLAUSIBLE	PER_GROUP	2	0
NTH_GLYPH_OF_TOKEN_3	NTH_GLYPH_OF_TOKEN	POSITIONAL_EXTRACTION	HISTORICALLY_PLAUSIBLE	PER_GROUP	3	0
NTH_TOKEN_OF_LINE_2	NTH_TOKEN_OF_LINE	POSITIONAL_EXTRACTION	HISTORICALLY_PLAUSIBLE	PER_GROUP	2	0
NTH_TOKEN_OF_LINE_3	NTH_TOKEN_OF_LINE	POSITIONAL_EXTRACTION	HISTORICALLY_PLAUSIBLE	PER_GROUP	3	0
PERIODIC_TOKEN_2	PERIODIC_TOKEN	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	2	0
PERIODIC_TOKEN_3	PERIODIC_TOKEN	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	3	0
PERIODIC_TOKEN_5	PERIODIC_TOKEN	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	5	0
PERIODIC_TOKEN_7	PERIODIC_TOKEN	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	7	0
PERIODIC_GLYPH_2	PERIODIC_GLYPH	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	2	0
PERIODIC_GLYPH_3	PERIODIC_GLYPH	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	3	0
PERIODIC_GLYPH_5	PERIODIC_GLYPH	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	5	0
PERIODIC_GLYPH_7	PERIODIC_GLYPH	PERIODIC_EXTRACTION	FORMAL_CONTROL	PERIODIC	7	0
FIXED_OFFSET_WITHIN_GROUP_1	FIXED_OFFSET_WITHIN_GROUP	POSITIONAL_EXTRACTION	FORMAL_CONTROL	PER_GROUP	1	3
FIXED_OFFSET_WITHIN_GROUP_2	FIXED_OFFSET_WITHIN_GROUP	POSITIONAL_EXTRACTION	FORMAL_CONTROL	PER_GROUP	2	3
