scale	metric_id	classification	delta	both_available
combined	EF1_GIANT_COMPONENT_SHARE	CORE	0.0452093	true
combined	EF2_GLOBAL_CLUSTERING	CORE	0.0611897	true
combined	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.0602696	true
combined	2DL1_LAYOUT_POSITION_MI	CORE	0	true
combined	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true
combined	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true
combined	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true
combined	EF1_ISOLATE_SHARE	SUPPORTING	-0.0188205	true
combined	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.058087	true
combined	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.026756	true
combined	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0736339	true
combined	cs2/prev-family-current-family	SUPPORTING		false
combined	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
combined	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true
combined	cs1/family-line-position	SUPPORTING		false
combined	cs6/family-diversity-x-line-length	SUPPORTING	0	true
combined	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0279889	true
koeln-edd-c-119-06.xml	EF1_GIANT_COMPONENT_SHARE	CORE	-0.0111836	true
koeln-edd-c-119-06.xml	EF2_GLOBAL_CLUSTERING	CORE	0.115653	true
koeln-edd-c-119-06.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.081468	true
koeln-edd-c-119-06.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true
koeln-edd-c-119-06.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true
koeln-edd-c-119-06.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true
koeln-edd-c-119-06.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true
koeln-edd-c-119-06.xml	EF1_ISOLATE_SHARE	SUPPORTING	-0.0267056	true
koeln-edd-c-119-06.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.0725416	true
koeln-edd-c-119-06.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0233522	true
koeln-edd-c-119-06.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0743147	true
koeln-edd-c-119-06.xml	cs2/prev-family-current-family	SUPPORTING		false
koeln-edd-c-119-06.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
koeln-edd-c-119-06.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true
koeln-edd-c-119-06.xml	cs1/family-line-position	SUPPORTING		false
koeln-edd-c-119-06.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true
koeln-edd-c-119-06.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	-0.00249383	true
koeln-edd-c-119-07.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0346355	true
koeln-edd-c-119-07.xml	EF2_GLOBAL_CLUSTERING	CORE	-0.0428571	true
koeln-edd-c-119-07.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.116364	true
koeln-edd-c-119-07.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true
koeln-edd-c-119-07.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true
