job_id	kind	corpus_id	operator_id	null_class	shorthand_variant	shorthand_scale	ax3_entropy	ax4_ttr	ax5_nmi_max	ax5_best_period	ax6_line_persistence	n
shorthand__koeln-edd-c-119-06.xml__NULL_FREQUENCY_MATCHED_DELETION__seed1	shorthand_variant	BDD_koeln-edd-c-119			NULL_FREQUENCY_MATCHED_DELETION	koeln-edd-c-119-06.xml	9.86559	0.75015	0.226312	7	3.0024	1669
shorthand__koeln-edd-c-119-11.xml__NULL_RANDOM_DELETION_MATCHED__seed2	shorthand_variant	BDD_koeln-edd-c-119			NULL_RANDOM_DELETION_MATCHED	koeln-edd-c-119-11.xml	10.2148	0.68968	0.201841	7	2.0698	2723
null_random__Longfellow__PERIODIC_GLYPH_2__seed2	operator_null_random	Longfellow	PERIODIC_GLYPH_2	RANDOM_SUBSEQUENCE_MATCHED			4.14895	0.000348227	0.000368148	7	2.76509	74664
shorthand__koeln-edd-c-119-11.xml__EXPANDED	shorthand_variant	BDD_koeln-edd-c-119			EXPANDED	koeln-edd-c-119-11.xml	9.30935	0.44641	0.156512	7	5.35878	2883
null_random__Astafiev__FIXED_OFFSET_WITHIN_GROUP_1__seed2	operator_null_random	Astafiev	FIXED_OFFSET_WITHIN_GROUP_1	RANDOM_SUBSEQUENCE_MATCHED			9.56983	0.140323	0.0537916	7	35.8523	27223
null_stratified__Longfellow__LAST_GLYPH_OF_LINE__seed3	operator_null_stratified	Longfellow	LAST_GLYPH_OF_LINE	POSITION_STRATIFIED_RANDOM			4.15694	0.00450997	0.00517937	7	1.7186	5765
null_stratified__Doyle__LAST_GLYPH_OF_TOKEN__seed1	operator_null_stratified	Doyle	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM			4.11049	0.000800677	0.000897425	7	2.60425	43713
null_stratified__Astafiev__LAST_GLYPH_OF_LINE__seed3	operator_null_stratified	Astafiev	LAST_GLYPH_OF_LINE	POSITION_STRATIFIED_RANDOM			4.64458	0.0124654	0.0119073	7	2.25686	3610
operator_output__Longfellow__FIRST_TOKEN_OF_LINE	operator_output	Longfellow	FIRST_TOKEN_OF_LINE				8.0948	0.19046	0.0822948	7	140.584	5765
null_random__Longfellow__LAST_GLYPH_OF_LINE__seed3	operator_null_random	Longfellow	LAST_GLYPH_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			4.15503	0.00433651	0.00418898	7	1.89839	5765
null_periodic__Longfellow__PERIODIC_TOKEN_7__phase5	operator_null_periodic	Longfellow	PERIODIC_TOKEN_7	PERIODIC_PHASE			8.9946	0.359788	0.132799	7	48.1474	4725
null_random__Longfellow__LAST_TOKEN_OF_LINE__seed3	operator_null_random	Longfellow	LAST_TOKEN_OF_LINE	RANDOM_SUBSEQUENCE_MATCHED			9.06819	0.329575	0.122572	7	56.9901	5765
null_periodic__Longfellow__PERIODIC_GLYPH_7__phase1	operator_null_periodic	Longfellow	PERIODIC_GLYPH_7	PERIODIC_PHASE			4.14408	0.00121877	0.00128971	7	2.24185	21333
