corpus	operator_id	metric_id	classification	delta	both_available
Doyle	FIRST_GLYPH_OF_TOKEN	EF1_GIANT_COMPONENT_SHARE	CORE	0.726119	true
Doyle	FIRST_GLYPH_OF_TOKEN	EF2_GLOBAL_CLUSTERING	CORE	0.633089	true
Doyle	FIRST_GLYPH_OF_TOKEN	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	-0.293276	true
Doyle	FIRST_GLYPH_OF_TOKEN	2DL1_LAYOUT_POSITION_MI	CORE	-0.00226203	true
Doyle	FIRST_GLYPH_OF_TOKEN	BP1_BOUNDARY_TOKEN_NMI	CORE	-0.0304412	true
Doyle	FIRST_GLYPH_OF_TOKEN	LS2_POSITIONAL_LEXICON_NMI	CORE	-0.0507126	true
Doyle	FIRST_GLYPH_OF_TOKEN	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	-0.329156	true
Doyle	FIRST_GLYPH_OF_TOKEN	EF1_ISOLATE_SHARE	SUPPORTING	-0.494776	true
Doyle	FIRST_GLYPH_OF_TOKEN	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.627118	true
Doyle	FIRST_GLYPH_OF_TOKEN	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	-0.45962	true
Doyle	FIRST_GLYPH_OF_TOKEN	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	-0.405723	true
Doyle	FIRST_GLYPH_OF_TOKEN	cs2/prev-family-current-family	SUPPORTING		false
Doyle	FIRST_GLYPH_OF_TOKEN	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
Doyle	FIRST_GLYPH_OF_TOKEN	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.0661039	true
Doyle	FIRST_GLYPH_OF_TOKEN	cs1/family-line-position	SUPPORTING		false
Doyle	FIRST_GLYPH_OF_TOKEN	cs6/family-diversity-x-line-length	SUPPORTING	0	true
Doyle	FIRST_GLYPH_OF_TOKEN	cs7/edit-distance-x-structural-distance	SUPPORTING	-0.0152451	true
Doyle	LAST_GLYPH_OF_TOKEN	EF1_GIANT_COMPONENT_SHARE	CORE	0.726119	true
Doyle	LAST_GLYPH_OF_TOKEN	EF2_GLOBAL_CLUSTERING	CORE	0.633089	true
Doyle	LAST_GLYPH_OF_TOKEN	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	-0.293276	true
Doyle	LAST_GLYPH_OF_TOKEN	2DL1_LAYOUT_POSITION_MI	CORE	-0.00226203	true
Doyle	LAST_GLYPH_OF_TOKEN	BP1_BOUNDARY_TOKEN_NMI	CORE	-0.0302578	true
Doyle	LAST_GLYPH_OF_TOKEN	LS2_POSITIONAL_LEXICON_NMI	CORE	-0.0505184	true
Doyle	LAST_GLYPH_OF_TOKEN	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	-0.329156	true
Doyle	LAST_GLYPH_OF_TOKEN	EF1_ISOLATE_SHARE	SUPPORTING	-0.494776	true
Doyle	LAST_GLYPH_OF_TOKEN	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.627118	true
Doyle	LAST_GLYPH_OF_TOKEN	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	-0.45962	true
Doyle	LAST_GLYPH_OF_TOKEN	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	-0.405723	true
Doyle	LAST_GLYPH_OF_TOKEN	cs2/prev-family-current-family	SUPPORTING		false
Doyle	LAST_GLYPH_OF_TOKEN	LS1_LINE_LENGTH_CV	SUPPORTING	0	true
Doyle	LAST_GLYPH_OF_TOKEN	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.0780911	true
Doyle	LAST_GLYPH_OF_TOKEN	cs1/family-line-position	SUPPORTING		false
Doyle	LAST_GLYPH_OF_TOKEN	cs6/family-diversity-x-line-length	SUPPORTING	0	true
Doyle	LAST_GLYPH_OF_TOKEN	cs7/edit-distance-x-structural-distance	SUPPORTING	-0.0152451	true
Doyle	FIRST_TOKEN_OF_LINE	EF1_GIANT_COMPONENT_SHARE	CORE	-0.0915319	true
Doyle	FIRST_TOKEN_OF_LINE	EF2_GLOBAL_CLUSTERING	CORE	-0.011461	true
Doyle	FIRST_TOKEN_OF_LINE	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.0616218	true
Doyle	FIRST_TOKEN_OF_LINE	2DL1_LAYOUT_POSITION_MI	CORE	-0.00226203	true
Doyle	FIRST_TOKEN_OF_LINE	BP1_BOUNDARY_TOKEN_NMI	CORE	-0.0316263	true
Doyle	FIRST_TOKEN_OF_LINE	LS2_POSITIONAL_LEXICON_NMI	CORE	-0.052295	true
Doyle	FIRST_TOKEN_OF_LINE	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	-0.329156	true
Doyle	FIRST_TOKEN_OF_LINE	EF1_ISOLATE_SHARE	SUPPORTING	0.154385	true
Doyle	FIRST_TOKEN_OF_LINE	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.225628	true
Doyle	FIRST_TOKEN_OF_LINE	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0830192	true
Doyle	FIRST_TOKEN_OF_LINE	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0762954	true
Doyle	FIRST_TOKEN_OF_LINE	cs2/prev-family-current-family	SUPPORTING		false
Doyle	FIRST_TOKEN_OF_LINE	LS1_LINE_LENGTH_CV	SUPPORTING	-0.288925	true
Doyle	FIRST_TOKEN_OF_LINE	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	-0.000574383	true
Doyle	FIRST_TOKEN_OF_LINE	cs1/family-line-position	SUPPORTING		false
Doyle	FIRST_TOKEN_OF_LINE	cs6/family-diversity-x-line-length	SUPPORTING	0	true
Doyle	FIRST_TOKEN_OF_LINE	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0217282	true
Doyle	LAST_TOKEN_OF_LINE	EF1_GIANT_COMPONENT_SHARE	CORE	-0.0480227	true
Doyle	LAST_TOKEN_OF_LINE	EF2_GLOBAL_CLUSTERING	CORE	-0.0155874	true
Doyle	LAST_TOKEN_OF_LINE	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.0562249	true
Doyle	LAST_TOKEN_OF_LINE	2DL1_LAYOUT_POSITION_MI	CORE	-0.00226203	true
Doyle	LAST_TOKEN_OF_LINE	BP1_BOUNDARY_TOKEN_NMI	CORE	-0.0316263	true
Doyle	LAST_TOKEN_OF_LINE	LS2_POSITIONAL_LEXICON_NMI	CORE	-0.052295	true
Doyle	LAST_TOKEN_OF_LINE	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	-0.329156	true
Doyle	LAST_TOKEN_OF_LINE	EF1_ISOLATE_SHARE	SUPPORTING	0.125336	true
Doyle	LAST_TOKEN_OF_LINE	LP1_RULE_SUPPORT_GINI	SUPPORTING	-0.247693	true
Doyle	LAST_TOKEN_OF_LINE	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.0787413	true
Doyle	LAST_TOKEN_OF_LINE	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.0727237	true
Doyle	LAST_TOKEN_OF_LINE	cs2/prev-family-current-family	SUPPORTING		false
Doyle	LAST_TOKEN_OF_LINE	LS1_LINE_LENGTH_CV	SUPPORTING	-0.288925	true
Doyle	LAST_TOKEN_OF_LINE	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	-0.000574383	true
Doyle	LAST_TOKEN_OF_LINE	cs1/family-line-position	SUPPORTING		false
Doyle	LAST_TOKEN_OF_LINE	cs6/family-diversity-x-line-length	SUPPORTING	0	true
Doyle	LAST_TOKEN_OF_LINE	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0213839	true
Doyle	FIRST_GLYPH_OF_LINE	EF1_GIANT_COMPONENT_SHARE	CORE	0.726119	true
Doyle	FIRST_GLYPH_OF_LINE	EF2_GLOBAL_CLUSTERING	CORE	0.633089	true
Doyle	FIRST_GLYPH_OF_LINE	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	-0.293276	true
Doyle	FIRST_GLYPH_OF_LINE	2DL1_LAYOUT_POSITION_MI	CORE	-0.00226203	true
