abbr_text	expan_text	count	class	uses_mark	mark_combining	ambiguous_expan	info_class
eⰇ	est	184	SUSPENSION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
nⰇ	non	181	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
qⰈ	qui	132	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
Ⰿ	uel	103	SPECIAL_SIGN_WHOLE_WORD	true	false	false	CONVENTION_DEPENDENT
cuⰆ	cum	100	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
qⰁ	quod	87	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
Ⱁ	per	87	SPECIAL_SIGN_WHOLE_WORD	true	false	false	CONVENTION_DEPENDENT
diⰇ	dei	70	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
Ⱃ	pro	70	SPECIAL_SIGN_WHOLE_WORD	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
sⰛ	sed	49	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
eniⰆ	enim	46	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
euⰆ	eum	45	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dnⰇi	domini	41	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
quaⰆ	quam	41	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
autⰇ	autem	37	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
eadeⰆ	eadem	36	SUSPENSION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
atqⰛ	atque	34	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
epⰇo	episcopo	33	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
usqⰛ	usque	33	SUSPENSION	true	false	true	AMBIGUOUS_WITHOUT_CONTEXT
etiaⰆ	etiam	31	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
qⰈs	quis	31	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
auⰇ	autem	30	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
eeⰇ	esse	30	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
uⰉ	uero	28	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
doⰇ	deo	27	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
dnⰇs	dominus	25	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
QⰁ	Quod	24	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
epⰇs	episcopus	24	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
neqⰛ	neque	24	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
scⰁm	secundum	24	CONTRACTION	true	false	false	CONVENTION_DEPENDENT
omⰇs	omnes	23	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
eoⰗ	eorum	22	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
frⰇ	frater	22	SUSPENSION	true	true	true	AMBIGUOUS_WITHOUT_CONTEXT
diebⰊ	diebus	21	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
intⰇ	inter	21	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
epⰇis	episcopis	20	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
tamⰇ	tamen	20	SUSPENSION	true	true	false	CONVENTION_DEPENDENT
dnⰇo	domino	19	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
cⰇtra	contra	18	CONTRACTION	true	true	false	CONVENTION_DEPENDENT
eiⰊ	eius	18	SUSPENSION	true	false	false	CONVENTION_DEPENDENT
