metric_id	operator_id	extraction_class	n_carriers_significant	n_carriers_consistent_sign	cross_carrier_stable	n_operators_sharing_direction	classification
EF1_GIANT_COMPONENT_SHARE	FIRST_GLYPH_OF_TOKEN	ACROSTIC	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	LAST_GLYPH_OF_TOKEN	TELESTIC	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	FIRST_TOKEN_OF_LINE	ACROSTIC	2	1	true	3	OPERATOR_SPECIFIC
EF1_GIANT_COMPONENT_SHARE	LAST_TOKEN_OF_LINE	TELESTIC	2	1	true	3	OPERATOR_SPECIFIC
EF1_GIANT_COMPONENT_SHARE	FIRST_GLYPH_OF_LINE	ACROSTIC	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	LAST_GLYPH_OF_LINE	TELESTIC	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	NTH_GLYPH_OF_TOKEN_2	POSITIONAL_EXTRACTION	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	NTH_GLYPH_OF_TOKEN_3	POSITIONAL_EXTRACTION	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	NTH_TOKEN_OF_LINE_2	POSITIONAL_EXTRACTION	1	1	false	3	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	NTH_TOKEN_OF_LINE_3	POSITIONAL_EXTRACTION	2	1	true	3	OPERATOR_SPECIFIC
EF1_GIANT_COMPONENT_SHARE	PERIODIC_TOKEN_2	PERIODIC_EXTRACTION	0	1	false	3	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_TOKEN_3	PERIODIC_EXTRACTION	1	1	false	3	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_TOKEN_5	PERIODIC_EXTRACTION	0	1	false	3	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_TOKEN_7	PERIODIC_EXTRACTION	0	1	false	3	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_GLYPH_2	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_GLYPH_3	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_GLYPH_5	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	PERIODIC_GLYPH_7	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF1_GIANT_COMPONENT_SHARE	FIXED_OFFSET_WITHIN_GROUP_1	POSITIONAL_EXTRACTION	1	0	false	3	PLAINTEXT_DRIVEN
EF1_GIANT_COMPONENT_SHARE	FIXED_OFFSET_WITHIN_GROUP_2	POSITIONAL_EXTRACTION	0	1	false	3	NOT_STABLE
EF2_GLOBAL_CLUSTERING	FIRST_GLYPH_OF_TOKEN	ACROSTIC	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	LAST_GLYPH_OF_TOKEN	TELESTIC	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	FIRST_TOKEN_OF_LINE	ACROSTIC	0	0	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	LAST_TOKEN_OF_LINE	TELESTIC	2	0	false	1	PLAINTEXT_DRIVEN
EF2_GLOBAL_CLUSTERING	FIRST_GLYPH_OF_LINE	ACROSTIC	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	LAST_GLYPH_OF_LINE	TELESTIC	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	NTH_GLYPH_OF_TOKEN_2	POSITIONAL_EXTRACTION	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	NTH_GLYPH_OF_TOKEN_3	POSITIONAL_EXTRACTION	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	NTH_TOKEN_OF_LINE_2	POSITIONAL_EXTRACTION	1	0	false	1	PLAINTEXT_DRIVEN
EF2_GLOBAL_CLUSTERING	NTH_TOKEN_OF_LINE_3	POSITIONAL_EXTRACTION	2	1	true	1	OPERATOR_SPECIFIC
EF2_GLOBAL_CLUSTERING	PERIODIC_TOKEN_2	PERIODIC_EXTRACTION	0	0	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	PERIODIC_TOKEN_3	PERIODIC_EXTRACTION	1	0	false	1	PLAINTEXT_DRIVEN
EF2_GLOBAL_CLUSTERING	PERIODIC_TOKEN_5	PERIODIC_EXTRACTION	0	0	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	PERIODIC_TOKEN_7	PERIODIC_EXTRACTION	2	0	false	1	PLAINTEXT_DRIVEN
EF2_GLOBAL_CLUSTERING	PERIODIC_GLYPH_2	PERIODIC_EXTRACTION	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	PERIODIC_GLYPH_3	PERIODIC_EXTRACTION	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	PERIODIC_GLYPH_5	PERIODIC_EXTRACTION	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	PERIODIC_GLYPH_7	PERIODIC_EXTRACTION	0	1	false	1	NOT_STABLE
EF2_GLOBAL_CLUSTERING	FIXED_OFFSET_WITHIN_GROUP_1	POSITIONAL_EXTRACTION	1	0	false	1	PLAINTEXT_DRIVEN
EF2_GLOBAL_CLUSTERING	FIXED_OFFSET_WITHIN_GROUP_2	POSITIONAL_EXTRACTION	1	0	false	1	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	FIRST_GLYPH_OF_TOKEN	ACROSTIC	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	LAST_GLYPH_OF_TOKEN	TELESTIC	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	FIRST_TOKEN_OF_LINE	ACROSTIC	2	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	LAST_TOKEN_OF_LINE	TELESTIC	3	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	FIRST_GLYPH_OF_LINE	ACROSTIC	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	LAST_GLYPH_OF_LINE	TELESTIC	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	NTH_GLYPH_OF_TOKEN_2	POSITIONAL_EXTRACTION	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	NTH_GLYPH_OF_TOKEN_3	POSITIONAL_EXTRACTION	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	NTH_TOKEN_OF_LINE_2	POSITIONAL_EXTRACTION	1	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	NTH_TOKEN_OF_LINE_3	POSITIONAL_EXTRACTION	2	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_TOKEN_2	PERIODIC_EXTRACTION	0	0	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_TOKEN_3	PERIODIC_EXTRACTION	1	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_TOKEN_5	PERIODIC_EXTRACTION	1	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_TOKEN_7	PERIODIC_EXTRACTION	2	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_GLYPH_2	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_GLYPH_3	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_GLYPH_5	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	PERIODIC_GLYPH_7	PERIODIC_EXTRACTION	0	1	false	0	NOT_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	FIXED_OFFSET_WITHIN_GROUP_1	POSITIONAL_EXTRACTION	2	0	false	0	PLAINTEXT_DRIVEN
EF3_DEGREE_FREQUENCY_SPEARMAN	FIXED_OFFSET_WITHIN_GROUP_2	POSITIONAL_EXTRACTION	2	0	false	0	PLAINTEXT_DRIVEN
2DL1_LAYOUT_POSITION_MI	FIRST_GLYPH_OF_TOKEN	ACROSTIC	0	1	false	7	NOT_STABLE
2DL1_LAYOUT_POSITION_MI	LAST_GLYPH_OF_TOKEN	TELESTIC	0	1	false	7	NOT_STABLE
