scope	sx_id	value	note
combined	SX1_CONTRACTION_RATE	0.383736	mean fraction of expanded letters removed by the real abbreviation, alignment heuristic in shorthandnull.go
combined	SX2_EXPANSION_AMBIGUITY	1.01326	mean number of distinct expansions per distinct abbreviated surface form
combined	SX3_ABBREVIATION_FAMILY_REUSE	0.504181	Gini coefficient of (abbr,expan) pair occurrence counts; higher = a few forms dominate reuse
combined	SX4_POSITIONAL_ABBREVIATION_PREFERENCE	0.0502545	line-initial minus non-initial mean contraction rate (n_initial=3005, n_non_initial=4143)
combined	SX5_CONTEXT_DEPENDENCE	0.0123106	fraction of abbreviated-form types with >=2 observed distinct expansions
combined	SX6_MANY_TO_ONE_MAPPING	1.19187	distinct abbreviated-form types / distinct expansion types
combined	SX7_ABBREVIATION_GRAPH_DENSITY	0.000381211	bipartite (abbr type, expan type) edge density
koeln-edd-c-119-06.xml	SX1_CONTRACTION_RATE	0.356477	mean fraction of expanded letters removed by the real abbreviation, alignment heuristic in shorthandnull.go
koeln-edd-c-119-06.xml	SX2_EXPANSION_AMBIGUITY	1.00205	mean number of distinct expansions per distinct abbreviated surface form
koeln-edd-c-119-06.xml	SX3_ABBREVIATION_FAMILY_REUSE	0.392447	Gini coefficient of (abbr,expan) pair occurrence counts; higher = a few forms dominate reuse
koeln-edd-c-119-06.xml	SX4_POSITIONAL_ABBREVIATION_PREFERENCE	0.046389	line-initial minus non-initial mean contraction rate (n_initial=822, n_non_initial=919)
koeln-edd-c-119-06.xml	SX5_CONTEXT_DEPENDENCE	0.00205128	fraction of abbreviated-form types with >=2 observed distinct expansions
koeln-edd-c-119-06.xml	SX6_MANY_TO_ONE_MAPPING	1.13504	distinct abbreviated-form types / distinct expansion types
koeln-edd-c-119-06.xml	SX7_ABBREVIATION_GRAPH_DENSITY	0.00116653	bipartite (abbr type, expan type) edge density
koeln-edd-c-119-07.xml	SX1_CONTRACTION_RATE	0.377966	mean fraction of expanded letters removed by the real abbreviation, alignment heuristic in shorthandnull.go
koeln-edd-c-119-07.xml	SX2_EXPANSION_AMBIGUITY	1.01411	mean number of distinct expansions per distinct abbreviated surface form
koeln-edd-c-119-07.xml	SX3_ABBREVIATION_FAMILY_REUSE	0.312364	Gini coefficient of (abbr,expan) pair occurrence counts; higher = a few forms dominate reuse
koeln-edd-c-119-07.xml	SX4_POSITIONAL_ABBREVIATION_PREFERENCE	0.0588716	line-initial minus non-initial mean contraction rate (n_initial=400, n_non_initial=485)
koeln-edd-c-119-07.xml	SX5_CONTEXT_DEPENDENCE	0.0123457	fraction of abbreviated-form types with >=2 observed distinct expansions
koeln-edd-c-119-07.xml	SX6_MANY_TO_ONE_MAPPING	1.134	distinct abbreviated-form types / distinct expansion types
koeln-edd-c-119-07.xml	SX7_ABBREVIATION_GRAPH_DENSITY	0.00202822	bipartite (abbr type, expan type) edge density
koeln-edd-c-119-11.xml	SX1_CONTRACTION_RATE	0.395149	mean fraction of expanded letters removed by the real abbreviation, alignment heuristic in shorthandnull.go
koeln-edd-c-119-11.xml	SX2_EXPANSION_AMBIGUITY	1.00689	mean number of distinct expansions per distinct abbreviated surface form
koeln-edd-c-119-11.xml	SX3_ABBREVIATION_FAMILY_REUSE	0.445484	Gini coefficient of (abbr,expan) pair occurrence counts; higher = a few forms dominate reuse
