scale	metric_id	classification	f2_expanded	expanded_available	f2_abbreviated	abbreviated_available	tokens_expanded	tokens_abbreviated
combined	EF1_GIANT_COMPONENT_SHARE	CORE	0.0297216	true	0.0749309	true	7148	7136
combined	EF2_GLOBAL_CLUSTERING	CORE	0.377919	true	0.439109	true	7148	7136
combined	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.265203	true	0.325473	true	7148	7136
combined	2DL1_LAYOUT_POSITION_MI	CORE	0	true	0	true	7148	7136
combined	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true	0	true	7148	7136
combined	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true	0	true	7148	7136
combined	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true	0	true	7148	7136
combined	EF1_ISOLATE_SHARE	SUPPORTING	0.611362	true	0.592541	true	7148	7136
combined	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.580253	true	0.522166	true	7148	7136
combined	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.500891	true	0.527647	true	7148	7136
combined	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.374134	true	0.447768	true	7148	7136
combined	cs2/prev-family-current-family	SUPPORTING		false		false	7148	7136
combined	LS1_LINE_LENGTH_CV	SUPPORTING	0	true	0	true	7148	7136
combined	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true	0	true	7148	7136
combined	cs1/family-line-position	SUPPORTING		false		false	7148	7136
combined	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	7148	7136
combined	cs7/edit-distance-x-structural-distance	SUPPORTING	0.00124053	true	0.0292295	true	7148	7136
koeln-edd-c-119-06.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.0384168	true	0.0272331	true	1741	1741
koeln-edd-c-119-06.xml	EF2_GLOBAL_CLUSTERING	CORE	0.377143	true	0.492795	true	1741	1741
koeln-edd-c-119-06.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.196305	true	0.277773	true	1741	1741
koeln-edd-c-119-06.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	EF1_ISOLATE_SHARE	SUPPORTING	0.720605	true	0.6939	true	1741	1741
koeln-edd-c-119-06.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.446612	true	0.374071	true	1741	1741
koeln-edd-c-119-06.xml	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.567776	true	0.591128	true	1741	1741
koeln-edd-c-119-06.xml	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.408709	true	0.483024	true	1741	1741
koeln-edd-c-119-06.xml	cs2/prev-family-current-family	SUPPORTING		false		false	1741	1741
koeln-edd-c-119-06.xml	LS1_LINE_LENGTH_CV	SUPPORTING	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	cs1/family-line-position	SUPPORTING		false		false	1741	1741
koeln-edd-c-119-06.xml	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	1741	1741
koeln-edd-c-119-06.xml	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0273292	true	0.0248354	true	1741	1741
koeln-edd-c-119-07.xml	EF1_GIANT_COMPONENT_SHARE	CORE	0.042	true	0.0766355	true	885	885
koeln-edd-c-119-07.xml	EF2_GLOBAL_CLUSTERING	CORE	0.535714	true	0.492857	true	885	885
koeln-edd-c-119-07.xml	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.172809	true	0.289173	true	885	885
koeln-edd-c-119-07.xml	2DL1_LAYOUT_POSITION_MI	CORE	0	true	0	true	885	885
koeln-edd-c-119-07.xml	BP1_BOUNDARY_TOKEN_NMI	CORE	0	true	0	true	885	885
koeln-edd-c-119-07.xml	LS2_POSITIONAL_LEXICON_NMI	CORE	0	true	0	true	885	885
koeln-edd-c-119-07.xml	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0	true	0	true	885	885
koeln-edd-c-119-07.xml	EF1_ISOLATE_SHARE	SUPPORTING	0.724	true	0.678505	true	885	885
koeln-edd-c-119-07.xml	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.34096	true	0.220974	true	885	885
