abbr_text	n_observed_expansions	expansions	ambiguous	info_class
	1		false	SELF_SUFFICIENT
 cⰇsiliante	1	consiliante	false	SELF_SUFFICIENT
 obliqⰉ	1	obliquo	false	SELF_SUFFICIENT
 sicⰇ	1	sicut	false	SELF_SUFFICIENT
AbmatⰇ terę 	1	Abmaterterę	false	SELF_SUFFICIENT
AbstinenduⰆ	1	Abstinendum	false	SELF_SUFFICIENT
AeqⰋlitⰇ	1	Aequaliter	false	SELF_SUFFICIENT
AgamⰊ	1	Agamus	false	SELF_SUFFICIENT
AttendenduⰆ	1	Attendendum	false	SELF_SUFFICIENT
AugustinⰊ	1	Augustinus	false	SELF_SUFFICIENT
BonuⰆ	1	Bonum	false	SELF_SUFFICIENT
CON sanguineoruⰆ 	1	CONsanguineorum	false	SELF_SUFFICIENT
CapituluⰆ	1	Capitulum	false	SELF_SUFFICIENT
CapituⰏ	1	Capitulum	false	SELF_SUFFICIENT
CaptⰇⰏ	1	Capitulum	false	SELF_SUFFICIENT
CapⰇ	1	Capitulum	false	SELF_SUFFICIENT
CapⰏ	1	Capitulum	false	SELF_SUFFICIENT
CarneⰆ	1	Carnem	false	SELF_SUFFICIENT
CauenduⰆ	1	Cauendum	false	SELF_SUFFICIENT
ClericuⰆ	1	Clericum	false	SELF_SUFFICIENT
Concur renduⰆ 	1	Concurrendum	false	SELF_SUFFICIENT
ConsobrinⰊ	1	Consobrinus	false	SELF_SUFFICIENT
ContradicimⰊ	1	Contradicimus	false	SELF_SUFFICIENT
ConuictⰊ	1	Conuictus	false	SELF_SUFFICIENT
CorpⰊ	1	Corpus	false	SELF_SUFFICIENT
CoⰆple to 	1	Completo	false	SELF_SUFFICIENT
CoⰆpletis	1	Completis	false	SELF_SUFFICIENT
CoⰆpleto	1	Completo	false	SELF_SUFFICIENT
CuⰆ	1	Cum	false	SELF_SUFFICIENT
DeniqⰛ	1	Denique	false	SELF_SUFFICIENT
DescendaⰆ	1	Descendam	false	SELF_SUFFICIENT
Dimit tamⰇ Ⰺ 	1	Dimittamenus	false	SELF_SUFFICIENT
DnⰇs	1	Dominus	false	SELF_SUFFICIENT
DsⰆ	1	Deus	false	SELF_SUFFICIENT
DuplicitⰇ	1	Dupliciter	false	SELF_SUFFICIENT
DuⰆ	1	Dum	false	SELF_SUFFICIENT
EadeⰆ	1	Eadem	false	SELF_SUFFICIENT
EandeⰆqⰛ	1	Eandemque	false	SELF_SUFFICIENT
EpⰇi	1	Episcopi	false	SELF_SUFFICIENT
EpⰇos	1	Episcopos	false	SELF_SUFFICIENT
EpⰇs	1	Episcopus	false	SELF_SUFFICIENT
EteniⰆ	1	Etenim	false	SELF_SUFFICIENT
ExcoⰆmunicatos	1	Excommunicatos	false	SELF_SUFFICIENT
ExcoⰆmunicatⰇ	1	Excommunicatio	false	SELF_SUFFICIENT
ExcⰇmuni	1	Excommuni	false	SELF_SUFFICIENT
FrⰇ	1	Fratres	false	SELF_SUFFICIENT
GrauitⰇ	1	Grauiter	false	SELF_SUFFICIENT
HabemⰊ	1	Habemus	false	SELF_SUFFICIENT
HerimannⰊ	1	Herimannus	false	SELF_SUFFICIENT
HoruⰆ	1	Horum	false	SELF_SUFFICIENT
HuiuscemⰉdi	1	Huiuscemodi	false	SELF_SUFFICIENT
IdeⰆ	1	Idem	false	SELF_SUFFICIENT
IgitⰜ	1	Igitur	false	SELF_SUFFICIENT
InsuⰑ	1	Insuper	false	SELF_SUFFICIENT
IntⰇ	1	Inter	false	SELF_SUFFICIENT
IntⰇduⰆ	1	Interdum	false	SELF_SUFFICIENT
ItaqⰛ	1	Itaque	false	SELF_SUFFICIENT
IteⰆ	1	Item	false	SELF_SUFFICIENT
IteⰆqⰛ	1	Itemque	false	SELF_SUFFICIENT
IubemⰜ	1	Iubemur	false	SELF_SUFFICIENT
IuramⰇtuⰆ	1	Iuramentum	false	SELF_SUFFICIENT
MaiestateⰆ	1	Maiestatem	false	SELF_SUFFICIENT
MaledictⰊ	1	Maledictus	false	SELF_SUFFICIENT
MaluⰆ	1	Malum	false	SELF_SUFFICIENT
MatⰇ	1	Mater	false	SELF_SUFFICIENT
MatⰇtera	1	Matertera	false	SELF_SUFFICIENT
MiscⰁam	1	Misericordiam	false	SELF_SUFFICIENT
NaⰆ	1	Nam	false	SELF_SUFFICIENT
NequaquaⰆ	1	Nequaquam	false	SELF_SUFFICIENT
NulluⰆ	1	Nullum	false	SELF_SUFFICIENT
NulluⰊ	1	Nullus	false	SELF_SUFFICIENT
NuntiatuⰆ	1	Nuntiatum	false	SELF_SUFFICIENT
NuⰆquaⰆ	1	Numquam	false	SELF_SUFFICIENT
NuⰆqⰋm	1	Numquam	false	SELF_SUFFICIENT
OmⰇs	2	Omnes; Omnis	true	AMBIGUOUS_WITHOUT_CONTEXT
OptamⰊ	1	Optamus	false	SELF_SUFFICIENT
OremⰊ	1	Oremus	false	SELF_SUFFICIENT
PaceⰆ	1	Pacem	false	SELF_SUFFICIENT
ParricidiuⰆ	1	Parricidium	false	SELF_SUFFICIENT
PatⰇ	1	Pater	false	SELF_SUFFICIENT
PleruⰆqⰛ	1	Plerumque	false	SELF_SUFFICIENT
PostquaⰆ	1	Postquam	false	SELF_SUFFICIENT
PredicanduⰆ	1	Predicandum	false	SELF_SUFFICIENT
ProgenieⰆ	1	Progeniem	false	SELF_SUFFICIENT
ProhibeantⰜ	1	Prohibeantur	false	SELF_SUFFICIENT
Proma tⰇterę 	1	Promaterterę	false	SELF_SUFFICIENT
ProptⰇ	1	Propter	false	SELF_SUFFICIENT
PuruⰆ	1	Purum	false	SELF_SUFFICIENT
PⰄri	2	Presbiteri; Presbyteri	true	AMBIGUOUS_WITHOUT_CONTEXT
Qua cuⰆqⰛ 	1	Quacumque	false	SELF_SUFFICIENT
Qua ⰓptⰇ 	1	Quapropter	false	SELF_SUFFICIENT
QualeⰆ	1	Qualem	false	SELF_SUFFICIENT
QualitⰇ	1	Qualiter	false	SELF_SUFFICIENT
QuaⰆ	1	Quam	false	SELF_SUFFICIENT
QuaⰓptⰇ	1	Quapropter	false	SELF_SUFFICIENT
QuesituⰆ	1	Quesitum	false	SELF_SUFFICIENT
QuibⰊ	1	Quibus	false	SELF_SUFFICIENT
QuibⰛ	1	Quibus	false	SELF_SUFFICIENT
QuicuⰆqⰛ	1	Quicumque	false	SELF_SUFFICIENT
QuoⰗ	1	Quorum	false	SELF_SUFFICIENT
QuędaⰆ	1	QuⰂdam	false	SELF_SUFFICIENT
QuęsituⰆ	1	Quęsitum	false	SELF_SUFFICIENT
QuⰂcuⰆqⰛ	1	QuⰂcumque	false	SELF_SUFFICIENT
QⰁ	1	Quod	false	SELF_SUFFICIENT
QⰁ si 	1	Quodsi	false	SELF_SUFFICIENT
QⰁsi	1	Quodsi	false	SELF_SUFFICIENT
RecⰇciliatio	1	Reconciliatio	false	SELF_SUFFICIENT
ReqⰈratⰜ	1	Requiratur	false	SELF_SUFFICIENT
ReruⰆ	1	Rerum	false	SELF_SUFFICIENT
ResponsuⰆⰖ	1	Responsumque	false	SELF_SUFFICIENT
