corpus	operator_id	null_kind	metric_id	observed_delta	null_mean_delta	null_sd_delta	effect_size	p_value	n_replicates
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.726119	0.726119	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF1_GIANT_COMPONENT_SHARE	0.726119	0.726119	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF2_GLOBAL_CLUSTERING	0.633089	0.633089	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF2_GLOBAL_CLUSTERING	0.633089	0.633089	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	-0.293276	-0.293276	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF3_DEGREE_FREQUENCY_SPEARMAN	-0.293276	-0.293276	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	2DL1_LAYOUT_POSITION_MI	-0.00226203	-0.00226203	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	2DL1_LAYOUT_POSITION_MI	-0.00226203	-0.00226203	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	BP1_BOUNDARY_TOKEN_NMI	-0.0304412	-0.0301362	9.36697e-05	-3.25534	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	BP1_BOUNDARY_TOKEN_NMI	-0.0304412	-0.0308844	0.000156666	2.82939	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LS2_POSITIONAL_LEXICON_NMI	-0.0507126	-0.0505255	0.00016602	-1.12654	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LS2_POSITIONAL_LEXICON_NMI	-0.0507126	-0.0512476	0.000240119	2.22806	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	-0.329156	-0.329156	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LS3_BOUNDARY_LENGTH_ASYMMETRY	-0.329156	-0.329156	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF1_ISOLATE_SHARE	-0.494776	-0.494776	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF1_ISOLATE_SHARE	-0.494776	-0.494776	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LP1_RULE_SUPPORT_GINI	-0.627118	-0.627118	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LP1_RULE_SUPPORT_GINI	-0.627118	-0.627118	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	-0.45962	-0.45962	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LP4_PREFIX_ATTACHMENT_NMI	-0.45962	-0.45962	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	-0.405723	-0.405723	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LP4_SUFFIX_ATTACHMENT_NMI	-0.405723	-0.405723	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LS1_LINE_LENGTH_CV	0	0.061961	0.000702881	-88.1529	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0.0661039	0.0519013	0.000274951	51.655	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	LS4_WITHIN_LINE_EXACT_REPETITION	0.0661039	0.0614839	0.000580861	7.95377	0.25	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	cs6/family-diversity-x-line-length	0	0	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	cs7/edit-distance-x-structural-distance	-0.0152451	-0.0152451	0	0	1	3
Doyle	FIRST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	cs7/edit-distance-x-structural-distance	-0.0152451	-0.0152451	0	0	1	3
Doyle	LAST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.726119	0.726119	0	0	1	3
Doyle	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF1_GIANT_COMPONENT_SHARE	0.726119	0.726119	0	0	1	3
Doyle	LAST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF2_GLOBAL_CLUSTERING	0.633089	0.633089	0	0	1	3
Doyle	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF2_GLOBAL_CLUSTERING	0.633089	0.633089	0	0	1	3
Doyle	LAST_GLYPH_OF_TOKEN	RANDOM_SUBSEQUENCE_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	-0.293276	-0.293276	0	0	1	3
Doyle	LAST_GLYPH_OF_TOKEN	POSITION_STRATIFIED_RANDOM	EF3_DEGREE_FREQUENCY_SPEARMAN	-0.293276	-0.293276	0	0	1	3
