candidate_id	full_effect	min_jackknife_effect	max_jackknife_effect	jackknife_sd	max_jackknife_raw_p	significance_survives_each_block_removal	max_block_observation_fraction	max_block_effect_contribution
distance-profile:aiin:ar	0.024145805347712223	0.021011938849299663	0.030418125141628588	0.0035079473658057685	0.028971028971028972	true	0.21935483870967742	0.21450048290878773
distance-profile:ain:al	0.013385065374160593	0	0	0	0.000999000999000999	false	1.0465116279069768	1
distance-profile:ain:ar	0	0	0	0	0	false	0	0
distance-profile:ar:ol	0.015424424215483004	0.012325274227582315	0.023976159214405574	0.003913573948446036	0.14185814185814186	false	0.8044871794871795	0.21003406116664408
distance-profile:chedy:qokeey	0.04002483394066437	0.03139784802178029	0.048651819859548445	0.008626985918884077	0.13286713286713286	false	3.292134831460674	0.607770414883836
distance-profile:chey:ol	0	0	0	0	0	false	0	0
distance-profile:chol:cthy	0.08344169366550727	0	0	0	0.000999000999000999	false	5.294117647058823	1
distance-profile:chol:daiin	0.030134707076022855	0.020261019053093916	0.04243169162553532	0.007958290034621222	0.04495504495504495	true	1.2979591836734694	0.2390193580345853
distance-profile:chor:daiin	0.07412291053669849	0.059777805015048396	0.08846801605834859	0.014345105521650095	0.11288711288711288	false	4.253521126760563	0.596765665418304
distance-profile:daiin:dol	0	0	0	0	0	false	0	0
distance-profile:dal:ol	0	0	0	0	0	false	0	0
distance-profile:dar:ol	0.01397290434800709	0.010545820241425953	0.01961436741987316	0.003458640100130465	0.24475524475524477	false	1.5364583333333333	0.3924964595656377
distance-profile:lchedy:qokain	0.01321488250912313	0	0	0	0.000999000999000999	false	5.414634146341464	1
distance-profile:lchedy:qokar	0.02244962044132872	0	0	0	0.000999000999000999	false	2.769230769230769	1
distance-profile:lchedy:qokeey	0.029905265971536546	0	0	0	0.000999000999000999	false	3.7435897435897436	1
distance-profile:lchedy:qol	0.019467341711961517	0	0	0	0.000999000999000999	false	4.911764705882353	1
distance-profile:okaiin:ol	0.01414904772668346	0.007872500779808807	0.02120579625615467	0.005526223841300917	0.3046953046953047	false	1.7124183006535947	0.4668650682375178
distance-profile:okain:ol	0	0	0	0	0	false	0	0
distance-profile:okar:otain	0.015760476525111276	0	0	0	0.000999000999000999	false	1.2972972972972974	1
distance-profile:ol:y	0.003599851784391877	-0.006856098727114235	0.008899864438330678	0.007393707469239685	0.5964035964035964	false	2.0364963503649633	0.6412668664444099
distance-profile:or:r	0	0	0	0	0	false	0	0
distance-profile:or:s	0.02128601833630207	0.008222837185287879	0.03488653958135596	0.010892040125676444	0.3436563436563437	false	0.859504132231405	0.6264178723049532
distance-profile:qokaiin:qol	0.042157236973360004	0	0	0	0.000999000999000999	false	5	1
distance-profile:qokain:qol	0.0036327161801737173	0	0	0	0.000999000999000999	false	6.948717948717949	1
distance-profile:qokar:qol	0.015336089403346527	0	0	0	0.000999000999000999	false	4.243243243243243	1
distance-profile:qokedy:qol	0.02724047755415289	0	0	0	0.000999000999000999	false	7.378378378378378	1
distance-profile:qol:qotain	0.009894967016818669	0	0	0	0.000999000999000999	false	3.823529411764706	1
distance-profile:r:s	0	0	0	0	0	false	0	0
