sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
aiin al	2	9	4	4	4	4	3	0.25	2	UNIVERSAL	canonical-clean	504,261	false	false	false	
aiin chey	2	10	7	4	3	3	2	0.2857142857142857	1.9502120649147465	UNIVERSAL	canonical-clean	504,351	false	false	false	
aiin okaiin	2	8	5	3	2	2	1	0.4	1.5219280948873621	UNIVERSAL	canonical-clean	504,216	false	false	false	
aiin okal	2	10	6	5	3	3	2	0.3333333333333333	2.2516291673878226	UNIVERSAL	canonical-clean	504,156	false	false	false	
aiin ol	2	10	7	4	2	2	1	0.2857142857142857	1.9502120649147465	UNIVERSAL	canonical-clean	504,560	false	false	false	
aiin otaiin	2	6	3	3	3	3	2	0.3333333333333333	1.584962500721156	UNIVERSAL	canonical-clean	504,155	false	false	false	
aiin otar	2	9	6	4	3	2	2	0.5	1.792481250360578	UNIVERSAL	canonical-clean	504,152	false	false	false	
aiin y	2	6	4	3	2	2	2	0.5	1.5	UNIVERSAL	canonical-clean	504,305	false	false	false	
ain ol	2	6	4	3	3	3	2	0.5	1.5	UNIVERSAL	canonical-clean	113,560	false	false	false	
al ar	2	9	4	4	4	3	3	0.25	2	UNIVERSAL	canonical-clean	261,403	false	false	false	
ar aiiin	2	6	3	3	3	3	2	0.3333333333333333	1.584962500721156	UNIVERSAL	canonical-clean	403,47	false	false	false	
ar aiin	2	27	16	8	3	3	2	0.375	2.6556390622295662	UNIVERSAL	canonical-clean	403,504	false	false	false	
ar ain	2	7	3	3	2	2	2	0.3333333333333333	1.584962500721156	UNIVERSAL	canonical-clean	403,113	false	false	false	
ar al	2	18	4	4	2	2	2	0.25	2	UNIVERSAL	canonical-clean	403,261	false	false	false	
ar ol	2	9	6	5	5	4	4	0.3333333333333333	2.251629167387823	UNIVERSAL	canonical-clean	403,560	false	false	false	
ar or	2	10	9	7	4	3	3	0.3333333333333333	2.6416041678685933	UNIVERSAL	canonical-clean	403,390	false	false	false	
ar y	2	7	5	4	3	3	3	0.4	1.9219280948873623	UNIVERSAL	canonical-clean	403,305	false	false	false	
chedy daiin	2	10	7	5	2	2	2	0.42857142857142855	2.128085278891394	UNIVERSAL	canonical-clean	506,848	false	false	false	
chedy qokaiin	2	10	7	5	4	4	2	0.2857142857142857	2.2359263506290326	UNIVERSAL	canonical-clean	506,265	false	false	false	
chedy qokar	2	10	9	4	2	2	1	0.6666666666666666	1.4466166676282082	UNIVERSAL	canonical-clean	506,159	false	false	false	
chedy qokedy	2	14	10	4	3	2	3	0.7	1.3567796494470397	UNIVERSAL	canonical-clean	506,276	false	false	false	
chedy qokey	2	6	5	3	2	2	2	0.6	1.3709505944546687	UNIVERSAL	canonical-clean	506,108	false	false	false	
chedy qotaiin	2	6	4	3	2	2	2	0.5	1.5	UNIVERSAL	canonical-clean	506,79	false	false	false	
cheey daiin	2	8	7	5	3	3	2	0.42857142857142855	2.128085278891394	UNIVERSAL	canonical-clean	183,848	false	false	false	
