sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
aiin al	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.04395604395604396	0.07748184019370462	0.31368631368631367
aiin chey	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.10589410589410589	0.14683982683982685	0.31868131868131866
aiin okaiin	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.18681318681318682	0.23407917383821	0.3836163836163836
aiin okal	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.001998001998001998	0.011544011544011544	0.12987012987012986
aiin ol	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.33966033966033965	0.3924963924963925	0.3886113886113886
aiin otaiin	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.08891108891108891	0.12842712842712845	0.8751248751248751
aiin otar	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.030969030969030968	0.05964405964405964	0.14285714285714285
aiin y	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.2127872127872128	0.2573240712775597	0.32167832167832167
ain ol	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.04695304695304695	0.08138528138528138	0.12687312687312688
al ar	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.008991008991008992	0.027501909854851035	0.13386613386613386
ar aiiin	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.006993006993006993	0.024242424242424242	0.4115884115884116
ar aiin	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.002997002997002997	0.016404647983595352	0.04895104895104895
ar ain	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.017982017982017984	0.041558441558441565	0.19480519480519481
ar al	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.005994005994005994	0.023976023976023976	0.14985014985014986
ar ol	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.06393606393606394	0.10389610389610389	0.0979020979020979
ar or	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.011988011988011988	0.032809295967190705	0.11888111888111888
ar y	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.02197802197802198	0.046647230320699715	0.24175824175824176
chedy daiin	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.11788211788211789	0.16131237183868763	0.12487512487512488
chedy qokaiin	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.007992007992007992	0.025974025974025976	0.35764235764235763
chedy qokar	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.03196803196803197	0.06044864226682409	0.35264735264735264
chedy qokedy	2	canonical-clean	REPLICATED_BUT_EXPECTED_FROM_FREQUENCY	0.06893106893106893	0.10861865407319952	0.5854145854145855
chedy qokey	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.006993006993006993	0.024242424242424242	0.37362637362637363
chedy qotaiin	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.01098901098901099	0.03174603174603175	0.1068931068931069
cheey daiin	2	canonical-clean	REPLICATED_ABOVE_FREQUENCY_NULL	0.00999000999000999	0.02968460111317254	0.14885114885114886
