candidate_id	relation	block	currier	hand	joint_class	token_count_a	token_count_b	observations	compared_profile_cells	similarity	similarity_to_LOBO_reference	transfer_success	unit_normalized_shape_similarity	peak_distance	center_of_mass	left_right_asymmetry
distance-profile:aiin:ar	aiin / ar	1/1#0	1	1	1/1	13	12	25	30	0.30911498201484466	0.05788088399179515	false	0	0	0	0
distance-profile:aiin:ar	aiin / ar	2/2#2	2	2	2/2	14	14	28	45	0.32333094210441815	0.08803636649386154	true	0.6716465055582558	-1	5.111111111111111	0.1111111111111111
distance-profile:aiin:ar	aiin / ar	2/2#3	2	2	2/2	16	16	32	42	0.3853744671288586	0.08777936249273545	true	0.5762623649458744	2	3.75	-0.5
distance-profile:aiin:ar	aiin / ar	2/2#8	2	2	2/2	40	22	62	43	0.4818536364823709	0.10285538093996346	true	0.6099942813304187	1	1	0
distance-profile:aiin:ar	aiin / ar	3/2#1	3	2	3/2	37	31	68	61	0.34506681533876943	0.08361689405989757	true	0.8141882487927911	-1	3.3333333333333335	-0.2222222222222222
distance-profile:aiin:ar	aiin / ar	X/3#0	X	3	X/3	29	26	55	48	0.39847395084368337	0.10359540553975244	true	0.5617467761896284	-6	4.625	-0.5
distance-profile:aiin:ar	aiin / ar	Y/3#0	Y	3	Y/3	21	12	33	41	0.26155937807508234	0.07241527725431181	true	0.09363291775690445	3	3.3333333333333335	1
distance-profile:ain:al	ain / al	2/2#8	2	2	2/2	23	22	45	43	0.4839483381012506	0.0811403218315279	false	0	-3	5	-1
distance-profile:ar:ol	ar / ol	1/1#0	1	1	1/1	12	30	42	37	0.29084324188174554	0.05239651202485695	false	0.3658958614425217	1	2.6666666666666665	0.3333333333333333
distance-profile:ar:ol	ar / ol	2/2#3	2	2	2/2	16	10	26	37	0.27294528749286684	0.07859555334205637	true	0.3181818181818182	-2	3.75	-1
distance-profile:ar:ol	ar / ol	2/2#8	2	2	2/2	22	229	251	48	0.5656281019844431	0.12411639892907735	true	0.511681719253465	1	3.8	-0.6
distance-profile:ar:ol	ar / ol	3/4#0	3	4	3/4	12	15	27	72	0.20513854067381257	0.0494309888376013	false	0.46426557269965096	-1	7.526315789473684	0.2631578947368421
distance-profile:ar:ol	ar / ol	3/2#1	3	2	3/2	31	26	57	71	0.38434059898080936	0.07118840513978637	true	0.33557802760701216	9	6.166666666666667	0.6666666666666666
distance-profile:ar:ol	ar / ol	X/3#0	X	3	X/3	26	29	55	47	0.4505025066717982	0.10614354360295031	true	0.3110855084191276	5	3.6666666666666665	-0.3333333333333333
distance-profile:chedy:qokeey	chedy / qokeey	2/2#8	2	2	2/2	206	87	293	44	0.5394399223153888	0.14796056373684333	false	0.7180491222126322	1	3.2	-0.4
distance-profile:chedy:qokeey	chedy / qokeey	X/3#0	X	3	X/3	35	45	80	45	0.4479621854880329	0.10654558310461305	false	0.6454972243679028	1	3.1818181818181817	0.09090909090909091
distance-profile:chol:cthy	chol / cthy	1/1#0	1	1	1/1	115	65	180	34	0.6493050562521688	0.1376217650088875	false	0.6902684899626333	1	2.888888888888889	0.5555555555555556
distance-profile:chol:daiin	chol / daiin	1/1#0	1	1	1/1	115	203	318	38	0.6540181037321537	0.1685649890267577	true	0.951290253243983	1	2.7708333333333335	0.375
distance-profile:chol:daiin	chol / daiin	1/1#1	1	1	1/1	17	25	42	34	0.306030899188665	0.09861069839052165	true	0.6835324294167013	1	3.5	1
distance-profile:chol:daiin	chol / daiin	1/1#3	1	1	1/1	12	55	67	31	0.288447073606858	0.09779102867333128	true	0.8884699315030011	1	1.7777777777777777	0.3333333333333333
distance-profile:chol:daiin	chol / daiin	1/1#8	1	1	1/1	16	23	39	40	0.2580804913030282	0.07213913590859375	true	0.8368343572488957	1	2.8333333333333335	0
distance-profile:chol:daiin	chol / daiin	1/1#9	1	1	1/1	12	10	22	18	0.37426477226311405	0.0867231041736311	true	0.7123696450160099	2	1.8333333333333333	1
distance-profile:chol:daiin	chol / daiin	2/2#8	2	2	2/2	14	82	96	42	0.36041628138969606	0.08129329984910216	true	0.31025947002958504	2	2	1
distance-profile:chol:daiin	chol / daiin	X/3#0	X	3	X/3	15	19	34	42	0.14928966773542138	0.05265973986768714	false	0.2194738932285961	-2	3	-1
distance-profile:chor:daiin	chor / daiin	1/1#0	1	1	1/1	99	203	302	39	0.6283761917383831	0.15981408000270772	false	0.8096761942704908	1	3.2	0.3142857142857143
distance-profile:chor:daiin	chor / daiin	1/1#1	1	1	1/1	13	25	38	32	0.29400982704918943	0.08987791807138572	false	0.6165812304904386	3	3.6	0.2
distance-profile:dar:ol	dar / ol	1/1#0	1	1	1/1	41	30	71	38	0.397579548115273	0.07204352440135646	true	0.19551547175144376	-3	3.25	0
distance-profile:dar:ol	dar / ol	2/2#3	2	2	2/2	12	10	22	38	0.18273946315778858	0.06904943102856213	true	0.44861772327363547	1	3.3333333333333335	0.3333333333333333
distance-profile:dar:ol	dar / ol	2/2#8	2	2	2/2	66	229	295	53	0.6220166129765318	0.11955297986469644	true	0.4244999675729204	-2	4.409090909090909	-0.18181818181818182
distance-profile:dar:ol	dar / ol	3/2#1	3	2	3/2	20	26	46	63	0.3960658183414578	0.0602205041541644	true	0.3818017741606063	1	4.8	1
distance-profile:lchedy:qokain	lchedy / qokain	2/2#8	2	2	2/2	59	163	222	41	0.6039919738037299	0.08089209606317598	false	0.2886751345948129	1	3.3333333333333335	0
distance-profile:lchedy:qokar	lchedy / qokar	2/2#8	2	2	2/2	59	49	108	39	0.6325186428191981	0.07904331089606295	false	0	0	0	0
distance-profile:lchedy:qokeey	lchedy / qokeey	2/2#8	2	2	2/2	59	87	146	39	0.5773358312631643	0.1007684288036409	false	0.5163977794943222	-1	3.8	-1
distance-profile:lchedy:qol	lchedy / qol	2/2#8	2	2	2/2	59	108	167	34	0.6120607114190787	0.07349079767123137	false	0	2	3.6	0.6
distance-profile:okaiin:ol	okaiin / ol	1/1#0	1	1	1/1	15	30	45	35	0.3799136936914073	0.059329598564772	true	0.30678599553894814	4	5.5	0
distance-profile:okaiin:ol	okaiin / ol	2/2#3	2	2	2/2	10	10	20	31	0.1874185416306089	0.07004878869033822	true	0.1975459193299179	2	4.2	-0.2
distance-profile:okaiin:ol	okaiin / ol	2/2#8	2	2	2/2	33	229	262	44	0.6700437455147344	0.1274185893720946	true	0.5327417265696215	-1	3.1666666666666665	0
distance-profile:okaiin:ol	okaiin / ol	X/3#0	X	3	X/3	13	29	42	43	0.31834758617642755	0.07543271337259355	true	0.25	5	4.666666666666667	1
distance-profile:okar:otain	okar / otain	2/2#8	2	2	2/2	23	25	48	37	0.5265172430806457	0.06620977327156119	false	0	-1	2.5	-0.5
distance-profile:ol:y	ol / y	1/1#0	1	1	1/1	30	45	75	40	0.3888799249741641	0.06748738554800936	false	0.3922322702763681	8	5.6	-0.6
distance-profile:ol:y	ol / y	2/2#8	2	2	2/2	229	50	279	50	0.5346771053757499	0.1261415291917259	true	0.6358670639975962	-5	4.391304347826087	-0.391304347826087
distance-profile:ol:y	ol / y	X/3#0	X	3	X/3	29	10	39	47	0.2899532227788895	0.07046275168856278	true	0.5916079783099616	-5	5	-1
distance-profile:or:s	or / s	1/1#0	1	1	1/1	37	64	101	37	0.48757178543444274	0.08805518148175252	true	0.5666666666666667	-1	2.6666666666666665	-0.3333333333333333
distance-profile:or:s	or / s	1/1#8	1	1	1/1	10	19	29	36	0.3611822787065557	0.0812876763651026	true	0.7160894433721886	-1	4	0
distance-profile:or:s	or / s	2/2#8	2	2	2/2	73	31	104	48	0.512582993806748	0.0937218354158622	true	0.5827715174143585	2	2.25	-0.5
distance-profile:qokaiin:qol	qokaiin / qol	2/2#8	2	2	2/2	87	108	195	39	0.6705209150803867	0.11430278433184199	false	0.41702882811414954	-4	3.727272727272727	0.09090909090909091
distance-profile:qokain:qol	qokain / qol	2/2#8	2	2	2/2	163	108	271	39	0.7598677959261725	0.07886699505010533	false	0.5661385170722978	3	4.583333333333333	-0.08333333333333333
distance-profile:qokar:qol	qokar / qol	2/2#8	2	2	2/2	49	108	157	37	0.7078053736289543	0.0768088106300094	false	0	-2	3.142857142857143	-0.14285714285714285
distance-profile:qokedy:qol	qokedy / qol	2/2#8	2	2	2/2	165	108	273	37	0.6823520430840038	0.10110554453315396	false	0	1	3.5	0.2
