ambiguity_id	admissible_alternatives	chosen_rule	scientific_justification	rejected_alternatives	distributions_differ	deterministic_RNG_realization_differs	affected_artifacts	downstream_results_consulted
G-A01	retry vs condition	conditional admissible support, route primitive	structural conditioning; no hidden rejection	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A02	UTF8 vs row/map order	explicit arrays; maps UTF8; fitted ordinary+UNK+EOS	preserves explicit scientific rows	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A03	cumulative arithmetic choices	canonical binary64 Neumaier CDF and final bin	extends frozen numeric profile	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A04	race enumeration/u0/ties	local positive outcomes; u0=inf; canonical tie	standard exponential clocks with explicit realization	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A05	alias construction choices	sorted-queue Walker algorithm; exactly two draws	deterministic standard formulation	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A06	row/order choices	identified canonical rows and one-draw CDF	matches frozen cumulative intent	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A07	fail vs legal/force EOS	64 legal structural completion, no draw	reconciles M5 support through 64	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A08	0..1023 vs retries	1024 total attempts indexed 0..1023	literal cap, minimal convention	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A09	draw ordering/reset	frozen branch draw order; monotone global draw; no rollback	executable branch semantics	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A10	delimiters/final LF	NFC UTF8 one-token-per-line LF including final	simple canonical stream	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A11	BOS/EOS/UNK roles	machine role table and U+FFFD emission	follows model vocabulary	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A12	zero mass handling	GENERATION_FAILURE before draw	existing compatible status	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A13	draw/counter allocation	monotone global draw_index per corpus	execution-independent identity	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
G-A14	zero count/end draw	positive requested count; structural completion	control architecture already positive	all nonchosen interpretations in competing_interpretations	YES except arithmetic/serialization clarifications	YES except serialization has zero RNG effect	generation semantics; state machine; goldens	NO
