path_id	model_family	generator	sampling_primitive	state	support_construction	special_symbols	RNG_domain	RNG_draws	termination	retry	serialization	status
FITTED_M0	M0	fitted	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
FITTED_M1	M1	fitted	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
FITTED_M2	M2	fitted	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
FITTED_M3_EXACT	M3	fitted	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
FITTED_M3_APPROX	M3	fitted	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
FITTED_M4	M4	fitted	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
FITTED_M5	M5	fitted	DIRECT_CDF	WHOLE_TOKEN	model row filtered by state	BOS never; EOS streaming; UNK U+FFFD	GENERATE	defined by primitive	EOS or structural 64	M5 only	canonical LF lines	RESOLVED
M0_GEN_A	M0	Generator A	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M0_GEN_B	M0	Generator B	EXPONENTIAL_RACE	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M1_GEN_A	M1	Generator A	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M1_GEN_B	M1	Generator B	WALKER_ALIAS	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M2_GEN_A	M2	Generator A	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M2_GEN_B	M2	Generator B	EXPONENTIAL_RACE	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M3_GEN_A	M3	Generator A	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M3_GEN_B	M3	Generator B	EXPONENTIAL_RACE	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M4_GEN_A	M4	Generator A	DIRECT_CDF	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M4_GEN_B	M4	Generator B	CUMULATIVE_ROW	BEFORE_TOKEN/INSIDE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M5_GEN_A	M5	Generator A	DIRECT_CDF	WHOLE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
M5_GEN_B	M5	Generator B	EXPONENTIAL_RACE	WHOLE_TOKEN	explicit parameters and state filter	BOS forbidden; EOS streaming; no literal sentinels	CONTROL_GENERATE	primitive-fixed	EOS/64 or M5 valid proposal	M5 0..1023	canonical LF lines	RESOLVED
SHARED_DIRECT_CDF	all	protocol	DIRECT_CDF	ALL	machine-defined	machine-defined	bound domain	machine-defined	machine-defined	machine-defined	machine-defined	RESOLVED
SHARED_CONDITION	all	protocol	CONDITIONAL	ALL	machine-defined	machine-defined	bound domain	machine-defined	machine-defined	machine-defined	machine-defined	RESOLVED
