route	V1.1_comparator	V1.2_effect	feedback_used
M0_GEN_A	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M0_GEN_B	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M1_GEN_A	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M1_GEN_B	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M2_GEN_A	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M2_GEN_B	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M3_GEN_A	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M3_GEN_B	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M4_GEN_A	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M4_GEN_B	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M5_GEN_A	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
M5_GEN_B	V1.1 has no unique byte realization	stream routes may differ at initial EOS/order/cap; M5 may differ by counters; every corpus hash changes under frozen LF serialization	NO
