sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000053 x010892	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	252,31	false	false	true	
x000053 x020319	2	7	7	6	3	3	1	0.2857142857142857	2.521640636343318	GROUP_CONSISTENT	ambiguous-transcription	252,28	false	false	true	
x000055 x010892	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	285,31	false	false	true	
x000544 x018928	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	48,572	false	false	true	
x000712 x000052	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	307,268	false	false	true	
x000712 x009249	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	307,316	false	false	true	
x000712 x009251	2	7	7	7	3	3	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	307,309	false	false	true	
x000712 x018931	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	307,575	false	false	true	
x000713 x009248	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	284,297	false	false	true	
x000713 x009250	2	6	6	5	2	2	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	284,314	false	false	true	
x000713 x018928	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	284,572	false	false	true	
x000713 x018929	2	7	7	6	3	3	1	0.2857142857142857	2.5216406363433186	GROUP_CONSISTENT	ambiguous-transcription	284,602	false	false	true	
x000714 x009249	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	305,316	false	false	true	
x000714 x009250	2	11	11	11	4	4	1	0.09090909090909091	3.459431618637298	GROUP_CONSISTENT	ambiguous-transcription	305,314	false	false	true	
x000714 x009251	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	305,309	false	false	true	
x000714 x018928	2	7	7	7	2	2	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	305,572	false	false	true	
x000714 x018930	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	305,576	false	false	true	
x000715 x009248	2	6	6	5	4	4	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	291,297	false	false	true	
x000715 x009249	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	291,316	false	false	true	
x000715 x009250	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	291,314	false	false	true	
x000715 x009251	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	291,309	false	false	true	
x000715 x018928	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	291,572	false	false	true	
x001053 x009250	2	5	5	4	4	4	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	89,314	false	false	true	
x001055 x000052	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	80,268	false	false	true	
x001168 x018928	2	10	10	10	4	4	1	0.1	3.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	86,572	false	false	true	
x001168 x018929	2	9	9	8	4	4	1	0.2222222222222222	2.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	86,602	false	false	true	
x001169 x018928	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	89,572	false	false	true	
x001169 x018929	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	89,602	false	false	true	
x001169 x018930	2	8	8	7	3	3	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	89,576	false	false	true	
x001170 x018928	2	7	7	6	4	4	1	0.2857142857142857	2.5216406363433186	GROUP_CONSISTENT	ambiguous-transcription	94,572	false	false	true	
