page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_SURROUNDS_IMAGE	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY	VIS_MOTIF_REPETITION
f116v	LOW	2-3	MIXED	ABSENT	PRESENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	LOW	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	LOW
f81r	LOW	2-3	MULTI_REGION	PRESENT	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f20r	LOW	1	SINGLE_CENTRAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f115v	LOW	4+	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f10v	LOW	1	SINGLE_CENTRAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f75r	LOW	2-3	MULTI_REGION	PRESENT	PRESENT	0	4+	2-3	0	0	ABSENT	ABSENT	PRESENT	PRESENT	HIGH	INTERACTING	PRESENT	ABSENT	PRESENT	ABSENT	HIGH	HIGH	HIGH
f76r	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
f84v	LOW	2-3	MULTI_REGION	PRESENT	PRESENT	0	4+	2-3	0	2-3	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f87r	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f71r	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	4+	0	4+	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH	HIGH
f88r	MEDIUM	4+	MULTI_REGION	PRESENT	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	PRESENT	ABSENT	HIGH	MEDIUM	HIGH
f30v	LOW	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f73v	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	4+	0	4+	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	PRESENT	PRESENT	PRESENT	HIGH	HIGH	HIGH
f99r	MEDIUM	4+	MULTI_REGION	PRESENT	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	PRESENT	ABSENT	HIGH	MEDIUM	HIGH
f111r	LOW	4+	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f96v	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f103r	LOW	4+	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
f57v	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	0	0	1	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH	HIGH
f66r	LOW	2-3	RUNNING_TEXT	ABSENT	ABSENT	0	0	2-3	0	0	ABSENT	ABSENT	ABSENT	ABSENT	LOW	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	LOW
f69r	MEDIUM	1	DIAGRAM_CENTRIC	ABSENT	PRESENT	0	0	0	1	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH	HIGH
f78v	LOW	1	SINGLE_CENTRAL	PRESENT	PRESENT	0	4+	1	0	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f2r	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	HIGH
f1r	LOW	2-3	MIXED	PRESENT	PRESENT	UNCERTAIN	0	0	0	0	ABSENT	ABSENT	UNCERTAIN	ABSENT	LOW	NOT_APPLICABLE	NOT_APPLICABLE	UNCERTAIN	UNCERTAIN	ABSENT	LOW	UNCERTAIN	LOW
f106v	LOW	4+	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	4+	0	ABSENT	ABSENT	ABSENT	ABSENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	HIGH
