page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_SURROUNDS_IMAGE	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY	VIS_MOTIF_REPETITION
f1r	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
f2r	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	NONE
f10v	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	NONE
f20r	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	NONE
f30v	MEDIUM	1	SINGLE_CENTRAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM	NONE
f57v	HIGH	1	DIAGRAM_CENTRIC	PRESENT	PRESENT	0	0	0	2-3	1	PRESENT	PRESENT	ABSENT	PRESENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	PRESENT	HIGH	HIGH	HIGH
f66r	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
f69r	HIGH	1	DIAGRAM_CENTRIC	PRESENT	PRESENT	0	0	0	2-3	1	PRESENT	PRESENT	ABSENT	PRESENT	HIGH	NOT_APPLICABLE	NOT_APPLICABLE	PRESENT	PRESENT	PRESENT	HIGH	HIGH	HIGH
f71r	HIGH	1	DIAGRAM_CENTRIC	PRESENT	PRESENT	0	4+	0	4+	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	ISOLATED	ABSENT	PRESENT	PRESENT	PRESENT	HIGH	HIGH	HIGH
f73v	HIGH	1	DIAGRAM_CENTRIC	PRESENT	PRESENT	0	4+	0	4+	1	PRESENT	PRESENT	ABSENT	ABSENT	HIGH	ISOLATED	ABSENT	PRESENT	PRESENT	PRESENT	HIGH	HIGH	HIGH
f75r	MEDIUM	2-3	MIXED	PRESENT	ABSENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	PRESENT	HIGH	INTERACTING	PRESENT	ABSENT	ABSENT	ABSENT	HIGH	HIGH	HIGH
f76r	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	ABSENT	LOW	LOW	NONE
