page_id	COMP_ILLUSTRATED_AREA	COMP_ILLUSTRATION_REGIONS	COMP_DOMINANT_LAYOUT	COMP_IMAGE_INTERLEAVED	COMP_CENTRAL_ILLUSTRATION	OBJ_PLANT_LIKE	OBJ_HUMAN_LIKE	OBJ_CONTAINER_LIKE	OBJ_STAR_LIKE	OBJ_CIRCULAR_UNITS	GEO_RADIAL	GEO_CONCENTRIC	GEO_BRANCHING	GEO_CONNECTED_NETWORK	GEO_REPEATED_MODULES	FIG_RELATION	FIG_ENCLOSED	TXT_EMBEDDED_IMAGE	TXT_RADIAL	VIS_DENSITY	VIS_COMPLEXITY
f87r	HIGH	1	CENTRAL_VISUAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f115v	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f10v	HIGH	1	CENTRAL_VISUAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f81r	LOW	MULTIPLE	MULTI_REGION	PRESENT	PRESENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	ABSENT	ABSENT	HIGH	MEDIUM
f1r	NONE	0	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	NONE	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f2r	HIGH	1	CENTRAL_VISUAL	PRESENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f88r	HIGH	MULTIPLE	MULTI_REGION	PRESENT	PRESENT	4+	0	4+	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	HIGH	MEDIUM
f75r	LOW	MULTIPLE	MULTI_REGION	PRESENT	PRESENT	0	4+	2-3	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	MIXED	PRESENT	PRESENT	ABSENT	HIGH	HIGH
f66r	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f96v	HIGH	1	CENTRAL_VISUAL	ABSENT	PRESENT	1	0	0	0	0	ABSENT	ABSENT	PRESENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	MEDIUM	MEDIUM
f57v	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	0	4+	0	1+	1	PRESENT	PRESENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH
f78v	LOW	1	CENTRAL_VISUAL	PRESENT	PRESENT	0	4+	1	0	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	ABSENT	ABSENT	MEDIUM	MEDIUM
f106v	LOW	MULTIPLE	RUNNING_TEXT	ABSENT	ABSENT	0	0	0	1+	0	ABSENT	ABSENT	ABSENT	ABSENT	PRESENT	NOT_APPLICABLE	NOT_APPLICABLE	ABSENT	ABSENT	LOW	LOW
f73v	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	0	4+	4+	1+	1	PRESENT	PRESENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH
f71r	LOW	1	CENTRAL_VISUAL	ABSENT	PRESENT	0	4+	4+	1+	1	PRESENT	PRESENT	ABSENT	ABSENT	PRESENT	INTERACTING	PRESENT	PRESENT	PRESENT	MEDIUM	HIGH
