page_id	physical_leaf_id	yale_canvas_oid	crop_locator	mapping_status	mapping_confidence	adjudication_note
f67r1	f67	1006194	pct:0,0,50.0,100	VERIFIED	HIGH	Left panel of the two-panel recto spread; central gutter/fold is visually clear.
f67r2	f67	1006194	pct:50.0,0,50.0,100	VERIFIED	HIGH	Right panel of the two-panel recto spread; distinct circular design bounded by central fold.
f67v2	f67	1006195	pct:0,0,49.3,100	VERIFIED	HIGH	Left panel in the verso view; verso panel order reverses across the same physical fold.
f67v1	f67	1006195	pct:49.3,0,50.7,100	VERIFIED	HIGH	Right panel in the verso view; central fold is visually clear.
f68r1	f68	1006196	pct:0,0,30.8,100	VERIFIED	HIGH	Innermost recto panel, left of the first strong vertical fold.
f68r2	f68	1006196	pct:30.8,0,26.0,100	VERIFIED	HIGH	Middle recto panel between the two strong vertical folds.
f68r3	f68	1006196	pct:56.8,0,43.2,100	VERIFIED	HIGH	Outermost recto panel, right of the second strong vertical fold.
f68v3	f68	1006197	pct:0,0,43.3,100	VERIFIED	HIGH	Outermost verso panel; width mirrors the broad outer recto panel.
f68v2	f68	1006197	pct:43.3,0,25.6,100	VERIFIED	HIGH	Middle verso panel between matched physical folds.
f68v1	f68	1006197	pct:68.9,0,31.1,100	VERIFIED	HIGH	Innermost verso panel, rightmost in the opened verso photograph.
f70r1	f70	1006199	pct:34.0,0,25.2,100	VERIFIED	HIGH	Middle panel of the three-page opening; left page is f69v and the first f70 fold begins at the next gutter.
f70r2	f70	1006199	pct:59.2,0,40.8,100	VERIFIED	HIGH	Rightmost broad recto panel, including its internal secondary crease.
f70v2	f70	1006200	pct:0,0,100,100	VERIFIED	HIGH	Isolated broad Pisces panel; complete unit is visible in this canvas.
f70v1	f70	1006201	pct:0,0,100,100	VERIFIED	HIGH	Isolated goat/Aries panel; physical leaf edges enclose the full unit.
f72r1	f72	1006203	pct:27.2,0,22.0,100	VERIFIED	HIGH	Second panel from left after the f71v page; bounded by consecutive fold lines.
f72r2	f72	1006203	pct:49.2,0,18.6,100	VERIFIED	HIGH	Third panel from left in the four-panel opening; narrow panel between folds.
f72r3	f72	1006203	pct:67.8,0,32.2,100	VERIFIED	HIGH	Rightmost and outermost recto panel.
f72v3	f72	1006204	pct:0,0,59.4,100	VERIFIED	MEDIUM	Left broad panel in the two-panel verso photograph; crop follows the dominant central fold.
f72v2	f72	1006204	pct:59.4,0,40.6,100	VERIFIED	MEDIUM	Right panel in the same verso photograph; folio mark and physical right edge support identification.
f72v1	f72	1006205	pct:0,0,100,100	VERIFIED	HIGH	Isolated remaining verso panel; complete leaf edges are visible.
f85r1	f85	1006228	pct:0,0,100,100	VERIFIED	HIGH	Isolated text-only outer panel bearing the folio mark.
f85r2	f85	1006229	pct:0,0,38.7,100	VERIFIED	HIGH	Leftmost panel of the three-panel quire-14 outside view; distinctive circular design fills the panel.
f86v4	f86	1006229	pct:38.7,0,31.4,100	VERIFIED	HIGH	Middle panel of the three-panel outside view, between two physical folds.
f86v6	f86	1006229	pct:70.1,0,29.9,100	VERIFIED	HIGH	Rightmost panel of the three-panel outside view.
f86v5	f86	1006230	pct:0,0,47.4,100	VERIFIED	HIGH	Left panel of the complementary two-panel view; dense text and folio mark distinguish it.
f86v3	f86	1006230	pct:47.4,0,52.6,100	VERIFIED	HIGH	Right panel of the complementary two-panel view; circular corner-plume design is distinct.
f89r1	f89	1006233	pct:30.8,0,26.7,100	VERIFIED	HIGH	Middle panel after f88v in the three-panel recto opening.
f89r2	f89	1006233	pct:57.5,0,42.5,100	VERIFIED	HIGH	Rightmost broad recto panel, including the visibly continuous artwork to its outer edge.
f89v2	f89	1006234	pct:0,0,100,100	VERIFIED	HIGH	Isolated broad verso panel bearing the folio mark and a central secondary fold.
f89v1	f89	1006235	pct:0,0,38.5,100	VERIFIED	HIGH	Leftmost panel in the opening that continues with f90 recto; physical gutter bounds its right edge.
f90r1	f90	1006235	pct:38.5,0,31.7,100	VERIFIED	HIGH	Middle herbal panel in the three-panel opening, bounded by gutters.
f90r2	f90	1006235	pct:70.2,0,29.8,100	VERIFIED	HIGH	Rightmost herbal panel in the three-panel opening.
f90v2	f90	1006236	pct:0,0,100,100	VERIFIED	HIGH	Isolated verso herbal panel bearing folio number 90.
f90v1	f90	1006237	pct:0,0,100,100	VERIFIED	HIGH	Isolated complementary verso herbal panel.
f95r1	f95	1006241	pct:39.0,0,31.2,100	VERIFIED	HIGH	Middle herbal panel following f94v in the three-panel recto opening.
f95r2	f95	1006241	pct:70.2,0,29.8,100	VERIFIED	HIGH	Rightmost herbal panel in the recto opening.
f95v2	f95	1006242	pct:0,0,100,100	VERIFIED	HIGH	Isolated verso herbal panel bearing folio number 95.
f95v1	f95	1006243	pct:0,0,100,100	VERIFIED	HIGH	Isolated complementary verso herbal panel.
f102r1	f102	1006251	pct:35.7,0,29.3,100	VERIFIED	HIGH	Middle pharmaceutical panel after the partial f101v panel in the three-panel opening.
f102r2	f102	1006251	pct:65.0,0,35.0,100	VERIFIED	HIGH	Rightmost broad recto panel, including the torn outer portion.
f102v2	f102	1006252	pct:0,0,100,100	VERIFIED	HIGH	Isolated broad verso panel bearing folio number 102.
f102v1	f102	1006253	pct:0,0,100,100	VERIFIED	HIGH	Isolated complementary verso pharmaceutical panel bearing the quire mark.
