page_id	review_status	reviewed_canvas_oid	reviewed_crop_locator	review_note
f67r1	AGREE	1006194	pct:0,0,50.0,100	Left half is a complete panel; the center gutter is at approximately 50% and the crop is in bounds.
f67r2	AGREE	1006194	pct:50.0,0,50.0,100	Right half begins at the center gutter and contains the complete second panel through the canvas edge.
f67v2	AGREE	1006195	pct:0,0,49.3,100	Left verso panel is bounded on the right by the visible gutter near 49.3%; reversed order is consistent with the recto.
f67v1	AGREE	1006195	pct:49.3,0,50.7,100	Right verso panel begins at the visible gutter and runs in bounds to the right canvas edge.
f68r1	AGREE	1006196	pct:0,0,30.8,100	First recto panel ends at the first strong vertical fold near 30.8%.
f68r2	AGREE	1006196	pct:30.8,0,26.0,100	Middle recto panel is correctly isolated between the folds near 30.8% and 56.8%.
f68r3	AGREE	1006196	pct:56.8,0,43.2,100	Broad right recto panel begins at the second fold and extends to the outer edge.
f68v3	AGREE	1006197	pct:0,0,43.3,100	Broad left verso panel ends at the clearly visible fold near 43.3%; its order mirrors the recto side.
f68v2	AGREE	1006197	pct:43.3,0,25.6,100	Middle verso panel is bounded by the two folds near 43.3% and 68.9%.
f68v1	AGREE	1006197	pct:68.9,0,31.1,100	Rightmost verso panel begins at the second fold and extends in bounds to the canvas edge.
f70r1	AGREE	1006199	pct:34.0,0,25.2,100	The canvas includes a separate left page; this panel is correctly bounded by gutters near 34.0% and 59.2%.
f70r2	AGREE	1006199	pct:59.2,0,40.8,100	The broad right recto panel begins at the main gutter; the lighter internal crease does not divide the artwork into another panel.
f70v2	AGREE	1006200	pct:0,0,100,100	Canvas 1006200 is the complete broad companion panel, with its physical edges visible; full-canvas crop is appropriate.
f70v1	AGREE	1006201	pct:0,0,100,100	Canvas 1006201 is the separate narrower companion panel; full-canvas crop is in bounds and preserves the complete unit.
f72r1	AGREE	1006203	pct:27.2,0,22.0,100	After the unrelated left page, the first recto foldout panel lies between folds near 27.2% and 49.2%.
f72r2	AGREE	1006203	pct:49.2,0,18.6,100	The narrow middle recto panel is correctly bounded by folds near 49.2% and 67.8%.
f72r3	AGREE	1006203	pct:67.8,0,32.2,100	The rightmost recto panel begins at the outer fold and continues to the leaf edge.
f72v3	AGREE	1006204	pct:0,0,59.4,100	The broad left verso unit extends across a secondary crease; the actual panel boundary is the dominant fold near 59.4%.
f72v2	AGREE	1006204	pct:59.4,0,40.6,100	The right verso unit begins at the dominant fold and extends to the physical/canvas edge.
f72v1	AGREE	1006205	pct:0,0,100,100	Canvas 1006205 shows the remaining verso unit alone, so the full-canvas crop and assignment agree.
f85r1	AGREE	1006228	pct:0,0,100,100	Canvas 1006228 contains a single outer text panel with visible page edges; no subdivision is needed.
f85r2	AGREE	1006229	pct:0,0,38.7,100	The leftmost outside-view panel is bounded by the first strong gutter near 38.7%.
f86v4	AGREE	1006229	pct:38.7,0,31.4,100	The center outside-view panel lies cleanly between gutters near 38.7% and 70.1%.
f86v6	AGREE	1006229	pct:70.1,0,29.9,100	The rightmost outside-view panel begins at the second gutter and extends to the outer edge.
f86v5	AGREE	1006230	pct:0,0,47.4,100	On the complementary two-panel view, the left text panel ends at the central gutter near 47.4%.
f86v3	AGREE	1006230	pct:47.4,0,52.6,100	The right illustrated panel begins at the central gutter and is complete through the canvas edge.
f89r1	AGREE	1006233	pct:30.8,0,26.7,100	Following the separate left page, this recto panel lies between gutters near 30.8% and 57.5%.
f89r2	AGREE	1006233	pct:57.5,0,42.5,100	The broad right recto panel begins at the second gutter; its artwork continues across the internal crease to the outer edge.
f89v2	AGREE	1006234	pct:0,0,100,100	Canvas 1006234 contains the complete broad verso unit; the central crease is internal rather than a panel boundary.
f89v1	AGREE	1006235	pct:0,0,38.5,100	The leftmost panel in this opening ends at the first visible gutter near 38.5%.
f90r1	AGREE	1006235	pct:38.5,0,31.7,100	The middle herbal panel is correctly isolated between gutters near 38.5% and 70.2%.
f90r2	AGREE	1006235	pct:70.2,0,29.8,100	The rightmost herbal panel begins at the second gutter and extends to the canvas edge.
f90v2	AGREE	1006236	pct:0,0,100,100	Canvas 1006236 is an isolated complete verso panel; full-canvas bounds are appropriate.
f90v1	AGREE	1006237	pct:0,0,100,100	Canvas 1006237 is the isolated complementary verso panel and requires no subdivision.
f95r1	AGREE	1006241	pct:39.0,0,31.2,100	After the separate left page, the middle recto panel is bounded by gutters near 39.0% and 70.2%.
f95r2	AGREE	1006241	pct:70.2,0,29.8,100	The rightmost recto panel begins at the second gutter and extends to the outer edge.
f95v2	AGREE	1006242	pct:0,0,100,100	Canvas 1006242 shows one complete isolated verso panel; the full-canvas crop is in bounds.
f95v1	AGREE	1006243	pct:0,0,100,100	Canvas 1006243 shows the separate complementary verso panel; full-canvas assignment agrees.
f102r1	AGREE	1006251	pct:35.7,0,29.3,100	Following the partial left page, this recto panel is bounded by gutters near 35.7% and 65.0%.
f102r2	AGREE	1006251	pct:65.0,0,35.0,100	The broad right recto panel starts at the second gutter and includes the visibly continuous torn outer portion.
f102v2	AGREE	1006252	pct:0,0,100,100	Canvas 1006252 contains one complete isolated verso panel; full-canvas crop is appropriate.
f102v1	AGREE	1006253	pct:0,0,100,100	Canvas 1006253 contains the separate complementary verso panel; its full-canvas crop is in bounds.
