page_id	physical_leaf_id	yale_canvas_oid	source_image_locator	source_version	image_checksum_if_available	annotator_pass	annotation_timestamp	schema_version	crop_locator	adjudication_status
f1r	f1	1006076	https://collections.library.yale.edu/iiif/2/1006076/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f1v	f1	1006077	https://collections.library.yale.edu/iiif/2/1006077/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f2r	f2	1006078	https://collections.library.yale.edu/iiif/2/1006078/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f2v	f2	1006079	https://collections.library.yale.edu/iiif/2/1006079/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f3r	f3	1006080	https://collections.library.yale.edu/iiif/2/1006080/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f3v	f3	1006081	https://collections.library.yale.edu/iiif/2/1006081/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f4r	f4	1006082	https://collections.library.yale.edu/iiif/2/1006082/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f4v	f4	1006083	https://collections.library.yale.edu/iiif/2/1006083/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f5r	f5	1006084	https://collections.library.yale.edu/iiif/2/1006084/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
f5v	f5	1006085	https://collections.library.yale.edu/iiif/2/1006085/full/full/0/default.jpg	YALE-manifest-sha256:317d58fd9ea90392a83d9858a91eada3d0b41416a3c835857dc0154bd123a309	NA_LINKED_SOURCE	clean-full-pass	2026-08-31	1.0.0	full	FULL_PAGE
