descriptor_id	n_compared	agreement	kappa	weighted_kappa	alpha	decision	notes
COMP_ILLUSTRATED_AREA	23	0.782609	0.465116	0.488889	0.449878	REMOVE_OR_COARSEN	FIXED_GATE_FAILED
COMP_ILLUSTRATION_REGIONS	23	0.913043	0.843537	0.857143	0.846154	RETAIN	FIXED_GATE_PASSED
COMP_DOMINANT_LAYOUT	23	0.826087	0.730205	NA	0.732541	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
COMP_IMAGE_INTERLEAVED	23	0.695652	0.414545	NA	0.400000	REMOVE_OR_COARSEN	FIXED_GATE_FAILED
COMP_CENTRAL_ILLUSTRATION	23	0.956522	0.893023	NA	0.895105	RETAIN	FIXED_GATE_PASSED
OBJ_PLANT_LIKE	23	0.956522	0.915751	0.944578	0.917431	RETAIN	FIXED_GATE_PASSED
OBJ_HUMAN_LIKE	23	0.956522	0.893023	0.893023	0.895105	RETAIN	FIXED_GATE_PASSED
OBJ_CONTAINER_LIKE	23	0.869565	0.755319	0.800693	0.759358	RETAIN	FIXED_GATE_PASSED
OBJ_STAR_LIKE	23	0.956522	0.906883	NA	0.908722	RETAIN	FIXED_GATE_PASSED
OBJ_CIRCULAR_UNITS	23	1.000000	1.000000	1.000000	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_RADIAL	23	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_CONCENTRIC	23	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_BRANCHING	23	0.913043	0.818898	NA	0.821429	RETAIN	FIXED_GATE_PASSED
GEO_CONNECTED_NETWORK	23	0.869565	0.000000	NA	-0.046512	REMOVE_OR_COARSEN	FIXED_GATE_FAILED
GEO_REPEATED_MODULES	23	0.956522	0.646154	NA	0.651163	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
FIG_RELATION	23	0.913043	0.800866	NA	0.803922	RETAIN	FIXED_GATE_PASSED
FIG_ENCLOSED	23	0.956522	0.893023	NA	0.895105	RETAIN	FIXED_GATE_PASSED
TXT_EMBEDDED_IMAGE	23	0.869565	0.684932	NA	0.685315	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
TXT_RADIAL	23	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
VIS_DENSITY	23	0.869565	0.798246	0.836105	0.801762	RETAIN	FIXED_GATE_PASSED
VIS_COMPLEXITY	23	0.956522	0.930303	0.941772	0.931715	RETAIN	FIXED_GATE_PASSED
