descriptor_id	n_compared	agreement	kappa	weighted_kappa	alpha	decision	notes
COMP_ILLUSTRATED_AREA	24	0.875000	0.775701	0.794286	0.777953	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
COMP_ILLUSTRATION_REGIONS	24	0.833333	0.751938	0.794521	0.756161	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
COMP_DOMINANT_LAYOUT	24	0.833333	0.788079	NA	0.790879	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
COMP_IMAGE_INTERLEAVED	24	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
COMP_CENTRAL_ILLUSTRATION	24	0.958333	0.903226	NA	0.905051	RETAIN	FIXED_GATE_PASSED
OBJ_PLANT_LIKE	23	0.913043	0.835125	0.894009	0.838420	RETAIN	FIXED_GATE_PASSED
OBJ_HUMAN_LIKE	24	1.000000	1.000000	1.000000	1.000000	RETAIN	FIXED_GATE_PASSED
OBJ_CONTAINER_LIKE	24	0.958333	0.905138	0.907692	0.906931	RETAIN	FIXED_GATE_PASSED
OBJ_STAR_LIKE	24	0.875000	0.772152	0.751295	0.774400	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
OBJ_CIRCULAR_UNITS	24	1.000000	1.000000	1.000000	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_RADIAL	24	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_CONCENTRIC	24	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_BRANCHING	23	0.956522	0.906883	NA	0.908722	RETAIN	FIXED_GATE_PASSED
GEO_CONNECTED_NETWORK	24	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
GEO_REPEATED_MODULES	24	0.875000	0.529412	0.692308	0.528428	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
FIG_RELATION	24	0.958333	0.891892	NA	0.893905	RETAIN	FIXED_GATE_PASSED
FIG_ENCLOSED	24	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
TXT_SURROUNDS_IMAGE	23	0.869565	0.720648	NA	0.726166	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
TXT_EMBEDDED_IMAGE	23	0.913043	0.776699	NA	0.779412	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
TXT_RADIAL	24	1.000000	1.000000	NA	1.000000	RETAIN	FIXED_GATE_PASSED
VIS_DENSITY	24	0.916667	0.862069	0.882353	0.864748	RETAIN	FIXED_GATE_PASSED
VIS_COMPLEXITY	23	1.000000	1.000000	1.000000	1.000000	RETAIN	FIXED_GATE_PASSED
VIS_MOTIF_REPETITION	24	0.875000	0.529412	0.692308	0.528428	CLARIFY_AND_REPILOT	MODERATE_OR_PREVALENCE_CASE
