sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000104 x016449	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	138,9	false	false	true	
x000106 x040639	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	104,17	false	false	true	
x000107 x040638	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	148,11	false	false	true	
x001424 x017415	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	145,99	false	false	true	
x001424 x018499	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	145,148	false	false	true	
x001424 x037863	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	145,281	false	false	true	
x001425 x000104	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	162,138	false	false	true	
x001426 x037857	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	133,305	false	false	true	
x001426 x037858	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	133,310	false	false	true	
x001427 x018500	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	151,171	false	false	true	
x001428 x018500	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	166,171	false	false	true	
x001428 x018501	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	166,143	false	false	true	
x001428 x037861	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	166,280	false	false	true	
x001430 x017892	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	147,52	false	false	true	
x001430 x018497	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	147,147	false	false	true	
x001430 x041117	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	147,71	false	false	true	
x001431 x018500	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	144,171	false	false	true	
x002105 x020018	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	36,81	false	false	true	
x002110 x000110	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	36,148	false	false	true	
x002336 x037857	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	43,305	false	false	true	
x002336 x037859	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	43,292	false	false	true	
x002337 x037857	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	43,305	false	false	true	
x002337 x037859	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	43,292	false	false	true	
x002338 x037856	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	54,267	false	false	true	
x002338 x037860	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	54,296	false	false	true	
x002338 x037861	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	54,280	false	false	true	
x002339 x037858	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	35,310	false	false	true	
x002340 x037857	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	38,305	false	false	true	
x002340 x037862	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	38,294	false	false	true	
x002341 x037856	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	56,267	false	false	true	
x002341 x037862	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	56,294	false	false	true	
x002341 x037863	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	56,281	false	false	true	
x002342 x037858	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	38,310	false	false	true	
x002342 x037862	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	38,294	false	false	true	
x002343 x020019	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	39,88	false	false	true	
x005077 x000111	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	38,137	false	false	true	
x005338 x023924	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	6,17	false	false	true	
x011065 x037264	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	7,12	false	false	true	
x011068 x037268	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	6,13	false	false	true	
x011070 x037267	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	7,11	false	false	true	
