sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x000104 x016449	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0018217077040606454	0.7252747252747253
x000106 x040639	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0018217077040606454	0.7672327672327672
x000107 x040638	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0018217077040606454	0.5984015984015985
x001424 x017415	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.004039438822047518	0.5694305694305695
x001424 x018499	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.008991008991008992	0.010387128399550761	0.6463536463536463
x001424 x037863	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.01098901098901099	0.012239257748239786	0.5794205794205795
x001425 x000104	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.01098901098901099	0.012239257748239786	0.5774225774225774
x001426 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.04595404595404595	0.04645354645354645	0.44955044955044954
x001426 x037858	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.00999000999000999	0.01147001147001147	0.44655344655344653
x001427 x018500	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.012987012987012988	0.014209320091673033	0.5464535464535465
x001428 x018500	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.0029730269730269734	0.5144855144855145
x001428 x018501	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.0029730269730269734	0.5764235764235764
x001428 x037861	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06293706293706294	0.06293706293706294	0.5714285714285714
x001430 x017892	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.0029730269730269734	0.4955044955044955
x001430 x018497	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.011988011988011988	0.013193906685030945	0.5254745254745254
x001430 x041117	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0018217077040606454	0.5214785214785215
x001431 x018500	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.02097902097902098	0.021558551945292277	0.5584415584415584
x002105 x020018	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0018217077040606454	0.5874125874125874
x002110 x000110	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.0018217077040606454	0.5484515484515484
x002336 x037857	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.004995004995004995	0.006235375362892141	0.5804195804195804
