folio_id	currier	section	stratum	partition	zl3b_page_ids	zl3b_line_count	zl3b_token_count	it2a_page_ids	it2a_line_count	it2a_token_count
fRos	B	Cosmological	B/Cosmological	DEVELOPMENT	fRos	160	551	-	0	0
f1	A	Text	A/Text	DEVELOPMENT	f1r;f1v	38	313	f1r;f1v	38	304
f2	A	Herbal	A/Herbal	DEVELOPMENT	f2r;f2v	23	170	f2r;f2v	21	160
f3	A	Herbal	A/Herbal	DEVELOPMENT	f3r;f3v	34	199	f3r;f3v	34	198
f4	A	Herbal	A/Herbal	DEVELOPMENT	f4r;f4v	27	149	f4r;f4v	27	147
f5	A	Herbal	A/Herbal	VALIDATION	f5r;f5v	13	106	f5r;f5v	13	102
f6	A	Herbal	A/Herbal	HELDOUT	f6r;f6v	35	203	f6r;f6v	35	200
f7	A	Herbal	A/Herbal	DEVELOPMENT	f7r;f7v	19	144	f7r;f7v	19	135
f8	A	Herbal	A/Herbal	DEVELOPMENT	f8r;f8v	38	277	f8r;f8v	38	265
f9	A	Herbal	A/Herbal	DEVELOPMENT	f9r;f9v	22	173	f9r;f9v	22	168
f10	A	Herbal	A/Herbal	VALIDATION	f10r;f10v	19	151	f10r;f10v	19	145
f11	A	Herbal	A/Herbal	HELDOUT	f11r;f11v	14	113	f11r;f11v	13	105
f13	A	Herbal	A/Herbal	DEVELOPMENT	f13r;f13v	20	147	f13r;f13v	20	145
f14	A	Herbal	A/Herbal	DEVELOPMENT	f14r;f14v	22	152	f14r;f14v	22	145
f15	A	Herbal	A/Herbal	DEVELOPMENT	f15r;f15v	27	166	f15r;f15v	27	163
f16	A	Herbal	A/Herbal	VALIDATION	f16r;f16v	26	160	f16r;f16v	26	150
f17	A	Herbal	A/Herbal	HELDOUT	f17r;f17v	36	218	f17r;f17v	35	209
f18	A	Herbal	A/Herbal	DEVELOPMENT	f18r;f18v	24	158	f18r;f18v	24	154
f19	A	Herbal	A/Herbal	DEVELOPMENT	f19r;f19v	27	158	f19r;f19v	27	153
f20	A	Herbal	A/Herbal	DEVELOPMENT	f20r;f20v	24	177	f20r;f20v	24	174
f21	A	Herbal	A/Herbal	VALIDATION	f21r;f21v	20	162	f21r;f21v	20	151
f22	A	Herbal	A/Herbal	HELDOUT	f22r;f22v	29	193	f22r;f22v	29	181
f23	A	Herbal	A/Herbal	DEVELOPMENT	f23r;f23v	23	205	f23r;f23v	23	195
f24	A	Herbal	A/Herbal	DEVELOPMENT	f24r;f24v	36	200	f24r;f24v	36	188
f25	A	Herbal	A/Herbal	DEVELOPMENT	f25r;f25v	14	108	f25r;f25v	14	105
f26	B	Herbal	B/Herbal	DEVELOPMENT	f26r;f26v	19	187	f26r;f26v	19	177
f27	A	Herbal	A/Herbal	VALIDATION	f27r;f27v	21	157	f27r;f27v	21	149
f28	A	Herbal	A/Herbal	HELDOUT	f28r;f28v	18	136	f28r;f28v	18	135
f29	A	Herbal	A/Herbal	DEVELOPMENT	f29r;f29v	21	159	f29r;f29v	21	160
f30	A	Herbal	A/Herbal	DEVELOPMENT	f30r;f30v	24	166	f30r;f30v	24	158
f31	B	Herbal	B/Herbal	DEVELOPMENT	f31r;f31v	27	214	f31r;f31v	27	210
f32	A	Herbal	A/Herbal	DEVELOPMENT	f32r;f32v	30	166	f32r;f32v	30	162
f33	B	Herbal	B/Herbal	DEVELOPMENT	f33r;f33v	18	188	f33r;f33v	18	181
f34	B	Herbal	B/Herbal	VALIDATION	f34r;f34v	26	268	f34r;f34v	26	259
f35	A	Herbal	A/Herbal	VALIDATION	f35r;f35v	36	189	f35r;f35v	36	179
f36	A	Herbal	A/Herbal	HELDOUT	f36r;f36v	23	143	f36r;f36v	23	133
f37	A	Herbal	A/Herbal	DEVELOPMENT	f37r;f37v	34	169	f37r;f37v	34	165
