Decile	Group	Tokens	H2
0	GIANT	4	0.333333333
0	OUTSIDE	821	2.997137555
1	GIANT	7	0.937744375
1	OUTSIDE	817	2.993900258
2	GIANT	3	0.583659167
2	OUTSIDE	822	3.013428131
3	GIANT	7	1.050882522
3	OUTSIDE	817	3.044784032
4	GIANT	5	0.633985000
4	OUTSIDE	819	2.989826847
5	GIANT	6	0.000000000
5	OUTSIDE	819	2.969784826
6	GIANT	9	1.265138095
6	OUTSIDE	897	2.994948916
7	GIANT	48	1.704068024
7	OUTSIDE	1602	2.722676651
8	GIANT	286	2.069151920
8	OUTSIDE	2800	2.578823329
9	GIANT	23264	1.961302078
9	OUTSIDE	5527	2.267666062
