model	element	label	source_or_reason	profile_effect
F08_SERPENS	spiral, equal holes, letter inserts, centre-to-edge reading	E	NAL 635 29v-31r via task74	R0 invariant core
F08_SERPENS	ordered nullable hole state	I	minimum observable representation	R0
F08_SERPENS	capacity 12, Latin23, known length	H	finite experiment	R0 parameters
F08_SERPENS	empty-hole terminator	H	possible but unattested stop rule	R1 only
F08_SERPENS	movable/rotating inserts and association convention	U	source excerpt does not fix them	excluded
F07_ROTA	separate letter wheel	E/I	task74 dossier	cyclic selector core
F07_ROTA	one disk, Latin23, pointer, unit step	H	finite experiment	R0 only
F07_ROTA	disk count, relative motion, historical step	U	task74 ambiguity	excluded
F10_CYLINDRUS	cylindrical letter carrier with angular/axial state	I	task74 dossier	common core
F10_CYLINDRUS	seven bands, Latin23, read line	H	finite experiment	R0/R1
F10_CYLINDRUS	independent bands	H	one admissible completion	R0
F10_CYLINDRUS	coupled suffix movement	H	sensitivity alternative	R1
F10_CYLINDRUS	historical band count, coupling and route	U	task74 ambiguity	no profile promotion
F11_ARISMETRICUM	body, holes and numbers	E	task74 dossier	R0 invariant core
F11_ARISMETRICUM	indexed placement and lookup	I	minimal operation implied by numbered positions	R0
F11_ARISMETRICUM	six word cues	H	finite test fixture	R0 parameter
F11_ARISMETRICUM	exact historical number-content mapping	U	task74 ambiguity	excluded
F12_HORALOGIUS	temporal/motion state and work reminder signal	E	NAL 635 34v-35r via task74	R0 invariant core
F12_HORALOGIUS	state-trigger-cue architecture	I	minimum operational reading	R0
F12_HORALOGIUS	12 ticks, three alarms, cue mapping	H	finite formal test	R0 parameters
F12_HORALOGIUS	drive, calibration, signal form, human retention	U	source does not specify them	excluded
