identifier	source_location	purpose	input_output	external_state	reconstruction_confidence	constructive_data	operational_instruction	material_unknowns	testable	modern_assumption_risk	tier	disposition
F01_SPECULUM	NAL 635 19v-21r	reservatio слова	letters -> letters	independent ring offsets	HIGH	yes	yes	material; fastening; marked radius	yes	low	REFERENCE	validated in task76; not rerun
F02_CLAVICULAE	NAL 635 21v-23r approx.	letter combinations	letters -> cue/transformation	key/rod positions	MEDIUM	partial	variant-dependent	geometry; route; variant rules	invariant core only	high	C	uncertainty dossier; no implementation
F03_STELLA	NAL 635 23r-24r approx.	letter instrument	letters -> cue	angular configuration	LOW	partial	no	movement; start; reading path	no	high	C	no implementation
F04_SOL	NAL 635 24r-25r approx.	letter instrument	letters -> cue	circular configuration	LOW	partial	no	movement; start; reading path	no	high	C	no implementation
F05_ZIRBUS	NAL 635 25r-26r approx.	instrumental memory	letters -> cue	sector configuration	LOW	no	no	physical realization; movement; reading	no	high	C	no implementation
F06_GRADATUM	NAL 635 26r-27r approx.	ordered memory	letters -> sequence	positions on levels	LOW	partial	no	path over steps/faces	no	high	C	no implementation
F07_ROTA	NAL 635 27r-29v approx.	letter wheel	rotation/action -> selected cue	cyclic angular offset	MEDIUM	partial	partial	disk count; layout; zero; step	invariant core	medium	B	R0 cyclic selector only
F08_SERPENS	NAL 635 29v-31r	remember what time damages	letter sequence -> sequence/cue	ordered occupied spiral holes	MEDIUM	yes	yes	capacity; boundary; insert mobility; association	yes	medium	A	R0 full test; R1 sensitivity
F09_COLUMNA	NAL 635 31r-32r approx.	instrumental memory	letters -> cue	vertical placement	LOW	no	no	movement; reading route	no	high	C	no implementation
F10_CYLINDRUS	NAL 635 32r-33r approx.	memory/combination	letters -> aligned sequence	angular offsets by band	MEDIUM	partial	partial	band count; coupling; step; route	bounded profiles	medium-high	B	R0/R1 profile sensitivity only
F11_ARISMETRICUM	NAL 635 33r-34v approx.	indexed aid	index -> opaque cue	occupied numbered holes	MEDIUM	partial	partial	exact mapping; content; mobility	invariant core	medium	B	R0 lookup only
F12_HORALOGIUS	NAL 635 34v-35r	remind user of work	time/state -> cue -> recall	cyclic time and trigger state	MEDIUM	partial	partial	drive; calibration; signal; human retention	invariant core	medium	B	R0 cue mechanism; no population claim
