model	profile	experiment	condition	trial	input	observed	exact	symbol_accuracy	normalized_edit_distance	compatible_interpretations	state_json	notes
F08_SERPENS	R0	baseline	full_K_intact	S01	MEMORIA	MEMORIA	true	1.000000	0.000000	1	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	literal positional reading
F08_SERPENS	R0	knowledge_ablation	start_unknown	S01	MEMORIA	MEMORIA	true	1.000000	0.000000	6	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	direction_unknown	S01	MEMORIA	MEMORIA	true	1.000000	0.000000	2	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	start_direction_unknown	S01	MEMORIA	MEMORIA	true	1.000000	0.000000	12	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	boundary_unknown	S01	MEMORIA	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	one candidate per length 1..capacity; empty holes do not historically certify a terminator
F08_SERPENS	R0	knowledge_ablation	association_unknown	S01	MEMORIA	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	no formal enumeration: arbitrary semantic association is outside literal decoder
F08_SERPENS	R0	knowledge_ablation	element_order_unknown	S01	MEMORIA	<set>	false	0.000000	NOT_APPLICABLE	5040	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	upper bound L!; repeated symbols can lower the distinct count
F08_SERPENS	R0	knowledge_ablation	marker_meaning_unknown	S01	MEMORIA	<unbounded>	false	0.000000	NOT_APPLICABLE	unbounded	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	literal glyphs remain visible but their association is unspecified
F08_SERPENS	R0	knowledge_ablation	transition_rule_unknown	S01	MEMORIA	<set>	false	0.000000	NOT_APPLICABLE	5040	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	L! upper bound when the next-hole rule is unavailable
F08_SERPENS	R0	knowledge_ablation	stop_rule_unknown	S01	MEMORIA	<set>	false	0.000000	NOT_APPLICABLE	12	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	equivalent to boundary ablation in finite R0; no terminator inferred
F08_SERPENS	R0	state_corruption	single_substitution	S01	MEMORIA	MEXORIA	false	0.857143	0.142857	1	{"holes":["M","E","X","O","R","I","A",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	missing_insertion	S01	MEMORIA	ME?ORIA	false	0.857143	0.142857	1	{"holes":["M","E",null,"O","R","I","A",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	adjacent_swap	S01	MEMORIA	MEOMRIA	false	0.714286	0.285714	1	{"holes":["M","E","O","M","R","I","A",null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	frame_collapse	S01	MEMORIA	MEORIA?	false	0.285714	0.285714	1	{"holes":["M","E","O","R","I","A",null,null,null,null,null,null]}	synchronization_or_global
F08_SERPENS	R0	state_corruption	duplicate_insertion	S01	MEMORIA	MEEORIA	false	0.857143	0.142857	1	{"holes":["M","E","E","O","R","I","A",null,null,null,null,null]}	local
F08_SERPENS	R0	state_corruption	start_shift	S01	MEMORIA	EMORIA?	false	0.000000	0.285714	1	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	synchronization/global ambiguity
F08_SERPENS	R0	state_corruption	direction_reversal	S01	MEMORIA	AIROMEM	false	0.142857	0.857143	1	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	global order error
F08_SERPENS	R0	state_corruption	local_geometry_order_preserved	S01	MEMORIA	MEMORIA	true	1.000000	0.000000	1	{"holes":["M","E","M","O","R","I","A",null,null,null,null,null]}	geometry changed, topological traversal order preserved
F08_SERPENS	R0	combined_degradation	start_unknown_plus_missing	S01	MEMORIA	ME?ORIA	false	0.857143	0.142857	6	{"holes":["M","E",null,"O","R","I","A",null,null,null,null,null]}	no candidate selected by message similarity
F08_SERPENS	R0	baseline	full_K_intact	S02	FONTANA	FONTANA	true	1.000000	0.000000	1	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	literal positional reading
F08_SERPENS	R0	knowledge_ablation	start_unknown	S02	FONTANA	FONTANA	true	1.000000	0.000000	6	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
F08_SERPENS	R0	knowledge_ablation	direction_unknown	S02	FONTANA	FONTANA	true	1.000000	0.000000	2	{"holes":["F","O","N","T","A","N","A",null,null,null,null,null]}	observed is first enumerated candidate; compatible is primary outcome
