sequence	context	token	count	probability
ol s aiin	B	@136;yfchedy	1	0.004310344827586207
ol s aiin	B	@176;am	1	0.004310344827586207
ol s aiin	B	aiiin	2	0.008620689655172414
ol s aiin	B	aiin	42	0.1810344827586207
ol s aiin	B	aim	1	0.004310344827586207
ol s aiin	B	ain	3	0.01293103448275862
ol s aiin	B	air	3	0.01293103448275862
ol s aiin	B	airol	1	0.004310344827586207
ol s aiin	B	al	5	0.021551724137931036
ol s aiin	B	alchedy	1	0.004310344827586207
ol s aiin	B	aldy	1	0.004310344827586207
ol s aiin	B	altedy	1	0.004310344827586207
ol s aiin	B	aly	1	0.004310344827586207
ol s aiin	B	am	2	0.008620689655172414
ol s aiin	B	ar	12	0.05172413793103448
ol s aiin	B	araiin	1	0.004310344827586207
ol s aiin	B	arol	1	0.004310344827586207
ol s aiin	B	ary	1	0.004310344827586207
ol s aiin	B	as	1	0.004310344827586207
ol s aiin	B	cfhoaiin	1	0.004310344827586207
ol s aiin	B	chain	2	0.008620689655172414
ol s aiin	B	cham	1	0.004310344827586207
ol s aiin	B	chan	1	0.004310344827586207
ol s aiin	B	cheam	1	0.004310344827586207
ol s aiin	B	chear	1	0.004310344827586207
ol s aiin	B	cheeol	1	0.004310344827586207
ol s aiin	B	cheey	2	0.008620689655172414
ol s aiin	B	cheody	1	0.004310344827586207
ol s aiin	B	cheol	2	0.008620689655172414
ol s aiin	B	cheor	3	0.01293103448275862
ol s aiin	B	cheos	2	0.008620689655172414
ol s aiin	B	chey	3	0.01293103448275862
ol s aiin	B	chiin	1	0.004310344827586207
ol s aiin	B	cho	3	0.01293103448275862
ol s aiin	B	chochy	1	0.004310344827586207
ol s aiin	B	chody	1	0.004310344827586207
ol s aiin	B	chol	7	0.03017241379310345
ol s aiin	B	chold	1	0.004310344827586207
ol s aiin	B	chor	2	0.008620689655172414
ol s aiin	B	chorshedy	1	0.004310344827586207
ol s aiin	B	chy	4	0.017241379310344827
ol s aiin	B	cth	1	0.004310344827586207
ol s aiin	B	daiin	1	0.004310344827586207
ol s aiin	B	dain	3	0.01293103448275862
ol s aiin	B	dal	1	0.004310344827586207
ol s aiin	B	dar	1	0.004310344827586207
ol s aiin	B	dcheoky	1	0.004310344827586207
ol s aiin	B	dy	1	0.004310344827586207
ol s aiin	B	e	1	0.004310344827586207
ol s aiin	B	g	1	0.004310344827586207
ol s aiin	B	keey	1	0.004310344827586207
ol s aiin	B	lor	1	0.004310344827586207
ol s aiin	B	o	2	0.008620689655172414
ol s aiin	B	oar	1	0.004310344827586207
ol s aiin	B	oc'o	1	0.004310344827586207
ol s aiin	B	ocphy	1	0.004310344827586207
ol s aiin	B	odaiin	1	0.004310344827586207
ol s aiin	B	odam	1	0.004310344827586207
ol s aiin	B	odan	1	0.004310344827586207
ol s aiin	B	odar	3	0.01293103448275862
ol s aiin	B	ody	1	0.004310344827586207
ol s aiin	B	ofchoshy	1	0.004310344827586207
ol s aiin	B	ok	1	0.004310344827586207
ol s aiin	B	okchey	1	0.004310344827586207
ol s aiin	B	okeeaiin	1	0.004310344827586207
ol s aiin	B	okeedy	1	0.004310344827586207
ol s aiin	B	okeey	1	0.004310344827586207
ol s aiin	B	okoldy	1	0.004310344827586207
ol s aiin	B	ol	2	0.008620689655172414
ol s aiin	B	olcheety	1	0.004310344827586207
ol s aiin	B	olkain	1	0.004310344827586207
ol s aiin	B	olkedy	1	0.004310344827586207
ol s aiin	B	olkeedy	1	0.004310344827586207
ol s aiin	B	olo	1	0.004310344827586207
ol s aiin	B	olshocthy	1	0.004310344827586207
ol s aiin	B	oly	1	0.004310344827586207
ol s aiin	B	om	1	0.004310344827586207
ol s aiin	B	or	9	0.03879310344827586
ol s aiin	B	os	2	0.008620689655172414
ol s aiin	B	oshctho	1	0.004310344827586207
ol s aiin	B	otaiin	1	0.004310344827586207
ol s aiin	B	otain	1	0.004310344827586207
ol s aiin	B	oteey	1	0.004310344827586207
ol s aiin	B	oteodal	1	0.004310344827586207
ol s aiin	B	otol	1	0.004310344827586207
ol s aiin	B	pair	1	0.004310344827586207
ol s aiin	B	pchocty	1	0.004310344827586207
ol s aiin	B	polchy	1	0.004310344827586207
ol s aiin	B	qokcho	1	0.004310344827586207
ol s aiin	B	qokchod	1	0.004310344827586207
ol s aiin	B	qokchy	1	0.004310344827586207
ol s aiin	B	qokedy	3	0.01293103448275862
ol s aiin	B	qotchey	1	0.004310344827586207
ol s aiin	B	qotchor	1	0.004310344827586207
ol s aiin	B	qotcotor	1	0.004310344827586207
ol s aiin	B	qoteees	1	0.004310344827586207
ol s aiin	B	s	1	0.004310344827586207
ol s aiin	B	sham	1	0.004310344827586207
ol s aiin	B	shar	1	0.004310344827586207
ol s aiin	B	she	1	0.004310344827586207
ol s aiin	B	sheaiin	1	0.004310344827586207
ol s aiin	B	sheey	1	0.004310344827586207
ol s aiin	B	sheor	1	0.004310344827586207
ol s aiin	B	shey	2	0.008620689655172414
ol s aiin	B	sho	1	0.004310344827586207
ol s aiin	B	shokey	1	0.004310344827586207
ol s aiin	B	shol	1	0.004310344827586207
ol s aiin	B	shor	1	0.004310344827586207
ol s aiin	B	shy	1	0.004310344827586207
ol s aiin	B	soaiin	1	0.004310344827586207
ol s aiin	B	sody	1	0.004310344827586207
ol s aiin	B	sor	1	0.004310344827586207
ol s aiin	B	tar	1	0.004310344827586207
ol s aiin	B	tolsheol	1	0.004310344827586207
ol s aiin	B	totchy	1	0.004310344827586207
ol s aiin	B	y	8	0.034482758620689655
ol s aiin	B	ycho	1	0.004310344827586207
ol s aiin	B	ychol	1	0.004310344827586207
ol s aiin	B	ychos	1	0.004310344827586207
ol s aiin	B	ykchy	2	0.008620689655172414
ol s aiin	B	yol	1	0.004310344827586207
ol s aiin	B	ypchey	1	0.004310344827586207
ol s aiin	B	ysaiin	1	0.004310344827586207
ol s aiin	B	yteain	1	0.004310344827586207
ol s aiin	AB	aiin	5	0.625
ol s aiin	AB	al	1	0.125
ol s aiin	AB	chey	1	0.125
ol s aiin	AB	or	1	0.125
or or aiin	B	acheody	1	0.003257328990228013
or or aiin	B	afalairidy	1	0.003257328990228013
or or aiin	B	ai'he	1	0.003257328990228013
or or aiin	B	aickyy	1	0.003257328990228013
or or aiin	B	aiiin	8	0.026058631921824105
or or aiin	B	aiikam	1	0.003257328990228013
or or aiin	B	aiin	42	0.13680781758957655
or or aiin	B	aiinchodar	1	0.003257328990228013
or or aiin	B	aiir	1	0.003257328990228013
or or aiin	B	aiiroekey	1	0.003257328990228013
or or aiin	B	ain	10	0.03257328990228013
or or aiin	B	air	6	0.019543973941368076
or or aiin	B	airody	1	0.003257328990228013
or or aiin	B	airol	1	0.003257328990228013
or or aiin	B	al	4	0.013029315960912053
or or aiin	B	alal	1	0.003257328990228013
or or aiin	B	alchy	1	0.003257328990228013
or or aiin	B	aldy	1	0.003257328990228013
or or aiin	B	als	1	0.003257328990228013
or or aiin	B	aly	1	0.003257328990228013
or or aiin	B	am	4	0.013029315960912053
or or aiin	B	ar	6	0.019543973941368076
or or aiin	B	aral	1	0.003257328990228013
or or aiin	B	arar	1	0.003257328990228013
or or aiin	B	arodar	1	0.003257328990228013
or or aiin	B	arodl	1	0.003257328990228013
or or aiin	B	arojy	1	0.003257328990228013
or or aiin	B	arolkeedy	1	0.003257328990228013
or or aiin	B	aror	2	0.006514657980456026
or or aiin	B	as	1	0.003257328990228013
or or aiin	B	ch'eey	1	0.003257328990228013
or or aiin	B	chaiin	1	0.003257328990228013
or or aiin	B	chain	1	0.003257328990228013
or or aiin	B	char	1	0.003257328990228013
or or aiin	B	chcfhy	1	0.003257328990228013
or or aiin	B	chckhaly	1	0.003257328990228013
or or aiin	B	chckhdy	1	0.003257328990228013
or or aiin	B	chckhy	1	0.003257328990228013
or or aiin	B	chcphar	1	0.003257328990228013
or or aiin	B	chdy	3	0.009771986970684038
or or aiin	B	chear	2	0.006514657980456026
or or aiin	B	checthy	1	0.003257328990228013
or or aiin	B	chedy	4	0.013029315960912053
or or aiin	B	cheeaiin	1	0.003257328990228013
or or aiin	B	cheedls	1	0.003257328990228013
or or aiin	B	cheef	2	0.006514657980456026
or or aiin	B	cheeky	1	0.003257328990228013
or or aiin	B	cheeody	1	0.003257328990228013
or or aiin	B	chees	1	0.003257328990228013
or or aiin	B	cheey	6	0.019543973941368076
or or aiin	B	chekchdy	1	0.003257328990228013
or or aiin	B	cheol	1	0.003257328990228013
or or aiin	B	cheom	1	0.003257328990228013
or or aiin	B	cheor	1	0.003257328990228013
or or aiin	B	cheos	2	0.006514657980456026
or or aiin	B	chesy	1	0.003257328990228013
or or aiin	B	chey	5	0.016286644951140065
or or aiin	B	chkar	1	0.003257328990228013
or or aiin	B	chkorol	1	0.003257328990228013
or or aiin	B	cho	1	0.003257328990228013
or or aiin	B	chockhar	1	0.003257328990228013
or or aiin	B	chockhy	1	0.003257328990228013
or or aiin	B	chod	1	0.003257328990228013
or or aiin	B	chodaiin	1	0.003257328990228013
or or aiin	B	chol	4	0.013029315960912053
or or aiin	B	cholalaiin	1	0.003257328990228013
or or aiin	B	chor	5	0.016286644951140065
or or aiin	B	chr	1	0.003257328990228013
or or aiin	B	chy	2	0.006514657980456026
or or aiin	B	ckhedy	1	0.003257328990228013
or or aiin	B	ckhor	1	0.003257328990228013
or or aiin	B	dackhy	1	0.003257328990228013
or or aiin	B	dag	1	0.003257328990228013
or or aiin	B	daiin	3	0.009771986970684038
or or aiin	B	dain	1	0.003257328990228013
or or aiin	B	dar	1	0.003257328990228013
or or aiin	B	dchchy	1	0.003257328990228013
or or aiin	B	dchor	1	0.003257328990228013
or or aiin	B	dor	1	0.003257328990228013
or or aiin	B	eedy	1	0.003257328990228013
or or aiin	B	eeedy	1	0.003257328990228013
or or aiin	B	eees	2	0.006514657980456026
or or aiin	B	eeodaiin	1	0.003257328990228013
or or aiin	B	fchoky	1	0.003257328990228013
or or aiin	B	lchey	1	0.003257328990228013
or or aiin	B	o	1	0.003257328990228013
or or aiin	B	oaiin	1	0.003257328990228013
or or aiin	B	oal	1	0.003257328990228013
or or aiin	B	ocheey	1	0.003257328990228013
or or aiin	B	ochy	1	0.003257328990228013
or or aiin	B	odaiin	1	0.003257328990228013
or or aiin	B	odarchdy	1	0.003257328990228013
or or aiin	B	oiiin	1	0.003257328990228013
or or aiin	B	oiin	1	0.003257328990228013
or or aiin	B	okaiin	2	0.006514657980456026
or or aiin	B	okain	3	0.009771986970684038
or or aiin	B	okal	1	0.003257328990228013
or or aiin	B	okan	1	0.003257328990228013
or or aiin	B	okedy	1	0.003257328990228013
or or aiin	B	okeed	1	0.003257328990228013
or or aiin	B	okeedy	2	0.006514657980456026
or or aiin	B	okeeeey	1	0.003257328990228013
or or aiin	B	ol	7	0.02280130293159609
or or aiin	B	olaiiin	1	0.003257328990228013
or or aiin	B	olchdy	1	0.003257328990228013
or or aiin	B	oldar	1	0.003257328990228013
or or aiin	B	olkain	1	0.003257328990228013
or or aiin	B	olkal	1	0.003257328990228013
or or aiin	B	olkl	1	0.003257328990228013
or or aiin	B	olkoaiin	1	0.003257328990228013
or or aiin	B	olorol	1	0.003257328990228013
or or aiin	B	oly	3	0.009771986970684038
or or aiin	B	om	2	0.006514657980456026
or or aiin	B	or	6	0.019543973941368076
or or aiin	B	or@193;	1	0.003257328990228013
or or aiin	B	oraiiin	1	0.003257328990228013
or or aiin	B	ordy	1	0.003257328990228013
or or aiin	B	oro	2	0.006514657980456026
or or aiin	B	oroa	1	0.003257328990228013
or or aiin	B	orol	2	0.006514657980456026
or or aiin	B	osal	1	0.003257328990228013
or or aiin	B	otaiin	2	0.006514657980456026
or or aiin	B	otchy	1	0.003257328990228013
or or aiin	B	oteed	1	0.003257328990228013
or or aiin	B	otees	1	0.003257328990228013
or or aiin	B	oteody	1	0.003257328990228013
or or aiin	B	otol	1	0.003257328990228013
or or aiin	B	otshey	1	0.003257328990228013
or or aiin	B	pol	1	0.003257328990228013
or or aiin	B	qokaiin	1	0.003257328990228013
or or aiin	B	qokal	1	0.003257328990228013
or or aiin	B	qokeeo	1	0.003257328990228013
or or aiin	B	qokor	1	0.003257328990228013
or or aiin	B	qotaiin	1	0.003257328990228013
or or aiin	B	qoto	1	0.003257328990228013
or or aiin	B	r	1	0.003257328990228013
or or aiin	B	s	1	0.003257328990228013
or or aiin	B	schaiin	1	0.003257328990228013
or or aiin	B	shaiin	1	0.003257328990228013
or or aiin	B	shdy	1	0.003257328990228013
or or aiin	B	she'ees	1	0.003257328990228013
or or aiin	B	shear	2	0.006514657980456026
or or aiin	B	sheckhedy	1	0.003257328990228013
or or aiin	B	shecthy	1	0.003257328990228013
or or aiin	B	shedy	9	0.029315960912052116
or or aiin	B	sheedy	1	0.003257328990228013
or or aiin	B	sheeo	1	0.003257328990228013
or or aiin	B	sheey	1	0.003257328990228013
or or aiin	B	shek	1	0.003257328990228013
or or aiin	B	shekar	1	0.003257328990228013
or or aiin	B	sheky	1	0.003257328990228013
or or aiin	B	sheockhy	1	0.003257328990228013
or or aiin	B	sheolo	1	0.003257328990228013
or or aiin	B	shey	1	0.003257328990228013
or or aiin	B	shkair	1	0.003257328990228013
or or aiin	B	sho	1	0.003257328990228013
or or aiin	B	shodaiin	1	0.003257328990228013
or or aiin	B	shol	1	0.003257328990228013
or or aiin	B	shshdar	1	0.003257328990228013
or or aiin	B	y	5	0.016286644951140065
or or aiin	B	ykaiin	2	0.006514657980456026
or or aiin	B	ykeedy	2	0.006514657980456026
or or aiin	B	ykoiin	1	0.003257328990228013
or or aiin	B	yky	1	0.003257328990228013
or or aiin	B	ysheor	1	0.003257328990228013
or or aiin	B	ytal	1	0.003257328990228013
or or aiin	B	ytdar	1	0.003257328990228013
or or aiin	B	yteey	1	0.003257328990228013
or or aiin	B	yty	1	0.003257328990228013
or or aiin	AB	aiin	4	0.6666666666666666
or or aiin	AB	chkorol	1	0.16666666666666666
or or aiin	AB	or	1	0.16666666666666666
s aiin chey	B	aiir	1	0.0035087719298245615
s aiin chey	B	aikhedy	1	0.0035087719298245615
s aiin chey	B	al	4	0.014035087719298246
