sequence	block	currier	hand	joint	count_b	count_ab	count_bc	count_abc	p_c_given_b	p_c_given_ab	enrichment	delta_probability	eligible_primary	eligible_descriptive	p_a_given_b	p_a_given_bc	reverse_enrichment	reverse_delta_probability
ol s aiin	1/1#0	1	1	1/1	64	1	3	0	0.046875	0	0	-0.046875	false	false	0.015625	0	0	-0.015625
ol s aiin	2/2#0	2	2	2/2	9	0	3	0	0.3333333333333333	0	0	-0.3333333333333333	false	false	0	0	0	0
ol s aiin	1/1#1	1	1	1/1	4	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#1	2	2	2/2	6	0	4	0	0.6666666666666666	0	0	-0.6666666666666666	false	false	0	0	0	0
ol s aiin	1/1#2	1	1	1/1	2	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#2	2	2	2/2	5	0	2	0	0.4	0	0	-0.4	false	false	0	0	0	0
ol s aiin	1/1#3	1	1	1/1	12	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#3	2	2	2/2	5	0	2	0	0.4	0	0	-0.4	false	false	0	0	0	0
ol s aiin	2/5#0	2	5	2/5	1	0	1	0	1	0	0	-1	false	false	0	0	0	0
ol s aiin	1/1#4	1	1	1/1	3	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#4	2	2	2/2	1	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	1/1#5	1	1	1/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#5	2	2	2/2	5	0	1	0	0.2	0	0	-0.2	false	false	0	0	0	0
ol s aiin	1/1#6	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/5#1	2	5	2/5	0	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	1/1#7	1	1	1/1	4	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#6	2	2	2/2	0	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	1/1#8	1	1	1/1	19	1	3	0	0.15789473684210525	0	0	-0.15789473684210525	false	false	0.05263157894736842	0	0	-0.05263157894736842
ol s aiin	2/2#7	2	2	2/2	2	1	2	1	1	1	1	0	false	false	0.5	0.5	1	0
ol s aiin	1/1#9	1	1	1/1	3	0	1	0	0.3333333333333333	0	0	-0.3333333333333333	false	false	0	0	0	0
ol s aiin	2/5#2	2	5	2/5	3	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	2/2#8	2	2	2/2	31	3	6	2	0.1935483870967742	0.6666666666666666	3.444444444444444	0.47311827956989244	true	true	0.0967741935483871	0.3333333333333333	3.444444444444444	0.23655913978494622
ol s aiin	3/2#0	3	2	3/2	5	1	2	1	0.4	1	2.5	0.6	false	false	0.2	0.5	2.5	0.3
ol s aiin	3/4#0	3	4	3/4	2	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	3/2#1	3	2	3/2	3	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	4/1#0	4	1	4/1	12	0	3	0	0.25	0	0	-0.25	false	false	0	0	0	0
ol s aiin	4/1#1	4	1	4/1	15	0	0	0	0	0	0	0	false	false	0	0	0	0
ol s aiin	5/3#0	5	3	5/3	3	1	2	1	0.6666666666666666	1	1.5	0.33333333333333337	false	false	0.3333333333333333	0.5	1.5	0.16666666666666669
ol s aiin	4/1#2	4	1	4/1	2	0	1	0	0.5	0	0	-0.5	false	false	0	0	0	0
ol s aiin	X/3#0	X	3	X/3	7	0	4	0	0.5714285714285714	0	0	-0.5714285714285714	false	false	0	0	0	0
ol s aiin	Y/3#0	Y	3	Y/3	3	0	2	0	0.6666666666666666	0	0	-0.6666666666666666	false	false	0	0	0	0
ol s aiin	X/3#1	X	3	X/3	0	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	1/1#0	1	1	1/1	37	0	2	0	0.05405405405405406	0	0	-0.05405405405405406	false	false	0	0	0	0
or or aiin	2/2#0	2	2	2/2	3	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	1/1#1	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#1	2	2	2/2	3	0	1	0	0.3333333333333333	0	0	-0.3333333333333333	false	false	0	0	0	0
or or aiin	1/1#2	1	1	1/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#2	2	2	2/2	14	0	3	0	0.21428571428571427	0	0	-0.21428571428571427	false	false	0	0	0	0
or or aiin	1/1#3	1	1	1/1	3	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#3	2	2	2/2	16	0	4	0	0.25	0	0	-0.25	false	false	0	0	0	0
or or aiin	2/5#0	2	5	2/5	2	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	1/1#4	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#4	2	2	2/2	3	0	1	0	0.3333333333333333	0	0	-0.3333333333333333	false	false	0	0	0	0
or or aiin	1/1#5	1	1	1/1	3	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#5	2	2	2/2	1	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	1/1#6	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/5#1	2	5	2/5	3	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	1/1#7	1	1	1/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#6	2	2	2/2	3	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	1/1#8	1	1	1/1	10	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#7	2	2	2/2	8	1	3	1	0.375	1	2.6666666666666665	0.625	false	false	0.125	0.3333333333333333	2.6666666666666665	0.20833333333333331
or or aiin	1/1#9	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/5#2	2	5	2/5	0	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	2/2#8	2	2	2/2	73	3	3	1	0.0410958904109589	0.3333333333333333	8.11111111111111	0.2922374429223744	true	true	0.0410958904109589	0.3333333333333333	8.11111111111111	0.2922374429223744
or or aiin	3/2#0	3	2	3/2	15	1	4	1	0.26666666666666666	1	3.75	0.7333333333333334	false	false	0.06666666666666667	0.25	3.75	0.18333333333333335
or or aiin	3/4#0	3	4	3/4	13	0	3	0	0.23076923076923078	0	0	-0.23076923076923078	false	false	0	0	0	0
or or aiin	3/2#1	3	2	3/2	36	0	9	0	0.25	0	0	-0.25	false	false	0	0	0	0
or or aiin	4/1#0	4	1	4/1	6	0	1	0	0.16666666666666666	0	0	-0.16666666666666666	false	false	0	0	0	0
or or aiin	4/1#1	4	1	4/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	5/3#0	5	3	5/3	11	0	2	0	0.18181818181818182	0	0	-0.18181818181818182	false	false	0	0	0	0
or or aiin	4/1#2	4	1	4/1	4	0	0	0	0	0	0	0	false	false	0	0	0	0
or or aiin	X/3#0	X	3	X/3	20	1	4	1	0.2	1	5	0.8	false	false	0.05	0.25	5	0.2
or or aiin	Y/3#0	Y	3	Y/3	12	0	1	0	0.08333333333333333	0	0	-0.08333333333333333	false	false	0	0	0	0
or or aiin	X/3#1	X	3	X/3	5	0	1	0	0.2	0	0	-0.2	false	false	0	0	0	0
s aiin chey	1/1#0	1	1	1/1	13	3	0	0	0	0	0	0	true	true	0.23076923076923078	0	0	-0.23076923076923078
s aiin chey	2/2#0	2	2	2/2	4	3	0	0	0	0	0	0	false	true	0.75	0	0	-0.75
s aiin chey	1/1#1	1	1	1/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#1	2	2	2/2	7	4	0	0	0	0	0	0	false	true	0.5714285714285714	0	0	-0.5714285714285714
s aiin chey	1/1#2	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#2	2	2	2/2	14	2	0	0	0	0	0	0	false	true	0.14285714285714285	0	0	-0.14285714285714285
s aiin chey	1/1#3	1	1	1/1	10	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#3	2	2	2/2	16	2	0	0	0	0	0	0	false	true	0.125	0	0	-0.125
s aiin chey	2/5#0	2	5	2/5	2	1	0	0	0	0	0	0	false	false	0.5	0	0	-0.5
s aiin chey	1/1#4	1	1	1/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#4	2	2	2/2	5	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	1/1#5	1	1	1/1	1	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#5	2	2	2/2	5	1	0	0	0	0	0	0	false	false	0.2	0	0	-0.2
s aiin chey	1/1#6	1	1	1/1	2	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/5#1	2	5	2/5	3	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	1/1#7	1	1	1/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#6	2	2	2/2	1	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	1/1#8	1	1	1/1	5	3	0	0	0	0	0	0	false	true	0.6	0	0	-0.6
s aiin chey	2/2#7	2	2	2/2	8	2	0	0	0	0	0	0	false	true	0.25	0	0	-0.25
s aiin chey	1/1#9	1	1	1/1	3	1	0	0	0	0	0	0	false	false	0.3333333333333333	0	0	-0.3333333333333333
s aiin chey	2/5#2	2	5	2/5	0	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	2/2#8	2	2	2/2	40	6	2	1	0.05	0.16666666666666666	3.333333333333333	0.11666666666666665	true	true	0.15	0.5	3.3333333333333335	0.35
s aiin chey	3/2#0	3	2	3/2	14	2	0	0	0	0	0	0	false	true	0.14285714285714285	0	0	-0.14285714285714285
s aiin chey	3/4#0	3	4	3/4	7	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	3/2#1	3	2	3/2	37	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	4/1#0	4	1	4/1	7	3	0	0	0	0	0	0	false	true	0.42857142857142855	0	0	-0.42857142857142855
s aiin chey	4/1#1	4	1	4/1	0	0	0	0	0	0	0	0	false	false	0	0	0	0
s aiin chey	5/3#0	5	3	5/3	5	2	0	0	0	0	0	0	false	true	0.4	0	0	-0.4
s aiin chey	4/1#2	4	1	4/1	1	1	0	0	0	0	0	0	false	false	1	0	0	-1
s aiin chey	X/3#0	X	3	X/3	29	4	2	2	0.06896551724137931	0.5	7.25	0.43103448275862066	true	true	0.13793103448275862	1	7.25	0.8620689655172413
s aiin chey	Y/3#0	Y	3	Y/3	21	2	2	1	0.09523809523809523	0.5	5.25	0.40476190476190477	false	true	0.09523809523809523	0.5	5.25	0.40476190476190477
s aiin chey	X/3#1	X	3	X/3	23	0	1	0	0.043478260869565216	0	0	-0.043478260869565216	false	false	0	0	0	0
