sequence	metric	bucket	abc_count	ab_count	abc_fraction	ab_fraction
ol s aiin	block_position_bin	[0,0.1)	0	0	0	0
ol s aiin	block_position_bin	[0.1,0.2)	0	0	0	0
ol s aiin	block_position_bin	[0.2,0.3)	2	2	0.4	0.25
ol s aiin	block_position_bin	[0.3,0.4)	1	1	0.2	0.125
ol s aiin	block_position_bin	[0.4,0.5)	0	0	0	0
ol s aiin	block_position_bin	[0.5,0.6)	0	1	0	0.125
ol s aiin	block_position_bin	[0.6,0.7)	0	0	0	0
ol s aiin	block_position_bin	[0.7,0.8)	1	2	0.2	0.25
ol s aiin	block_position_bin	[0.8,0.9)	1	1	0.2	0.125
ol s aiin	block_position_bin	[0.9,1.0]	0	1	0	0.125
ol s aiin	line_position	start	0	0	0	0
ol s aiin	line_position	middle	5	8	1	1
ol s aiin	line_position	end	0	0	0	0
or or aiin	block_position_bin	[0,0.1)	0	0	0	0
or or aiin	block_position_bin	[0.1,0.2)	0	2	0	0.3333333333333333
or or aiin	block_position_bin	[0.2,0.3)	0	0	0	0
or or aiin	block_position_bin	[0.3,0.4)	0	0	0	0
or or aiin	block_position_bin	[0.4,0.5)	0	0	0	0
or or aiin	block_position_bin	[0.5,0.6)	1	1	0.25	0.16666666666666666
or or aiin	block_position_bin	[0.6,0.7)	1	1	0.25	0.16666666666666666
or or aiin	block_position_bin	[0.7,0.8)	1	1	0.25	0.16666666666666666
or or aiin	block_position_bin	[0.8,0.9)	1	1	0.25	0.16666666666666666
or or aiin	block_position_bin	[0.9,1.0]	0	0	0	0
or or aiin	line_position	start	0	0	0	0
or or aiin	line_position	middle	4	6	1	1
or or aiin	line_position	end	0	0	0	0
s aiin chey	block_position_bin	[0,0.1)	1	4	0.25	0.09523809523809523
s aiin chey	block_position_bin	[0.1,0.2)	0	5	0	0.11904761904761904
s aiin chey	block_position_bin	[0.2,0.3)	1	6	0.25	0.14285714285714285
s aiin chey	block_position_bin	[0.3,0.4)	0	2	0	0.047619047619047616
s aiin chey	block_position_bin	[0.4,0.5)	0	3	0	0.07142857142857142
s aiin chey	block_position_bin	[0.5,0.6)	1	4	0.25	0.09523809523809523
s aiin chey	block_position_bin	[0.6,0.7)	0	5	0	0.11904761904761904
s aiin chey	block_position_bin	[0.7,0.8)	1	4	0.25	0.09523809523809523
s aiin chey	block_position_bin	[0.8,0.9)	0	5	0	0.11904761904761904
s aiin chey	block_position_bin	[0.9,1.0]	0	4	0	0.09523809523809523
s aiin chey	line_position	start	1	1	0.25	0.023809523809523808
s aiin chey	line_position	middle	3	41	0.75	0.9761904761904762
s aiin chey	line_position	end	0	0	0	0
