checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	96	92	4	0	0.95833333333333337	0.92000000000000004	0.083333333333333329	0.080000000000000002
200	180	163	15	1	0.90555555555555556	0.81499999999999995	0.16666666666666666	0.14999999999999999
500	408	349	40	12	0.85539215686274506	0.69799999999999995	0.19607843137254902	0.16
1000	728	593	77	27	0.81456043956043955	0.59299999999999997	0.21153846153846154	0.154
2000	1251	988	121	52	0.78976818545163874	0.49399999999999999	0.19344524380495604	0.121
4000	2204	1718	210	84	0.77949183303085301	0.42949999999999999	0.19056261343012704	0.105
8000	3843	2918	437	136	0.7593026281550872	0.36475000000000002	0.2274264897215717	0.10925
16000	6235	4475	755	311	0.71772253408179632	0.27968749999999998	0.24218123496391339	0.094375000000000001
32000	10104	6918	1324	524	0.68467933491686461	0.2161875	0.26207442596991293	0.082750000000000004
43713	12250	8159	1702	654	0.66604081632653056	0.18664928053439481	0.27787755102040818	0.077871571386086524
