checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	96	0.95999999999999996	92	4	0	0
200	180	0.90000000000000002	163	15	1	0.90689059560851981
500	408	0.81599999999999995	349	40	12	0.89306842800887254
1000	728	0.72799999999999998	593	77	27	0.83536929822720085
2000	1251	0.62549999999999994	988	121	52	0.78107143396712397
4000	2204	0.55100000000000005	1718	210	84	0.81704243440533664
8000	3843	0.480375	2918	437	136	0.80210875249164548
16000	6235	0.38968750000000002	4475	755	311	0.69815658365422861
32000	10104	0.31574999999999998	6918	1324	524	0.69646507907051991
43713	12250	0.28023700043465333	8159	1702	654	0.61746906328117757
