checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	96	94.760000000000005	2.5695135726436629	0.48258161124411253	0.41584158415841582
200	180	180.62	4.3423035361429951	-0.14278135898134678	0.62376237623762376
500	408	410.27999999999997	7.6027363494994384	-0.29989202507990259	0.71287128712871284
1000	728	736.10000000000002	12.854960132182441	-0.63010697168337704	0.76237623762376239
2000	1251	1284.3399999999999	17.884194138959685	-1.8642159518594494	0.98019801980198018
4000	2204	2203.1399999999999	26.799634325863483	0.032089990092520344	0.54455445544554459
8000	3843	3703.9200000000001	35.346762227960845	3.9347309692196228	0.0099009900990099011
16000	6235	6125.1899999999996	37.817111206436692	2.9037120101682992	0.0099009900990099011
32000	10104	9922.2800000000007	39.053573460056128	4.6530953226562479	0.0099009900990099011
43713	12250	12250	0	0	1
