window_start	window_end	tokens	new_types	new_type_rate
0	500	500	408	0.81599999999999995
500	1000	500	320	0.64000000000000001
1000	1500	500	270	0.54000000000000004
1500	2000	500	253	0.50600000000000001
2000	2500	500	244	0.48799999999999999
2500	3000	500	252	0.504
3000	3500	500	231	0.46200000000000002
3500	4000	500	226	0.45200000000000001
4000	4500	500	216	0.432
4500	5000	500	208	0.41599999999999998
5000	5500	500	196	0.39200000000000002
5500	6000	500	225	0.45000000000000001
6000	6500	500	223	0.44600000000000001
6500	7000	500	214	0.42799999999999999
7000	7500	500	182	0.36399999999999999
7500	8000	500	175	0.34999999999999998
8000	8500	500	167	0.33400000000000002
8500	9000	500	155	0.31
9000	9500	500	168	0.33600000000000002
9500	10000	500	162	0.32400000000000001
10000	10500	500	179	0.35799999999999998
10500	11000	500	168	0.33600000000000002
11000	11500	500	134	0.26800000000000002
11500	12000	500	141	0.28199999999999997
12000	12500	500	163	0.32600000000000001
12500	13000	500	147	0.29399999999999998
13000	13500	500	129	0.25800000000000001
13500	14000	500	129	0.25800000000000001
14000	14500	500	139	0.27800000000000002
14500	15000	500	155	0.31
15000	15500	500	115	0.23000000000000001
15500	16000	500	141	0.28199999999999997
16000	16500	500	131	0.26200000000000001
16500	17000	500	162	0.32400000000000001
17000	17500	500	149	0.29799999999999999
17500	18000	500	133	0.26600000000000001
18000	18500	500	163	0.32600000000000001
18500	19000	500	130	0.26000000000000001
19000	19500	500	127	0.254
19500	20000	500	128	0.25600000000000001
20000	20500	500	157	0.314
20500	21000	500	135	0.27000000000000002
21000	21500	500	121	0.24199999999999999
21500	22000	500	108	0.216
22000	22500	500	126	0.252
22500	23000	500	134	0.26800000000000002
23000	23500	500	131	0.26200000000000001
23500	24000	500	156	0.312
24000	24500	500	103	0.20599999999999999
24500	25000	500	93	0.186
25000	25500	500	91	0.182
25500	26000	500	128	0.25600000000000001
26000	26500	500	93	0.186
26500	27000	500	94	0.188
27000	27500	500	87	0.17399999999999999
27500	28000	500	121	0.24199999999999999
28000	28500	500	97	0.19400000000000001
28500	29000	500	92	0.184
29000	29500	500	114	0.22800000000000001
29500	30000	500	124	0.248
30000	30500	500	125	0.25
30500	31000	500	133	0.26600000000000001
31000	31500	500	97	0.19400000000000001
31500	32000	500	86	0.17199999999999999
32000	32500	500	102	0.20399999999999999
32500	33000	500	86	0.17199999999999999
33000	33500	500	112	0.224
33500	34000	500	93	0.186
34000	34500	500	106	0.21199999999999999
34500	35000	500	117	0.23400000000000001
35000	35500	500	121	0.24199999999999999
35500	36000	500	118	0.23599999999999999
36000	36500	500	84	0.16800000000000001
36500	37000	500	85	0.17000000000000001
37000	37500	500	86	0.17199999999999999
37500	38000	500	99	0.19800000000000001
38000	38500	500	89	0.17799999999999999
38500	39000	500	85	0.17000000000000001
39000	39500	500	88	0.17599999999999999
39500	40000	500	100	0.20000000000000001
40000	40500	500	87	0.17399999999999999
40500	41000	500	70	0.14000000000000001
41000	41500	500	78	0.156
41500	42000	500	75	0.14999999999999999
42000	42500	500	83	0.16600000000000001
42500	43000	500	61	0.122
43000	43500	500	65	0.13
43500	43713	213	56	0.26291079812206575
0	1000	1000	728	0.72799999999999998
1000	2000	1000	523	0.52300000000000002
2000	3000	1000	496	0.496
3000	4000	1000	457	0.45700000000000002
4000	5000	1000	424	0.42399999999999999
5000	6000	1000	421	0.42099999999999999
6000	7000	1000	437	0.437
7000	8000	1000	357	0.35699999999999998
8000	9000	1000	322	0.32200000000000001
9000	10000	1000	330	0.33000000000000002
10000	11000	1000	347	0.34699999999999998
11000	12000	1000	275	0.27500000000000002
12000	13000	1000	310	0.31
13000	14000	1000	258	0.25800000000000001
14000	15000	1000	294	0.29399999999999998
15000	16000	1000	256	0.25600000000000001
16000	17000	1000	293	0.29299999999999998
17000	18000	1000	282	0.28199999999999997
18000	19000	1000	293	0.29299999999999998
19000	20000	1000	255	0.255
20000	21000	1000	292	0.29199999999999998
21000	22000	1000	229	0.22900000000000001
22000	23000	1000	260	0.26000000000000001
23000	24000	1000	287	0.28699999999999998
24000	25000	1000	196	0.19600000000000001
25000	26000	1000	219	0.219
26000	27000	1000	187	0.187
27000	28000	1000	208	0.20799999999999999
28000	29000	1000	189	0.189
29000	30000	1000	238	0.23799999999999999
30000	31000	1000	258	0.25800000000000001
31000	32000	1000	183	0.183
32000	33000	1000	188	0.188
33000	34000	1000	205	0.20499999999999999
34000	35000	1000	223	0.223
35000	36000	1000	239	0.23899999999999999
36000	37000	1000	169	0.16900000000000001
37000	38000	1000	185	0.185
38000	39000	1000	174	0.17399999999999999
39000	40000	1000	188	0.188
40000	41000	1000	157	0.157
41000	42000	1000	153	0.153
42000	43000	1000	144	0.14399999999999999
43000	43713	713	121	0.1697054698457223
0	2000	2000	1251	0.62549999999999994
2000	4000	2000	953	0.47649999999999998
4000	6000	2000	845	0.42249999999999999
6000	8000	2000	794	0.39700000000000002
8000	10000	2000	652	0.32600000000000001
10000	12000	2000	622	0.311
12000	14000	2000	568	0.28399999999999997
14000	16000	2000	550	0.27500000000000002
16000	18000	2000	575	0.28749999999999998
18000	20000	2000	548	0.27400000000000002
20000	22000	2000	521	0.26050000000000001
22000	24000	2000	547	0.27350000000000002
24000	26000	2000	415	0.20749999999999999
26000	28000	2000	395	0.19750000000000001
28000	30000	2000	427	0.2135
30000	32000	2000	441	0.2205
32000	34000	2000	393	0.19650000000000001
34000	36000	2000	462	0.23100000000000001
36000	38000	2000	354	0.17699999999999999
38000	40000	2000	362	0.18099999999999999
40000	42000	2000	310	0.155
42000	43713	1713	265	0.15469935785172212
