rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x030944	x028392	0.374953	0.761905	page	0.046875	0.421875	0.391572	3.242395	0.00990099	22.037037	0.000000	0.862729	2	0
2	x018182	x031578	0.374642	0.761905	page	0.031250	0.171875	0.157986	4.067810	0.00990099	19.545455	0.000000	0.400383	1	0
3	x030945	x028392	0.369058	0.767442	page	0.106061	0.393939	0.360882	3.209021	0.00990099	21.615385	0.000000	0.859381	2	0
4	x030836	x014155	0.367492	0.819820	page	0.021978	0.197802	0.130575	3.442009	0.00990099	21.777778	0.000000	0.478497	1	0
5	x014956	x013876	0.356699	0.813084	page	0.034483	0.229885	0.209985	3.109912	0.00990099	20.800000	0.000000	0.670181	1	0
6	x018185	x001072	0.351515	0.784946	page	0.068493	0.301370	0.265472	3.621684	0.00990099	30.272727	0.000000	0.617495	1	0
7	x030944	x015015	0.333086	0.761905	page	0.015625	0.156250	0.148558	3.241422	0.00990099	28.700000	0.000000	0.541146	1	0
8	x019048	x028394	0.332604	0.909091	page	0.080000	0.385000	0.248184	3.072387	0.00990099	19.974026	0.103896	0.905077	2	6
9	x001752	x028394	0.331553	0.743590	page	0.103448	0.396552	0.371676	3.080415	0.00990099	18.173913	0.173913	0.937168	3	0
10	x031100	x001068	0.328626	0.591837	page	0.103448	0.517241	0.497634	3.498934	0.00990099	17.666667	0.000000	0.583718	2	0
11	x031580	x000082	0.326312	0.767442	page	0.090909	0.242424	0.199181	2.857199	0.00990099	18.750000	0.062500	0.606861	1	0
12	x000081	x019045	0.325957	0.893617	page	0.036082	0.226804	0.089899	3.735619	0.00990099	19.250000	0.000000	0.636458	0	3
13	x001756	x000083	0.320284	0.750000	page	0.033333	0.266667	0.219792	2.750344	0.00990099	21.062500	0.062500	0.642862	1	0
14	x018603	x028394	0.316451	0.701493	page	0.042553	0.425532	0.390706	2.167860	0.019802	20.650000	0.000000	0.939273	2	0
15	x032105	x014157	0.312664	0.829060	page	0.020619	0.113402	0.084276	2.765767	0.019802	21.909091	0.000000	0.545419	1	0
16	x014157	x015016	0.312109	0.837398	page	0.019417	0.135922	0.100835	2.686909	0.029703	28.285714	0.000000	0.536921	1	0
17	x013875	x028902	0.310435	0.901478	page	0.048673	0.176991	0.018521	3.095591	0.00990099	19.475000	0.000000	0.737648	2	0
18	x030839	x028396	0.306271	0.843750	page	0.083333	0.361111	0.275778	2.015963	0.0594059	25.000000	0.000000	0.903333	4	0
19	x013875	x001068	0.306187	0.910714	page	0.030973	0.163717	0.046070	2.076827	0.019802	25.864865	0.000000	0.770892	3	0
20	x013421	x001071	0.305651	0.780220	page	0.084507	0.253521	0.221703	2.246515	0.029703	23.222222	0.000000	0.697695	1	0
21	x013421	x028389	0.305099	0.780220	page	0.014085	0.154930	0.122672	2.802272	0.00990099	19.272727	0.000000	0.481715	1	0
22	x015015	x028388	0.304490	0.833333	page	0.046154	0.192308	0.112308	3.576584	0.00990099	21.120000	0.000000	0.502047	0	0
23	x028388	x013061	0.303131	0.833333	page	0.050000	0.160000	0.109580	4.126073	0.00990099	21.500000	0.250000	0.548470	0	1
24	x000080	x001071	0.301602	0.899497	page	0.044693	0.234637	0.139182	3.292652	0.00990099	21.571429	0.000000	0.743080	1	2
25	x001070	x028393	0.299133	0.905213	page	0.041885	0.361257	0.212112	2.676692	0.00990099	25.927536	0.043478	1.022717	1	6
26	x012672	x028902	0.298562	0.729730	page	0.000000	0.314815	0.282028	2.928315	0.019802	29.882353	0.000000	0.579370	3	1
27	x001756	x028392	0.297276	0.750000	page	0.100000	0.383333	0.336501	1.469416	0.118812	20.478261	0.173913	0.825084	2	0
28	x030945	x000079	0.297200	0.767442	page	0.045455	0.257576	0.227273	3.526833	0.00990099	30.411765	0.000000	0.573590	0	0
29	x028469	x030834	0.297182	0.636364	page	0.085714	0.257143	0.223810	3.411890	0.00990099	22.777778	0.333333	0.385854	1	0
30	x015017	x028392	0.296618	0.838710	page	0.048077	0.278846	0.237524	2.183426	0.029703	24.310345	0.000000	0.882649	2	0
31	x013420	x013416	0.295598	0.759036	page	0.014085	0.169014	0.105522	2.774383	0.00990099	22.500000	0.000000	0.425447	1	0
32	x030944	x001071	0.293435	0.761905	page	0.078125	0.343750	0.302841	3.239864	0.00990099	16.636364	0.000000	0.692332	1	2
33	x030945	x028387	0.291668	0.767442	page	0.045455	0.212121	0.177339	3.039944	0.00990099	16.785714	0.000000	0.485087	1	0
34	x013061	x000082	0.291584	0.856115	page	0.042017	0.210084	0.145219	3.396297	0.00990099	26.440000	0.000000	0.678981	0	0
35	x019147	x001071	0.291499	0.636364	page	0.028571	0.342857	0.311039	2.848527	0.019802	16.583333	0.000000	0.681225	1	0
36	x032101	x014156	0.290058	0.821429	page	0.010870	0.108696	0.108696	4.057879	0.00990099	23.000000	0.100000	0.571570	0	0
37	x013061	x019049	0.287706	0.856115	page	0.008403	0.210084	0.148286	3.317313	0.00990099	27.680000	0.000000	0.657819	1	1
38	x000083	x028396	0.287189	0.905660	page	0.046875	0.328125	0.210792	2.181492	0.029703	24.936508	0.000000	0.919585	7	4
39	x028905	x001068	0.286540	0.910314	page	0.034483	0.197044	0.084299	2.530478	0.019802	25.200000	0.000000	0.760437	2	0
40	x032101	x028394	0.286170	0.821429	page	0.065217	0.260870	0.243457	2.410446	0.029703	18.875000	0.000000	1.019651	2	0
41	x013379	x013056	0.285770	0.629630	page	0.088235	0.382353	0.343891	3.112446	0.019802	19.000000	0.153846	0.386815	2	0
42	x030837	x028906	0.285765	0.827586	page	0.062500	0.229167	0.160985	2.383815	0.019802	19.136364	0.000000	0.572912	1	0
43	x001071	x000082	0.285010	0.902439	page	0.040909	0.209091	0.041523	3.361288	0.00990099	24.782609	0.021739	0.752241	1	4
44	x013873	x031578	0.284893	0.782609	page	0.019608	0.093137	0.051471	2.564246	0.029703	23.157895	0.000000	0.577118	1	0
45	x015017	x030837	0.284607	0.827586	page	0.057692	0.153846	0.112179	3.853497	0.00990099	20.812500	0.312500	0.506002	0	1
46	x013872	x028396	0.283646	0.908676	page	0.040201	0.251256	0.179256	2.697186	0.00990099	22.640000	0.000000	1.000600	1	2
47	x014157	x028393	0.283585	0.837398	page	0.087379	0.330097	0.273862	2.385848	0.039604	21.058824	0.117647	0.988201	1	0
48	x008383	x028393	0.282976	0.512195	page	0.285714	0.666667	0.661777	4.320412	0.00990099	9.214286	0.142857	1.011734	0	1
49	x013058	x028392	0.282325	0.823009	page	0.021505	0.279570	0.241002	2.837557	0.019802	27.269231	0.000000	0.913951	0	1
50	x030945	x028397	0.282246	0.767442	page	0.075758	0.393939	0.327950	1.881259	0.049505	26.346154	0.000000	0.964320	2	0
51	x030944	x030835	0.281681	0.761905	page	0.015625	0.171875	0.138542	2.618353	0.00990099	22.272727	0.000000	0.459379	3	0
52	x013876	x001068	0.280889	0.909502	page	0.024876	0.179104	0.076163	3.166811	0.00990099	26.694444	0.000000	0.770568	1	4
53	x013060	x028392	0.280591	0.850746	page	0.061404	0.289474	0.237132	1.688678	0.0693069	23.121212	0.000000	0.862314	3	0
54	x011462	x001069	0.278871	0.534884	page	0.086957	0.478261	0.447649	3.180089	0.00990099	24.000000	0.000000	0.617010	1	0
55	x014158	x031578	0.278526	0.782609	page	0.008929	0.151786	0.124008	3.771082	0.00990099	23.882353	0.000000	0.466095	0	1
