claim_id	source_id	exact_claim_summary	observation	metric	comparison/control	result	author_interpretation	claim_strength	supports_HL	supports_HC	supports_HG	alternative_explanations_tested	alternative_explanations_not_tested	replication_status	methodological_notes	confidence	traceability
C001	CURRIER1976	Folios form two non-random statistical populations	A/B-labelled samples differ in token/glyph distributions	frequency tables and profiles	internal A-versus-B comparison	A/B distinction reported	two languages suggested	STATISTICAL_INFERENCE	NEUTRAL	NEUTRAL	NEUTRAL	none documented in accessible record	hand, section, chronology, generator, cipher	REPLICATED_PARTIALLY	Use only the observed partition; full paper was unavailable	LOW	Currier 1976; full text unavailable
C002	LANDINI2001	Spectral regularity is compatible with linguistic structure	Reported regularities in transcription	spectral analysis	limited language comparisons	regular structure reported	linguistic structure	MODEL_DEPENDENT_INFERENCE	WEAK_SUPPORT	NEUTRAL	WEAK_CONTRADICTION	limited language controls	cipher and generator controls	NO_INDEPENDENT_REPLICATION_FOUND	Full text unavailable; no detailed control audit	LOW	abstract/indexed record only
C003	REDDY_KNIGHT2011	Standard language tests do not exclude language	Voynich word frequencies and lengths show familiar patterns	frequency, word length, character n-grams	known-language and cipher discussion	several tests compatible with natural language	language/cipher remain possible	STATISTICAL_INFERENCE	WEAK_SUPPORT	WEAK_SUPPORT	NEUTRAL	some cipher reasoning	structured non-message generators	PARTIALLY_REPLICATED	Likelihood/compatibility is not a model comparison	MEDIUM	sections on tests and conclusions
C004	MONTEMURRO_ZANETTE2013	Keyword/co-occurrence structure is non-random and section-associated	Informative words cluster in semantic/illustration sections	weighted word co-occurrence and keyword extraction	shuffled/randomized text controls	non-random structure and section-associated keyword sets	meaningful encoded text	STATISTICAL_INFERENCE	MODERATE_SUPPORT	MODERATE_SUPPORT	WEAK_CONTRADICTION	shuffle/random baselines	structured generator; scribal hand/section confounding	CONTRADICTED_BY_ALTERNATIVE_MODEL	Evidence is message-compatible, not a direct semantic validation	MEDIUM	article methods/results
C005	SCHINNER2007	Repetition and distributional anomalies favour a hoax-like process	Unusual regularity, repetition, and line effects	descriptive frequency/repetition statistics	limited comparison text	features documented	hoax hypothesis	INTERPRETATION	WEAK_CONTRADICTION	WEAK_CONTRADICTION	WEAK_SUPPORT	limited natural comparisons	specified cipher and generator cross-validation	PARTIALLY_REPLICATED	Full text unavailable for claim-level audit	LOW	abstract/indexed record only
C006	TIMM_SCHINNER2019	Self-citation can produce selected Voynich-like regularities	Copy-and-modify output has word-family/network/frequency patterns	word similarity, frequencies, Zipf-like plots	generated samples against Voynich	selection of features reproduced	non-message generation is plausible	MODEL_DEPENDENT_INFERENCE	WEAK_CONTRADICTION	WEAK_CONTRADICTION	MODERATE_SUPPORT	generator positive model	out-of-sample comprehensive metrics; message-bearing generator	PARTIALLY_REPLICATED	Target-tuning and untested properties limit discrimination	MEDIUM	paper and official generator repository
C007	LINDEMANN_BOWERN2021	Voynich character conditional entropy is atypical in the surveyed corpora	Voynich entropy values differ from modern/historical comparison texts	h0/h1/h2-style character entropy	multiple natural and historical texts	atypical low conditional entropy	ordinary linguistic assumptions require caution	DIRECT_MEASUREMENT	WEAK_CONTRADICTION	NEUTRAL	WEAK_SUPPORT	natural/historical corpus controls	broad cipher and matched-generator controls	PARTIALLY_REPLICATED	Estimator, representation, boundaries, and finite-sample treatment matter	MEDIUM	paper entropy tables
C008	STERNECK_POLISH_BOWERN2021	Page clusters correlate with illustrated sections	Topic model assignments vary by page/section	LDA/LSA/NMF topic models	illustration and section metadata	cluster-section association	text may have meaningful topical organization	MODEL_DEPENDENT_INFERENCE	WEAK_SUPPORT	WEAK_SUPPORT	NEUTRAL	multiple topic-model methods	hand/Currier/local-adjacency and generator controls	NO_INDEPENDENT_REPLICATION_FOUND	Topic labels are latent statistical factors, not semantic decoding	MEDIUM	preprint results
C009	BOWERN_GASKELL2022	Word-level metrics can be compatible with encipherment	Tested enciphered controls retain relevant text metrics	word-level distributional metrics	constructed cipher samples	some encipherments overlap Voynich-like measures	cipher cannot be excluded by those metrics	MODEL_DEPENDENT_INFERENCE	NEUTRAL	MODERATE_SUPPORT	NEUTRAL	cipher positive controls	broad generator controls and full fingerprint	PARTIALLY_REPLICATED	Compatibility is mechanism-specific	MEDIUM	proceedings paper
C010	GRESHKO2025	A specified Naibbe cipher produces Voynich-like ciphertext statistics	Known Latin/Italian plaintext is transformed by a stated system	selected structural statistics	synthetic cipher output versus Voynich	several properties reproduced	a historical-style cipher remains viable	MODEL_DEPENDENT_INFERENCE	NEUTRAL	MODERATE_SUPPORT	NEUTRAL	known-plaintext positive control	full non-message and independent held-out controls	NO_INDEPENDENT_REPLICATION_FOUND	Does not recover Voynich plaintext; full text unavailable for detailed audit	MEDIUM	publisher metadata/repository
C011	ROZANOVA_TEMEREV2026	Adjacent token order is weak relative to token entropy	Corrected adjacent-token dependence share is small	token mutual information / conditional entropy	shuffled-token baseline and matched controls	Voynich share much lower than prose controls	visible tokens are not ordinary words	DIRECT_MEASUREMENT	WEAK_CONTRADICTION	NEUTRAL	WEAK_SUPPORT	natural, cipher, pseudo-text controls as reported	complete historical cipher/generator space	INDEPENDENTLY_REPLICATED	Repository and preprint available; this repository's Task58 matches direction	MEDIUM	preprint methods/results; repository
C012	ROZANOVA_TEMEREV2026	Inter-token glyph-edge coupling is structured	Glyph at token end predicts next-token initial glyph	edge mutual information	shuffled/control comparisons	edge dependence remains appreciable	while token order is weak, unit boundaries carry structure	DIRECT_MEASUREMENT	NEUTRAL	NEUTRAL	NEUTRAL	shuffle and comparison corpora	message-bearing generator and transcription alternatives	INDEPENDENTLY_REPLICATED	Not a semantic test	MEDIUM	preprint results; Task58 directionally replicates
C013	PARISEL2026	Currier A/B is quantitatively recoverable	Classifier distinguishes established A/B groups	classification/mixture model	Currier-labelled validation	high separation reported	A/B is a real textual distinction	STATISTICAL_INFERENCE	NEUTRAL	NEUTRAL	NEUTRAL	held-out/unsupervised checks	hand, section and chronology causal decomposition	NO_INDEPENDENT_REPLICATION_FOUND	Does not establish two languages	MEDIUM	preprint
C014	TRITHEMIUS1518	Ciphertext may require an external table for recovery	Polygraphic substitution tables map messages through keyed tables	specified table system	historical worked system	(C,K) can be decoded although C alone is opaque	external-table dependency	DIRECT_MEASUREMENT	NOT_TESTED	MODERATE_SUPPORT	NOT_TESTED	not a Voynich test	lossy encoding and Voynich resemblance	NOT_APPLICABLE	Historical mechanism evidence only	HIGH	Polygraphia books/tables
C015	MONTEMURRO_ZANETTE2013	Co-occurrence is not direct proof of a plaintext message	No recovered semantic mapping is demonstrated	absence of plaintext validation	none	semantic content remains unvalidated	authors infer content	INTERPRETATION	NEUTRAL	NEUTRAL	NEUTRAL	shuffle baseline	generator control, semantic prediction, blind association validation	CONFIRMED_BY_REVIEW	This audit separates measurement from interpretation	HIGH	article contains no decipherment/semantic validation
C016	TIMM_SCHINNER2019	A successful pseudo-text generator does not prove absence of message	Generator output is non-message by construction	model output properties	Voynich comparison	some target statistics overlap	authors favour H_G	INTERPRETATION	NEUTRAL	NEUTRAL	WEAK_SUPPORT	generator positive model	message-bearing encoding models and unselected tests	CONFIRMED_BY_METHOD_LOGIC	Existence of one non-message explanation refutes specificity only	HIGH	paper methodology
C017	LINDEMANN_BOWERN2021	Entropy values depend on representation and segmentation	Different treatment of character units/boundaries changes estimates	character entropy definitions	corpus representations	estimates are representation-sensitive	methodological caution	DIRECT_MEASUREMENT	NEUTRAL	NEUTRAL	NEUTRAL	comparison representations	EVA ambiguity and manuscript copying error	PARTIALLY_REPLICATED	Task61 confirms distinct continuous/boundary/within-token estimands	MEDIUM	paper method; Task61
C018	GRESHKO2025	Statistical resemblance alone is not plaintext recovery	Known plaintext validates only the synthetic cipher	cipher forward transformation	synthetic known plaintext	Voynich plaintext is not recovered	cipher compatibility	INTERPRETATION	NEUTRAL	WEAK_SUPPORT	NEUTRAL	known plaintext in model	independent verification of a Voynich inverse	NOT_APPLICABLE	No validated VM plaintext follows from a forward model	HIGH	model scope
