branch	subset	stage	count_or_status	provenance
SYNTHETIC	ALL	TOTAL_MODEL_EXECUTIONS	3456	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	TRAINING_SUCCESS	2988	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	STRUCTURAL_EVALUABLE	2988	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	STRUCTURAL_ADEQUATE	653	DERIVED_RECOMPUTATION
SYNTHETIC	ALL	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M0	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M0	TRAINING_SUCCESS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M0	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M0	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M0	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M0	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M0	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M0	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M0	STRUCTURAL_EVALUABLE	576	DERIVED_RECOMPUTATION
SYNTHETIC	M0	STRUCTURAL_ADEQUATE	288	DERIVED_RECOMPUTATION
SYNTHETIC	M0	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M1	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M1	TRAINING_SUCCESS	396	DERIVED_RECOMPUTATION
SYNTHETIC	M1	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M1	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M1	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M1	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M1	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M1	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M1	STRUCTURAL_EVALUABLE	396	DERIVED_RECOMPUTATION
SYNTHETIC	M1	STRUCTURAL_ADEQUATE	70	DERIVED_RECOMPUTATION
SYNTHETIC	M1	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M2	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M2	TRAINING_SUCCESS	384	DERIVED_RECOMPUTATION
SYNTHETIC	M2	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M2	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M2	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M2	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M2	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M2	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M2	STRUCTURAL_EVALUABLE	384	DERIVED_RECOMPUTATION
SYNTHETIC	M2	STRUCTURAL_ADEQUATE	62	DERIVED_RECOMPUTATION
SYNTHETIC	M2	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M3	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M3	TRAINING_SUCCESS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M3	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M3	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M3	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M3	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M3	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M3	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M3	STRUCTURAL_EVALUABLE	576	DERIVED_RECOMPUTATION
SYNTHETIC	M3	STRUCTURAL_ADEQUATE	64	DERIVED_RECOMPUTATION
SYNTHETIC	M3	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M4	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M4	TRAINING_SUCCESS	480	DERIVED_RECOMPUTATION
SYNTHETIC	M4	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M4	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M4	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M4	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M4	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M4	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M4	STRUCTURAL_EVALUABLE	480	DERIVED_RECOMPUTATION
SYNTHETIC	M4	STRUCTURAL_ADEQUATE	52	DERIVED_RECOMPUTATION
SYNTHETIC	M4	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M5	TOTAL_MODEL_EXECUTIONS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M5	TRAINING_SUCCESS	576	DERIVED_RECOMPUTATION
SYNTHETIC	M5	PM1_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M5	PM2_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M5	PM4_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M5	PM5_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M5	PM6_AVAILABLE_PASS	NOT_RECORDED	DERIVED_RECOMPUTATION
SYNTHETIC	M5	PREDICTIVE_ADEQUATE	0	DERIVED_RECOMPUTATION
SYNTHETIC	M5	STRUCTURAL_EVALUABLE	576	DERIVED_RECOMPUTATION
SYNTHETIC	M5	STRUCTURAL_ADEQUATE	117	DERIVED_RECOMPUTATION
SYNTHETIC	M5	FINAL_ADEQUATE	0	DERIVED_RECOMPUTATION
