job_id	ground_truth	generator_variant	scale	replicate	latent_recovery	basis
j-005d1f8c3789eec58d39	M1	3	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-011e192a0487150406fc	M3	3	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-0183c25414e43b3d67e9	M3	3	MEDIUM	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-018ef319605a204ad28c	M4	2	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-01a41d387e12c344be8f	M4	1	SMALL	0	NOT_ASSESSABLE	individual predictive gates not recorded
j-01d3220f816378b870d0	M2	1	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-01e16589a0b5d86ed10c	M0	2	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-0214dc7c32bafb01a5e4	M4	3	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-02529b43cdfc6f5a3b3e	M5	1	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-02b68a5f29d3a6b245a8	M1	2	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-04f51bbc4eda2a979c0b	M3	3	VOYNICH_SCALE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-052b0d81865b51c5c6d8	M5	1	LARGE	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-054770589fb40ca63844	M4	2	SMALL	1	NOT_ASSESSABLE	individual predictive gates not recorded
j-065b27687e83559fa883	M4	1	MEDIUM	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-0673d9982d28d4024507	M4	1	MEDIUM	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-067fd495f31882f90627	M3	1	SMALL	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-06d54e6b2703a3e9fc12	M0	1	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-07285375e79939a4e232	M5	2	LARGE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-078b86ba85425f0157a3	M5	1	VOYNICH_SCALE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-07b3e152b58ad5a06c2a	M3	2	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-0906a166d58ef13dab6b	M5	3	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-0974407dd8bcff0b56d7	M2	3	LARGE	4	NOT_ASSESSABLE	individual predictive gates not recorded
j-09a7b7261556707822db	M1	2	LARGE	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-09ae0e0083558b9322f9	M5	3	MEDIUM	7	NOT_ASSESSABLE	individual predictive gates not recorded
j-09ae983e73510328fe3a	M3	2	SMALL	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-09eb4e5fa6a2c1b6e3a3	M2	2	LARGE	6	NOT_ASSESSABLE	individual predictive gates not recorded
j-0a1637495e92866bc0fb	M1	1	VOYNICH_SCALE	5	NOT_ASSESSABLE	individual predictive gates not recorded
j-0a35560b9bd7662efb17	M3	1	SMALL	3	NOT_ASSESSABLE	individual predictive gates not recorded
j-0a52c0b252f07154ad5b	M5	2	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
j-0a6c095660ca54e094c7	M1	3	LARGE	2	NOT_ASSESSABLE	individual predictive gates not recorded
