branch	corpus_label	generator_variant	scale	model	replicates	modal_first_failure	modal_count	agreement_rate	distribution
NATURAL	English	0	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	English	0	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	English	0	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	MEDIUM	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	MEDIUM	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	MEDIUM	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	MEDIUM	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	English	0	MEDIUM	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	English	0	MEDIUM	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	SMALL	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	SMALL	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	SMALL	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	SMALL	M3	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	SMALL	M4	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	SMALL	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	VOYNICH_SCALE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	VOYNICH_SCALE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	VOYNICH_SCALE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	English	0	VOYNICH_SCALE	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	English	0	VOYNICH_SCALE	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	English	0	VOYNICH_SCALE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	LARGE	M0	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	LARGE	M1	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	LARGE	M2	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
NATURAL	Latin	0	LARGE	M3	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Latin	0	LARGE	M4	8	TRAINING	8	1.000000	TRAINING:8
NATURAL	Latin	0	LARGE	M5	8	PREDICTIVE_GATE	8	1.000000	PREDICTIVE_GATE:8
