job_id	corpus	model	counterfactual	status	basis
j-0024f9af1c5807209dfc	Latin	M0	CF0	FAIL	FROZEN_HISTORICAL_RESULT
j-0024f9af1c5807209dfc	Latin	M0	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
j-0024f9af1c5807209dfc	Latin	M0	CF2	NOT_ASSESSABLE	metric/structural failures cannot be fully attributed
j-0024f9af1c5807209dfc	Latin	M1	CF0	FAIL	FROZEN_HISTORICAL_RESULT
j-0024f9af1c5807209dfc	Latin	M1	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
j-0024f9af1c5807209dfc	Latin	M1	CF2	NOT_ASSESSABLE	metric/structural failures cannot be fully attributed
j-0024f9af1c5807209dfc	Latin	M2	CF0	FAIL	FROZEN_HISTORICAL_RESULT
j-0024f9af1c5807209dfc	Latin	M2	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
j-0024f9af1c5807209dfc	Latin	M2	CF2	NOT_ASSESSABLE	metric/structural failures cannot be fully attributed
j-0024f9af1c5807209dfc	Latin	M3	CF0	NOT_REACHED	FROZEN_HISTORICAL_RESULT
j-0024f9af1c5807209dfc	Latin	M3	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
j-0024f9af1c5807209dfc	Latin	M3	CF2	NOT_ASSESSABLE	metric/structural failures cannot be fully attributed
j-0024f9af1c5807209dfc	Latin	M4	CF0	NOT_REACHED	FROZEN_HISTORICAL_RESULT
j-0024f9af1c5807209dfc	Latin	M4	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
j-0024f9af1c5807209dfc	Latin	M4	CF2	NOT_ASSESSABLE	metric/structural failures cannot be fully attributed
j-0024f9af1c5807209dfc	Latin	M5	CF0	FAIL	FROZEN_HISTORICAL_RESULT
j-0024f9af1c5807209dfc	Latin	M5	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
j-0024f9af1c5807209dfc	Latin	M5	CF2	NOT_ASSESSABLE	metric/structural failures cannot be fully attributed
j-005d1f8c3789eec58d39	M1	M0	CF0	FAIL	FROZEN_HISTORICAL_RESULT
j-005d1f8c3789eec58d39	M1	M0	CF1	NOT_ASSESSABLE	PM1/PM2/PM4/PM5 and PM6 gate pass not recorded
