verdict	value	basis
PM6_VETO_ROLE	INCONCLUSIVE	PM6 validity retained, PM6 gate pass and other PM gates not retained
PRE_PM6_PREDICTIVE_INFORMATION	NON_INFORMATIVE	no individual PM1/PM2/PM4/PM5 result survived freeze
SYNTHETIC_LATENT_RECOVERY	NOT_ASSESSABLE	expected-class predictive gates cannot be reconstructed
NATURAL_LANGUAGE_LATENT_ADEQUACY	NOT_ASSESSABLE	same omission plus missing structural families
ENGLISH_LATENT_MODEL_SET	NOT_ASSESSABLE	CF1 cannot be evaluated
LATIN_LATENT_MODEL_SET	NOT_ASSESSABLE	CF1 cannot be evaluated
SANSKRIT_LATENT_MODEL_SET	NOT_ASSESSABLE	CF1 cannot be evaluated
M0_RECOVERY_DIAGNOSTIC	PARTIAL	fitting recorded; required predictive details absent
M1_RECOVERY_DIAGNOSTIC	PARTIAL	fitting recorded; required predictive details absent
M2_RECOVERY_DIAGNOSTIC	PARTIAL	fitting recorded; required predictive details absent
M3_RECOVERY_LIMITATION	MIXED	training failures and protocol omissions coexist
M4_RECOVERY_LIMITATION	MIXED	training failures and protocol omissions coexist
M5_RECOVERY_LIMITATION	MIXED	negative exhaustion/generation failures plus omitted gates
G1_V1_PRIMARY_FAILURE_SOURCE	UNRESOLVED	universal predictive failure cannot be decomposed from retained evidence
TASK85B_READY	SUPPORTED	audit identifies mandatory observability and validation requirements
TASK86C_A_VALID	NOT_SUPPORTED	meaningful required PM/F2 decomposition is impossible from frozen artifacts
