object_id	object_class	arabic_form	latin_form	medieval_latinized_arabic_forms	documented_spelling_variants	source
STAR_ALGOL	STAR	ghūl	-	-	-	NMS_RETE_13C
STAR_ALDEBARAN	STAR	al-dabarān	-	-	-	NMS_RETE_13C
STAR_CAPELLA	STAR	‘ayyūq	-	-	-	NMS_RETE_13C
STAR_RIGEL	STAR	rijl al-jawzā	-	-	-	NMS_RETE_13C
STAR_BETELGEUSE	STAR	yad al-jawzā	-	bedalgeuze	-	NMS_RETE_13C;KUNITZSCH_1987
STAR_SIRIUS	STAR	al-yamāniya	-	-	-	NMS_RETE_13C
STAR_PROCYON	STAR	al-sha‘āmiya	-	-	-	NMS_RETE_13C
STAR_REGULUS	STAR	qalb al-asad	-	-	-	NMS_RETE_13C
STAR_SPICA	STAR	al-a‘zal	-	-	-	NMS_RETE_13C
STAR_ALKAID	STAR	banāt nash	-	-	-	NMS_RETE_13C
STAR_ARCTURUS	STAR	al-rāmih	-	-	-	NMS_RETE_13C
STAR_ALPHECCA	STAR	al-fakka	-	-	-	NMS_RETE_13C
STAR_ANTARES	STAR	qalb al-‘aqrab	-	-	-	NMS_RETE_13C
STAR_RASALHAGUE	STAR	r’as al-hawwā	-	-	-	NMS_RETE_13C
STAR_VEGA	STAR	al-wāki‘	-	-	-	NMS_RETE_13C
STAR_ALTAIR	STAR	al-tair	-	-	-	NMS_RETE_13C
STAR_DENEB	STAR	ridf	-	-	-	NMS_RETE_13C
STAR_DENEB_ALGEDI	STAR	dhanab al-jady	-	-	-	NMS_RETE_13C
STAR_MARKAB	STAR	mankib	-	-	-	NMS_RETE_13C
STAR_CAPH	STAR	kaff al-khadīb	-	-	-	NMS_RETE_13C
STAR_DIPHDA	STAR	dhanab qaytus	-	-	-	NMS_RETE_13C
PLANET_SOL	PLANET_MOON	-	sol	solis	-	WALTERS_W73;ORDO_PLANETARUM
PLANET_LUNA	PLANET_MOON	-	luna	lunae	-	WALTERS_W73;ORDO_PLANETARUM
PLANET_MERCURIUS	PLANET_MOON	-	mercurius	mercurii	-	WALTERS_W73;ORDO_PLANETARUM
PLANET_VENUS	PLANET_MOON	-	venus	veneris	lucifer	WALTERS_W73;ORDO_PLANETARUM
PLANET_MARS	PLANET_MOON	-	mars	martis	-	WALTERS_W73;ORDO_PLANETARUM
PLANET_IUPITER	PLANET_MOON	-	iupiter	iovis	jupiter;jovis;phethon;phaethon	WALTERS_W73;ORDO_PLANETARUM
PLANET_SATURNUS	PLANET_MOON	-	saturnus	saturni	-	WALTERS_W73;ORDO_PLANETARUM
