model_id	candidate_band	train_coverage	train_matched	train_total	heldout_coverage	heldout_matched	heldout_total	rules	complexity	consistency	transformation_quality	exceptions	null_score	null_advantage	familywise_empirical_p	score	explained_labels	unexplained_labels	diagnostic_only
M0001	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IDENTITY;KEEP;NONE	0	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.250000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0002	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IDENTITY;KEEP;SUSPEND_1	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0003	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IDENTITY;KEEP;SUSPEND_2	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0006	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IDENTITY;DELETE_FINAL;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0011	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IDENTITY;COLLAPSE_A;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0016	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IDENTITY;CONTRACT_INTERNAL;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0021	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;IJ_UV;KEEP;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0041	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;ARABIC_LATIN;KEEP;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0061	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;KEEP;VELAR_COLLAPSE;KEEP;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
M0081	NULL_COMPATIBLE	0.000000	0	20	0.000000	0	6	FULL_JOIN;STRIP_LATIN;IDENTITY;KEEP;NONE	1	1.000000	HIGH	20	0.000000	0.000000	1.000000	0.200000		f67r2.L.1;f67r2.L.3;f67r2.L.5;f67r2.L.6;f67v1.X.10;f68r1.S.1;f68r1.S.19;f68r1.S.21;f68r1.S.22;f68r1.S.24;f68r1.S.26;f68r1.S.9;f68r2.S.1;f68r2.S.15;f68r2.S.16;f68r2.S.18;f68r2.S.20;f68r2.S.21;f68r2.S.8;f68r3.X.11	1
