model_id	split	stolfi_coordinate	object_class	panel	stolfi_group	zl3b_locus	absolute_token_position	voynich_token	prediction	matched_object_id	source_form_evidence	system_applicable_without_assignment
M0001	TRAIN	f67r2.L.1	PLANET_MOON	f67r2	L	f67r2.22	12077	okal	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f67r2.L.3	PLANET_MOON	f67r2	L	f67r2.31	12097	opcholdy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f67r2.L.5	PLANET_MOON	f67r2	L	f67r2.37	12113	ytoaiin	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f67r2.L.6	PLANET_MOON	f67r2	L	f67r2.47	12139	yfain	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f67v1.X.10	STAR	f67v1	X	f67v1.7	12285	ykeodar	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.1	STAR	f68r1	S	f68r1.12	12384	chocfhy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.19	STAR	f68r1	S	f68r1.35	12410	otochedy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.21	STAR	f68r1	S	f68r1.25	12397	otol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.22	STAR	f68r1	S	f68r1.26	12398	otor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.24	STAR	f68r1	S	f68r1.15	12387	otydy	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.26	STAR	f68r1	S	f68r1.19	12391	otys	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r1.S.9	STAR	f68r1	S	f68r1.22	12394	ofcheor	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
M0001	TRAIN	f68r2.S.1	STAR	f68r2	S	f68r2.8	12468	cheorol	UNEXPLAINED			NO_EXACT_CORPUS_OUTPUT
