requirement_id	task85b_source	frozen_requirement	implementation	tests	evidence_schema	status	notes
M0	G1V2_MODEL_REGISTRY.tsv:M0	Exact M0	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A01
M1	G1V2_MODEL_REGISTRY.tsv:M1	Exact M1	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A02
M2	G1V2_MODEL_REGISTRY.tsv:M2	Exact M2	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A03
M3	G1V2_MODEL_REGISTRY.tsv:M3;G1V1_G1V2_CHANGE_REGISTER.tsv:CH09	Exact M3 exact and approximate routes	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A04
M4	G1V2_MODEL_REGISTRY.tsv:M4	Exact probabilistic finite-state model	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A05
M5	G1V2_MODEL_REGISTRY.tsv:M5;G1V1_G1V2_CHANGE_REGISTER.tsv:CH11	Exact productive component grammar	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A06
RNG	G1V1_G1V2_CHANGE_REGISTER.tsv:CH15	Counter-based namespaced scientific RNG	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A07
PM	PM_REDESIGN.md;G1V2_METRIC_REGISTRY.tsv	Exact predictive metrics and thresholds	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A08-A10
F2	STRUCTURAL_ADEQUACY_V2.md;G1V2_STRUCTURAL_GATE_REGISTRY.tsv	Exact structural thresholds and aggregation	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A11
MIN	G1V2_COMPLEXITY_CONTRACT.tsv	Exact model bits and minimality	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A12
CONTROL	TASK86C_V2_CONTROL_DESIGN.md;G1V2_CONTROL_REGISTRY.tsv	Immutable development/blind/natural controls	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A13-A14
MANIFEST	DISTRIBUTED_EXECUTION_DESIGN.md	Complete deterministic scientific DAG	UNRESOLVED	NOT_RUN	UNRESOLVED	BLOCKED_AMBIGUOUS	A15-A17
BLIND_FIREWALL	TASK86C_V2_CONTROL_DESIGN.md	No blind outcome used for implementation	NO_BLIND_ACCESS	AUDITED	N/A	SUPPORTED	Preserved at stop boundary
VOYNICH_FIREWALL	TASK85B_DESIGN.md	No Voynich access or execution	NO_VOYNICH_ACCESS	AUDITED	N/A	SUPPORTED	Preserved at stop boundary

