descriptor_id	observed_values	uncertain_count	not_visible_count	not_applicable_count	image_missing_count	other_unusable_count	n_complete_after_descriptor
COMP_ILLUSTRATION_REGIONS	195	0	32	0	0	0	195
COMP_CENTRAL_ILLUSTRATION	195	0	32	0	0	0	195
OBJ_PLANT_LIKE	195	0	32	0	0	0	195
OBJ_HUMAN_LIKE	195	0	32	0	0	0	195
OBJ_CONTAINER_LIKE	195	0	32	0	0	0	195
OBJ_STAR_LIKE	195	0	32	0	0	0	195
OBJ_CIRCULAR_UNITS	195	0	32	0	0	0	195
GEO_RADIAL	195	0	32	0	0	0	195
GEO_CONCENTRIC	195	0	32	0	0	0	195
GEO_BRANCHING	195	0	32	0	0	0	195
FIG_RELATION	24	0	32	171	0	0	24
FIG_ENCLOSED	24	0	32	171	0	0	24
TXT_RADIAL	195	0	32	0	0	0	24
VIS_DENSITY	195	0	32	0	0	0	24
VIS_COMPLEXITY	195	0	32	0	0	0	24
