checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	92	0.92000000000000004	85	6	1	0
200	167	0.83499999999999996	146	13	5	0.86014233641704063
500	364	0.72799999999999998	299	33	18	0.85034152165471888
1000	641	0.64100000000000001	512	56	25	0.8163859064200446
2000	1082	0.54100000000000004	846	105	37	0.75530423720807394
4000	1883	0.47075	1420	218	75	0.79933250078741347
8000	3213	0.40162500000000001	2351	380	148	0.77088798085718269
16000	5079	0.31743749999999998	3504	640	277	0.66062349314538726
32000	8027	0.25084374999999998	5205	1148	470	0.6603164236498662
43713	9599	0.21959142589161118	6019	1393	662	0.57339705318513667
