checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	92	85	6	1	0.92391304347826086	0.84999999999999998	0.13043478260869565	0.12
200	167	146	13	5	0.87425149700598803	0.72999999999999998	0.15568862275449102	0.13
500	364	299	33	18	0.8214285714285714	0.59799999999999998	0.18131868131868131	0.13200000000000001
1000	641	512	56	25	0.79875195007800315	0.51200000000000001	0.17472698907956319	0.112
2000	1082	846	105	37	0.78188539741219965	0.42299999999999999	0.19408502772643252	0.105
4000	1883	1420	218	75	0.75411577270313335	0.35499999999999998	0.23154540626659587	0.109
8000	3213	2351	380	148	0.73171490818549645	0.293875	0.23653906006847183	0.095000000000000001
16000	5079	3504	640	277	0.68989958653278205	0.219	0.25201811380192951	0.080000000000000002
32000	8027	5205	1148	470	0.64843652672231222	0.16265625	0.28603463311324279	0.071749999999999994
43713	9599	6019	1393	662	0.6270444838003959	0.13769359229519823	0.29023856651734553	0.063733900670281146
