block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	61	6.127499688	6.503280868	-0.3757811799
G1/generic#0	56	6.226261725	6.503270589	-0.2770088644
G2/generic#0	86	6.221156682	6.503381263	-0.2822245815
G3/generic#0	77	6.009674861	6.475187397	-0.4655125355
G0/generic#1	68	6.261221061	6.503713618	-0.2424925573
G1/generic#1	64	6.162039525	6.469113073	-0.3070735482
G2/generic#1	94	6.214161289	6.503171881	-0.2890105917
G3/generic#1	53	6.323133629	6.503128991	-0.1799953621
G0/generic#2	89	6.230101189	6.503563177	-0.2734619889
G1/generic#2	49	6.239870324	6.503278865	-0.2634085408
G2/generic#2	82	6.242257916	6.503191573	-0.2609336573
G3/generic#2	86	6.286482791	6.490537488	-0.2040546971
G0/generic#3	124	6.189967021	6.503754563	-0.3137875424
G1/generic#3	102	6.176463205	6.503230167	-0.3267669619
G2/generic#3	76	6.21899614	6.50342013	-0.2844239895
G3/generic#3	67	6.227247815	6.503503969	-0.2762561539
G0/generic#4	95	6.248825383	6.503231269	-0.2544058861
G1/generic#4	66	5.995099499	6.503787644	-0.5086881458
G2/generic#4	78	6.171009777	6.503595325	-0.3325855481
G3/generic#4	105	6.228498802	6.503416853	-0.2749180515
G0/generic#5	95	6.205242917	6.503294113	-0.2980511961
G1/generic#5	68	6.217780012	6.503362168	-0.2855821558
G2/generic#5	89	6.297894032	6.503428816	-0.205534784
G3/generic#5	62	6.084106335	6.503321098	-0.4192147625
G0/generic#6	84	6.23611213	6.50325298	-0.2671408501
G1/generic#6	65	6.264722731	6.503434498	-0.2387117671
G2/generic#6	77	6.103697879	6.50321753	-0.3995196516
G3/generic#6	60	6.198991646	6.4850779	-0.2860862544
G0/generic#7	80	6.307594605	6.462153351	-0.1545587463
G1/generic#7	81	6.263082049	6.503454501	-0.2403724516
G2/generic#7	52	6.243234245	6.5029052	-0.2596709551
G3/generic#7	62	6.072136917	6.485794275	-0.4136573582
G0/generic#8	76	6.093882708	6.503459407	-0.4095766986
G1/generic#8	89	6.160380166	6.50352864	-0.3431484734
G2/generic#8	63	6.211372392	6.503738549	-0.2923661571
G3/generic#8	63	6.273825468	6.50321762	-0.2293921524
G0/generic#9	71	6.301521693	6.487696156	-0.1861744632
G1/generic#9	84	6.195952743	6.503395552	-0.3074428098
G2/generic#9	76	6.180518927	6.503341222	-0.322822295
G3/generic#9	86	6.238573265	6.503415148	-0.2648418825
G0/generic#10	136	6.088229357	6.503493995	-0.4152646371
G1/generic#10	82	6.285608566	6.489830375	-0.2042218089
G2/generic#10	58	6.106369225	6.503718453	-0.3973492287
G3/generic#10	104	6.284142457	6.482180909	-0.1980384529
G0/generic#11	98	6.2876357	6.503278865	-0.2156431644
G1/generic#11	92	6.326106994	6.491108957	-0.1650019627
G2/generic#11	86	6.13381954	6.503485601	-0.3696660619
G3/generic#11	137	6.260172226	6.495338599	-0.2351663731
G0/generic#12	108	6.136553863	6.483221186	-0.3466673226
G1/generic#12	90	6.164788899	6.503354987	-0.3385660876
G2/generic#12	114	6.161994134	6.503367447	-0.3413733125
G3/generic#12	138	6.19981598	6.495587469	-0.2957714892
G0/generic#13	92	6.19978416	6.503407793	-0.3036236323
G1/generic#13	103	6.196891665	6.492501446	-0.2956097807
G2/generic#13	136	6.192201694	6.503405739	-0.3112040442
G3/generic#13	138	6.210843584	6.50305033	-0.2922067467
G0/generic#14	111	6.204102254	6.503491024	-0.2993887705
G1/generic#14	100	6.154858379	6.503448283	-0.3485899041
G2/generic#14	110	6.156101968	6.503388362	-0.3472863937
G3/generic#14	103	6.147795178	6.482270379	-0.3344752016
G0/generic#15	108	6.272991578	6.503344245	-0.230352667
G1/generic#15	134	6.265440369	6.503281534	-0.2378411646
G2/generic#15	149	6.100997861	6.503372414	-0.4023745526
G3/generic#15	62	6.271303901	6.503272663	-0.2319687625
