source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000000	x000408	preferred	1000	0.04395604396	0.2901426931	1	0.05998676693	EXPECTED_FROM_NULL
x000000	x000513	preferred	1000	1	1	0	0.05587256677	EXPECTED_FROM_NULL
x000000	x000561	preferred	1000	1	1	0	0.04837247319	EXPECTED_FROM_NULL
x000000	x000583	preferred	1000	1	1	0	0.06301191012	EXPECTED_FROM_NULL
x000000	x000587	preferred	1000	0.05194805195	0.300314065	0.5	0.05489510646	EXPECTED_FROM_NULL
x000000	x000588	preferred	1000	1	1	1	0.05348186124	EXPECTED_FROM_NULL
x000000	x000590	preferred	1000	1	1	0	0.05345926425	EXPECTED_FROM_NULL
x000000	x000594	preferred	1000	1	1	0	0.05491420385	EXPECTED_FROM_NULL
x000000	x000664	preferred	1000	0.02897102897	0.2512653224	1	0.0511991335	EXPECTED_FROM_NULL
x000000	x000665	preferred	1000	1	1	0	0.05996115617	EXPECTED_FROM_NULL
x000000	x000881	preferred	1000	0.08191808192	0.4070592329	0.3333333333	0.05574750716	EXPECTED_FROM_NULL
x000001	x000161	preferred	1000	0.04895104895	0.2945387945	1	0.05863501867	EXPECTED_FROM_NULL
x000001	x000251	preferred	1000	1	1	0	0.0541032277	EXPECTED_FROM_NULL
x000001	x000295	preferred	1000	1	1	1	0.04774049255	EXPECTED_FROM_NULL
x000001	x000297	preferred	1000	1	1	1	0.0437215534	EXPECTED_FROM_NULL
x000001	x000299	preferred	1000	0.02197802198	0.2492251338	1	0.05090493941	EXPECTED_FROM_NULL
x000001	x000300	preferred	1000	0.05994005994	0.3222916901	1	0.04339226888	EXPECTED_FROM_NULL
x000001	x000409	preferred	1000	1	1	0	0.04521283782	EXPECTED_FROM_NULL
x000001	x000411	preferred	1000	1	1	1	0.04623958016	EXPECTED_FROM_NULL
x000001	x000561	preferred	1000	1	1	1	0.04382266532	EXPECTED_FROM_NULL
x000001	x000562	preferred	1000	1	1	1	0.03922222276	EXPECTED_FROM_NULL
x000001	x000566	preferred	1000	1	1	0	0.04516706711	EXPECTED_FROM_NULL
x000001	x000572	preferred	1000	1	1	0	0.04618677354	EXPECTED_FROM_NULL
x000001	x000583	preferred	1000	1	1	0	0.04541983413	EXPECTED_FROM_NULL
x000001	x000584	preferred	1000	0.02697302697	0.2512653224	1	0.04262250545	EXPECTED_FROM_NULL
x000001	x000588	preferred	1000	1	1	1	0.04096943004	EXPECTED_FROM_NULL
x000001	x000590	preferred	1000	1	1	1	0.04309239139	EXPECTED_FROM_NULL
x000001	x000592	preferred	1000	1	1	1	0.04125545243	EXPECTED_FROM_NULL
x000001	x000594	preferred	1000	1	1	1	0.04000342576	EXPECTED_FROM_NULL
x000001	x000613	preferred	1000	1	1	1	0.04202089354	EXPECTED_FROM_NULL
x000001	x000698	preferred	1000	1	1	1	0.04062689301	EXPECTED_FROM_NULL
x000001	x000814	preferred	1000	0.03696303696	0.2647271757	1	0.04145371306	EXPECTED_FROM_NULL
x000001	x000864	preferred	1000	0.04895104895	0.2945387945	1	0.04275235451	EXPECTED_FROM_NULL
x000001	x000903	preferred	1000	1	1	1	0.04508893712	EXPECTED_FROM_NULL
x000002	x000299	preferred	1000	1	1	1	0.04781880751	EXPECTED_FROM_NULL
x000002	x000507	preferred	1000	1	1	0	0.0500559075	EXPECTED_FROM_NULL
x000002	x000510	preferred	1000	1	1	0	0.04143712001	EXPECTED_FROM_NULL
x000002	x000522	preferred	1000	0.04695304695	0.2945387945	1	0.04525677901	EXPECTED_FROM_NULL
x000002	x000561	preferred	1000	1	1	1	0.04588343682	EXPECTED_FROM_NULL
