analysis	group	n	value	note
FOLIO	f100r	113	5.12542233	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f100v	95	4.74697278	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f101r	229	4.2541316	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f101v	221	4.32365253	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f102r1	107	5.32653052	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f102r2	149	4.3464471	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f102v1	129	4.9156089	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f102v2	190	4.23567491	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f103r	533	4.9204686	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f103v	456	4.63342679	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f104r	449	5.03220185	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f104v	477	4.92004024	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f105r	380	4.7461683	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f105v	400	4.68747263	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f106r	433	5.1716338	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f106v	445	4.96321886	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f107r	488	4.79764899	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f107v	462	4.80768972	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f108r	498	4.91414615	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f108v	581	4.93518445	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f10r	92	4.25939267	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f10v	57	4.32226096	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f111r	624	4.87465227	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f111v	568	4.68890309	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f112r	403	4.54219608	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f112v	419	4.90510484	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f113r	530	5.0528044	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f113v	505	4.6532541	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f114r	462	5.00178692	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f114v	377	5.20021344	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f115r	463	4.88023562	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f115v	411	5.15224635	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f116r	560	4.21554199	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f116v	2	4.36897793	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f11r	61	3.73215661	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f11v	50	3.81270722	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f13r	78	4.21221113	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f13v	69	3.91166956	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f14r	76	4.23050021	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f14v	75	4.01192466	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f15r	94	4.25552489	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f15v	71	3.85717466	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f16r	84	4.23346881	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f16v	76	4.31918736	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f17r	81	4.35573755	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f17v	136	4.33264178	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f18r	86	4.38167081	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f18v	69	4.00891822	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f19r	77	4.01586022	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f19v	78	4.37404254	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f1r	219	4.11407456	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f1v	92	3.80307173	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f20r	88	4.95644302	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f20v	86	4.08857899	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f21r	104	4.45254246	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f21v	58	4.44754608	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f22r	112	4.17721849	mean log_B(N+1); 2D-LITE IVTFF metadata
FOLIO	f22v	78	4.53187247	mean log_B(N+1); 2D-LITE IVTFF metadata
