representation	codepoint	admitted	frequency	token_frequency	initial	medial	final	singleton	example_tokens
0	U+0030	false	31	30	0	13	18	0	130;140;150;200;203
1	U+0031	false	161	147	138	6	17	0	130;131;132;163;192
2	U+0032	false	67	64	36	0	31	0	132;152;192;216;246
3	U+0033	false	58	46	0	37	21	0	130;131;132;134;163
4	U+0034	false	38	37	0	25	13	0	134;140;148;154;246
5	U+0035	false	28	27	0	12	16	0	135;145;150;152;154
6	U+0036	false	45	43	0	20	25	0	162;163;196;216;246
7	U+0037	false	40	39	0	30	10	0	137;147;167;170;176
8	U+0038	false	23	22	0	11	12	0	138;148;168;178;208
9	U+0039	false	31	30	0	20	11	0	139;149;191;192;196
I	U+0049	false	1	1	0	0	0	1	I
a	U+0061	true	14829	14071	2164	12549	101	15	ar;ataiin;ckhar;fachys;ykal
b	U+0062	true	15	15	0	0	15	0	choteeeb;oeeeb;okshodeeeb;oleeeb;oteeeb
c	U+0063	true	13379	12307	7013	6291	25	50	chtaiin;ckhar;cthar;cthres;fachys
d	U+0064	true	13215	12726	3605	8934	603	73	daiin;dan;daraiin;shod;sholdy
e	U+0065	true	20430	14530	164	20141	117	8	ase;cthes;cthres;oteey;sheky
f	U+0066	true	503	499	111	359	23	10	cfhaiin;cfhoaiin;cfhol;fachys;far
g	U+0067	true	154	153	2	10	127	15	chag;cheog;dago;daimg;soleeg
h	U+0068	true	18012	16344	57	17822	128	5	cthres;fachys;shol;sholdy;shory
i	U+0069	true	11969	7178	24	11909	33	3	ataiin;chtaiin;kair;syaiir;ykaiin
j	U+006A	true	14	13	2	8	4	0	chetejy;cthoj;jajy;jeiii;olchaj
k	U+006B	true	11095	11000	1265	9720	90	20	ckhar;kair;kor;sheky;ykal
l	U+006C	true	10659	10097	1267	3392	5804	196	otchol;roloty;shol;sholdy;ykal
m	U+006D	true	1071	1063	1	39	1018	13	am;chckom;daimg;dam;koeam
n	U+006E	true	6186	6184	0	93	6088	5	ataiin;chtaiin;dan;daraiin;ykaiin
o	U+006F	true	25661	22223	8716	15550	1172	223	kor;shol;sholdy;shory;sory
p	U+0070	true	1676	1664	540	1099	30	7	cphar;cphesaiin;cphey;cphodal;cphoy
q	U+0071	true	5436	5434	5388	35	0	13	qo;qokey;qotaiin;qotcho;qoy
r	U+0072	true	7599	7319	362	1371	5694	172	ar;cthres;kor;shory;sory
s	U+0073	true	7359	7056	4247	1663	1093	356	cthres;fachys;shol;sholdy;shory
t	U+0074	true	7007	6954	1019	5905	69	14	ataiin;chtaiin;cthar;cthoary;cthres
u	U+0075	true	9	9	0	0	8	1	chkcheeu;du;eoedu;tu;u
v	U+0076	true	15	15	3	0	0	12	v;vo;vor;vs
x	U+0078	true	41	41	10	12	8	11	chepchx;xaloeees;xar;xol;xor
y	U+0079	true	17919	16909	1687	500	15398	334	fachys;sholdy;shory;y;ykal
z	U+007A	true	9	9	2	6	1	0	okozy;otaza;tazain;zar;zepchy
